organism,dataset,fasta_charachters,snps_after_filtering,life_history,breeding_system,genome_size,genome_number
Acer,genome,10074937,1642091,perennial,outcrossing,medium,153272972
Acer,singlecopy,286483,16349,perennial,outcrossing,medium,153272972
Acer,SC_super,141640,12807,perennial,outcrossing,medium,153272972
Acer,BUSCO,33574,12076,perennial,outcrossing,medium,153272972
Acer,BUSCOsuper,24526,2341,perennial,outcrossing,medium,153272972
Acer,A353_gene,2663,371,perennial,outcrossing,medium,153272972
Acer,A353_super,8650,904,perennial,outcrossing,medium,153272972
Atriplex,genome,28539626,903317,annual,selfing,medium,965003581
Atriplex,singlecopy,1013836,1884,annual,selfing,medium,965003581
Atriplex,SC_super,1418644,2229,annual,selfing,medium,965003581
Atriplex,BUSCO,364572,3320,annual,selfing,medium,965003581
Atriplex,BUSCOsuper,1040206,1651,annual,selfing,medium,965003581
Atriplex,A353_gene,27547,67,annual,selfing,medium,965003581
Atriplex,A353_super,138892,207,annual,selfing,medium,965003581
Aquilegia,genome,20903099,684057,perennial,outcrossing,medium,293205786
Aquilegia,singlecopy,282834,11505,perennial,outcrossing,medium,293205786
Aquilegia,SC_super,563168,18935,perennial,outcrossing,medium,293205786
Aquilegia,BUSCO,187745,35401,perennial,outcrossing,medium,293205786
Aquilegia,BUSCOsuper,540492,14875,perennial,outcrossing,medium,293205786
Aquilegia,A353_gene,13814,764,perennial,outcrossing,medium,293205786
Aquilegia,A353_super,65235,2055,perennial,outcrossing,medium,293205786
Begonia,genome,72035479,3441661,perennial,outcrossing,small,799686545
Begonia,singlecopy,937907,40551,perennial,outcrossing,small,799686545
Begonia,SC_super,1851848,81671,perennial,outcrossing,small,799686545
Begonia,BUSCO,262642,62147,perennial,outcrossing,small,799686545
Begonia,BUSCOsuper,787968,30274,perennial,outcrossing,small,799686545
Begonia,A353_gene,23495,1480,perennial,outcrossing,small,799686545
Begonia,A353_super,108851,4779,perennial,outcrossing,small,799686545
Camellia,genome,332479381,147767032,perennial,outcrossing,large,3105370065
Camellia,singlecopy,1589935,96719,perennial,outcrossing,large,3105370065
Camellia,SC_super,4253262,208062,perennial,outcrossing,large,3105370065
Camellia,BUSCO,319475,82358,perennial,outcrossing,large,3105370065
Camellia,BUSCOsuper,1051632,49617,perennial,outcrossing,large,3105370065
Camellia,A353_gene,29090,2027,perennial,outcrossing,large,3105370065
Camellia,A353_super,140868,7170,perennial,outcrossing,large,3105370065
Cannabis,genome,50538328,2060599,perennial,outcrossing,medium,770685239
Cannabis,singlecopy,1460652,63132,perennial,outcrossing,medium,770685239
Cannabis,SC_super,2127810,90762,perennial,outcrossing,medium,770685239
Cannabis,BUSCO,164797,47775,perennial,outcrossing,medium,770685239
Cannabis,BUSCOsuper,541664,19144,perennial,outcrossing,medium,770685239
Cannabis,A353_gene,18278,1044,perennial,outcrossing,medium,770685239
Cannabis,A353_super,79114,3101,perennial,outcrossing,medium,770685239
Citrus,A353_gene,8786,647,perennial,selfing,medium,334322655
Citrus,A353_super,9286,699,perennial,selfing,medium,334322655
Citrus,BUSCO,106339,30878,perennial,selfing,medium,334322655
