taxon,mating system,life_history,genome_size
Acer_yangbiense,1,1,153
Aquilegia_viridiflora,1,1,293
Atriplex_hortensis,0,0,965
Begonia_masoniana,1,1,800
Camellia_sinensis,1,1,3105
Canis_lupus,1,1,2352
Cannabis_sativa,1,1,771
Citrus_sinensis,0,1,334
Coffea_arabica,0,1,1094
Coix_lacryma-jobi,1,1,1731
Corylus_heterophylla,1,1,371
Costus_spp.,1,1,940
Diprion_similis,1,1,270
Fragaria_spp.,1,1,220
Coerebinae_spp.,1,1,1065
Juglans_regia,1,1,573
Liriodendron_chinense,1,1,1742
Lotus_corniculatus,1,1,554
Malania_oleifera,1,1,1494
Medicago_truncatula,0,0,430
Parulidae_spp.,1,1,1023
Plectropomus_leopardus,1,1,896
Populus_davidiana,1,1,392
Primula_spp.,1,1,418
Prunus_armeniaca,1,1,222
Salix_brachista,1,1,421
Sesamum_indicum,0,1,275
Solanum_lycopersicum,0,1,829
Sorghum_bicolor,0,0,720
Spirodela_polyrhiza,0,1,140
Thlaspi_arvense,0,0,526
Ursus_arctos,1,1,2470
Vigna_angularis,0,0,448
Vitis_spp.,1,1,487
