Species,dataset,PC,Variance_Percentage
Acer,353_gene,PC1,9.35
Acer,353_gene,PC2,5.88
Acer,353_gene,PC3,5.56
Acer,353_gene,PC4,5.4
Acer,353_gene,PC5,4.45
Acer,353_gene,PC6,4.18
Acer,353_gene,PC7,4
Acer,353_gene,PC8,3.62
Acer,353_gene,PC9,3.46
Acer,353_gene,PC10,3.25
Acer,353_gene,PC11,3.09
Acer,353_gene,PC12,2.99
Acer,353_gene,PC13,2.88
Acer,353_gene,PC14,2.63
Acer,353_gene,PC15,2.45
Acer,353_gene,PC16,2.37
Acer,353_gene,PC17,2.28
Acer,353_gene,PC18,2.23
Acer,353_gene,PC19,2.15
Acer,353_gene,PC20,2.06
Acer,353_gene,PC21,2
Acer,353_gene,PC22,1.89
Acer,353_gene,PC23,1.77
Acer,353_gene,PC24,1.7
Acer,353_gene,PC25,1.59
Acer,353_gene,PC26,1.57
Acer,353_gene,PC27,1.4
Acer,353_gene,PC28,1.39
Acer,353_gene,PC29,1.35
Acer,353_gene,PC30,1.26
Acer,353_gene,PC31,1.21
Acer,353_gene,PC32,1.14
Acer,353_super,PC1,9.76
Acer,353_super,PC2,5.56
Acer,353_super,PC3,5.28
Acer,353_super,PC4,5.14
Acer,353_super,PC5,4.8
Acer,353_super,PC6,4.34
Acer,353_super,PC7,3.91
Acer,353_super,PC8,3.72
Acer,353_super,PC9,2.99
Acer,353_super,PC10,2.79
Acer,353_super,PC11,2.74
Acer,353_super,PC12,2.65
Acer,353_super,PC13,2.45
Acer,353_super,PC14,2.37
Acer,353_super,PC15,2.32
Acer,353_super,PC16,2.3
Acer,353_super,PC17,2.15
Acer,353_super,PC18,2.11
Acer,353_super,PC19,2.05
Acer,353_super,PC20,1.96
Acer,353_super,PC21,1.93
Acer,353_super,PC22,1.87
Acer,353_super,PC23,1.82
Acer,353_super,PC24,1.75
Acer,353_super,PC25,1.64
Acer,353_super,PC26,1.63
Acer,353_super,PC27,1.6
Acer,353_super,PC28,1.58
Acer,353_super,PC29,1.47
Acer,353_super,PC30,1.44
Acer,353_super,PC31,1.37
Acer,353_super,PC32,1.36
Acer,BUSCO,PC1,9.26
Acer,BUSCO,PC2,6.31
Acer,BUSCO,PC3,5.54
Acer,BUSCO,PC4,4.9
Acer,BUSCO,PC5,4.29
Acer,BUSCO,PC6,4.14
Acer,BUSCO,PC7,3.65
Acer,BUSCO,PC8,3.21
Acer,BUSCO,PC9,2.99
Acer,BUSCO,PC10,2.71
Acer,BUSCO,PC11,2.62
Acer,BUSCO,PC12,2.57
Acer,BUSCO,PC13,2.41
Acer,BUSCO,PC14,2.28
Acer,BUSCO,PC15,2.25
Acer,BUSCO,PC16,2.14
Acer,BUSCO,PC17,2.09
Acer,BUSCO,PC18,2.03
Acer,BUSCO,PC19,1.99
Acer,BUSCO,PC20,1.97
Acer,BUSCO,PC21,1.94
Acer,BUSCO,PC22,1.9
Acer,BUSCO,PC23,1.79
Acer,BUSCO,PC24,1.76
Acer,BUSCO,PC25,1.74
Acer,BUSCO,PC26,1.67
Acer,BUSCO,PC27,1.66
Acer,BUSCO,PC28,1.62
Acer,BUSCO,PC29,1.57
Acer,BUSCO,PC30,1.56
Acer,BUSCO,PC31,1.5
Acer,BUSCO,PC32,1.48
Acer,BUSCOsuper,PC1,9.06
Acer,BUSCOsuper,PC2,5.75
Acer,BUSCOsuper,PC3,5.16
Acer,BUSCOsuper,PC4,4.69
Acer,BUSCOsuper,PC5,4.55
Acer,BUSCOsuper,PC6,3.95
Acer,BUSCOsuper,PC7,3.83
Acer,BUSCOsuper,PC8,3.49
Acer,BUSCOsuper,PC9,2.79
Acer,BUSCOsuper,PC10,2.57
Acer,BUSCOsuper,PC11,2.55
Acer,BUSCOsuper,PC12,2.5
Acer,BUSCOsuper,PC13,2.45
Acer,BUSCOsuper,PC14,2.38
Acer,BUSCOsuper,PC15,2.36
Acer,BUSCOsuper,PC16,2.26
Acer,BUSCOsuper,PC17,2.18
Acer,BUSCOsuper,PC18,2.14
Acer,BUSCOsuper,PC19,2.06
Acer,BUSCOsuper,PC20,2.05
Acer,BUSCOsuper,PC21,1.95
Acer,BUSCOsuper,PC22,1.93
Acer,BUSCOsuper,PC23,1.88
Acer,BUSCOsuper,PC24,1.82
Acer,BUSCOsuper,PC25,1.78
Acer,BUSCOsuper,PC26,1.77
Acer,BUSCOsuper,PC27,1.7
Acer,BUSCOsuper,PC28,1.68
Acer,BUSCOsuper,PC29,1.63
Acer,BUSCOsuper,PC30,1.61
Acer,BUSCOsuper,PC31,1.58
Acer,BUSCOsuper,PC32,1.53
Acer,genome,PC1,6.38
Acer,genome,PC2,3.97
Acer,genome,PC3,3.76
Acer,genome,PC4,3.63
Acer,genome,PC5,3.38
Acer,genome,PC6,3.26
Acer,genome,PC7,3.08
Acer,genome,PC8,3.02
Acer,genome,PC9,2.87
Acer,genome,PC10,2.72
Acer,genome,PC11,2.56
Acer,genome,PC12,2.49
Acer,genome,PC13,2.48
Acer,genome,PC14,2.45
Acer,genome,PC15,2.35
Acer,genome,PC16,2.34
Acer,genome,PC17,2.32
Acer,genome,PC18,2.28
Acer,genome,PC19,2.27
Acer,genome,PC20,2.23
Acer,genome,PC21,2.23
Acer,genome,PC22,2.2
Acer,genome,PC23,2.17
Acer,genome,PC24,2.14
Acer,genome,PC25,2.14
Acer,genome,PC26,2.11
Acer,genome,PC27,2.08
Acer,genome,PC28,2.06
Acer,genome,PC29,2.05
Acer,genome,PC30,2.03
Acer,genome,PC31,2.02
Acer,genome,PC32,2
Acer,SCsuper,PC1,6.38
Acer,SCsuper,PC2,3.97
Acer,SCsuper,PC3,3.76
Acer,SCsuper,PC4,3.63
Acer,SCsuper,PC5,3.38
Acer,SCsuper,PC6,3.26
Acer,SCsuper,PC7,3.08
Acer,SCsuper,PC8,3.02
Acer,SCsuper,PC9,2.87
Acer,SCsuper,PC10,2.72
Acer,SCsuper,PC11,2.56
Acer,SCsuper,PC12,2.49
Acer,SCsuper,PC13,2.48
Acer,SCsuper,PC14,2.45
Acer,SCsuper,PC15,2.35
Acer,SCsuper,PC16,2.34
Acer,SCsuper,PC17,2.32
Acer,SCsuper,PC18,2.28
Acer,SCsuper,PC19,2.27
Acer,SCsuper,PC20,2.23
Acer,SCsuper,PC21,2.23
Acer,SCsuper,PC22,2.2
Acer,SCsuper,PC23,2.17
Acer,SCsuper,PC24,2.14
Acer,SCsuper,PC25,2.14
Acer,SCsuper,PC26,2.11
Acer,SCsuper,PC27,2.08
Acer,SCsuper,PC28,2.06
Acer,SCsuper,PC29,2.05
Acer,SCsuper,PC30,2.03
Acer,SCsuper,PC31,2.02
Acer,SCsuper,PC32,2
Acer,singlecopy,PC1,8.1
Acer,singlecopy,PC2,5.07
Acer,singlecopy,PC3,4.83
Acer,singlecopy,PC4,4.58
Acer,singlecopy,PC5,4.26
Acer,singlecopy,PC6,4.17
Acer,singlecopy,PC7,3.56
Acer,singlecopy,PC8,3.35
Acer,singlecopy,PC9,2.76
Acer,singlecopy,PC10,2.63
Acer,singlecopy,PC11,2.5
Acer,singlecopy,PC12,2.49
Acer,singlecopy,PC13,2.43
Acer,singlecopy,PC14,2.34
Acer,singlecopy,PC15,2.2
Acer,singlecopy,PC16,2.16
Acer,singlecopy,PC17,2.14
Acer,singlecopy,PC18,2.1
Acer,singlecopy,PC19,2.08
Acer,singlecopy,PC20,2.06
Acer,singlecopy,PC21,1.98
Acer,singlecopy,PC22,1.95
Acer,singlecopy,PC23,1.91
Acer,singlecopy,PC24,1.87
Acer,singlecopy,PC25,1.85
Acer,singlecopy,PC26,1.83
Acer,singlecopy,PC27,1.81
Acer,singlecopy,PC28,1.77
Acer,singlecopy,PC29,1.76
Acer,singlecopy,PC30,1.74
Acer,singlecopy,PC31,1.71
Acer,singlecopy,PC32,1.68
Aquilegia,SCsuper,PC1,10.69
Aquilegia,SCsuper,PC2,7.5
Aquilegia,SCsuper,PC3,6.84
Aquilegia,SCsuper,PC4,4.76
Aquilegia,SCsuper,PC5,4.58
Aquilegia,SCsuper,PC6,4.34
Aquilegia,SCsuper,PC7,4.17
Aquilegia,SCsuper,PC8,3.41
Aquilegia,SCsuper,PC9,3.01
Aquilegia,SCsuper,PC10,2.91
Aquilegia,SCsuper,PC11,2.84
Aquilegia,SCsuper,PC12,2.79
Aquilegia,SCsuper,PC13,2.74
Aquilegia,SCsuper,PC14,2.71
Aquilegia,SCsuper,PC15,2.65
Aquilegia,SCsuper,PC16,2.48
Aquilegia,SCsuper,PC17,2.37
Aquilegia,SCsuper,PC18,2.35
Aquilegia,SCsuper,PC19,2.26
Aquilegia,SCsuper,PC20,2.23
Aquilegia,SCsuper,PC21,2.21
Aquilegia,SCsuper,PC22,2.1
Aquilegia,SCsuper,PC23,2.05
Aquilegia,SCsuper,PC24,1.98
Aquilegia,SCsuper,PC25,1.95
Aquilegia,SCsuper,PC26,1.93
Aquilegia,SCsuper,PC27,1.89
Aquilegia,SCsuper,PC28,1.79
Aquilegia,SCsuper,PC29,1.73
Aquilegia,SCsuper,PC30,1.64
Aquilegia,SCsuper,PC31,1.57
Aquilegia,SCsuper,PC32,1.53
Aquilegia,353_super,PC1,11.15
Aquilegia,353_super,PC2,7.57
Aquilegia,353_super,PC3,6.59
Aquilegia,353_super,PC4,5.4
Aquilegia,353_super,PC5,4.68
Aquilegia,353_super,PC6,4.34
Aquilegia,353_super,PC7,4.19
Aquilegia,353_super,PC8,3.59
Aquilegia,353_super,PC9,3.11
Aquilegia,353_super,PC10,3.08
Aquilegia,353_super,PC11,2.93
Aquilegia,353_super,PC12,2.79
Aquilegia,353_super,PC13,2.75
Aquilegia,353_super,PC14,2.69
Aquilegia,353_super,PC15,2.59
Aquilegia,353_super,PC16,2.55
Aquilegia,353_super,PC17,2.36
Aquilegia,353_super,PC18,2.32
Aquilegia,353_super,PC19,2.26
Aquilegia,353_super,PC20,2.22
Aquilegia,353_super,PC21,2.12
Aquilegia,353_super,PC22,2.02
Aquilegia,353_super,PC23,1.98
Aquilegia,353_super,PC24,1.93
Aquilegia,353_super,PC25,1.88
Aquilegia,353_super,PC26,1.83
Aquilegia,353_super,PC27,1.75
Aquilegia,353_super,PC28,1.58
Aquilegia,353_super,PC29,1.5
Aquilegia,353_super,PC30,1.47
Aquilegia,353_super,PC31,1.41
Aquilegia,353_super,PC32,1.37
Aquilegia,genome,PC1,10.4
Aquilegia,genome,PC2,7.23
Aquilegia,genome,PC3,6.95
Aquilegia,genome,PC4,4.48
Aquilegia,genome,PC5,4.32
Aquilegia,genome,PC6,4.21
Aquilegia,genome,PC7,4.07
Aquilegia,genome,PC8,3.36
Aquilegia,genome,PC9,3.03
Aquilegia,genome,PC10,2.96
Aquilegia,genome,PC11,2.88
Aquilegia,genome,PC12,2.81
Aquilegia,genome,PC13,2.76
Aquilegia,genome,PC14,2.71
Aquilegia,genome,PC15,2.62
Aquilegia,genome,PC16,2.51
Aquilegia,genome,PC17,2.45
Aquilegia,genome,PC18,2.4
Aquilegia,genome,PC19,2.24
Aquilegia,genome,PC20,2.22
Aquilegia,genome,PC21,2.21
Aquilegia,genome,PC22,2.15
Aquilegia,genome,PC23,2.11
Aquilegia,genome,PC24,2.11
Aquilegia,genome,PC25,2.09
Aquilegia,genome,PC26,2.07
Aquilegia,genome,PC27,1.96
Aquilegia,genome,PC28,1.83
Aquilegia,genome,PC29,1.82
Aquilegia,genome,PC30,1.71
Aquilegia,genome,PC31,1.69
Aquilegia,genome,PC32,1.64
Aquilegia,BUSCOsuper,PC1,11.17
Aquilegia,BUSCOsuper,PC2,7.78
Aquilegia,BUSCOsuper,PC3,6.88
Aquilegia,BUSCOsuper,PC4,5.09
Aquilegia,BUSCOsuper,PC5,4.71
Aquilegia,BUSCOsuper,PC6,4.4
Aquilegia,BUSCOsuper,PC7,4.28
Aquilegia,BUSCOsuper,PC8,3.37
Aquilegia,BUSCOsuper,PC9,3.02
Aquilegia,BUSCOsuper,PC10,2.97
Aquilegia,BUSCOsuper,PC11,2.92
Aquilegia,BUSCOsuper,PC12,2.81
Aquilegia,BUSCOsuper,PC13,2.72
Aquilegia,BUSCOsuper,PC14,2.61
Aquilegia,BUSCOsuper,PC15,2.53
Aquilegia,BUSCOsuper,PC16,2.41
Aquilegia,BUSCOsuper,PC17,2.36
Aquilegia,BUSCOsuper,PC18,2.31
Aquilegia,BUSCOsuper,PC19,2.19
Aquilegia,BUSCOsuper,PC20,2.12
Aquilegia,BUSCOsuper,PC21,2.08
Aquilegia,BUSCOsuper,PC22,2.05
Aquilegia,BUSCOsuper,PC23,2.03
Aquilegia,BUSCOsuper,PC24,1.92
Aquilegia,BUSCOsuper,PC25,1.83
Aquilegia,BUSCOsuper,PC26,1.82
Aquilegia,BUSCOsuper,PC27,1.8
Aquilegia,BUSCOsuper,PC28,1.65
Aquilegia,BUSCOsuper,PC29,1.61
Aquilegia,BUSCOsuper,PC30,1.58
Aquilegia,BUSCOsuper,PC31,1.51
Aquilegia,BUSCOsuper,PC32,1.47
Aquilegia,BUSCO ,PC1,11.36
Aquilegia,BUSCO ,PC2,7.68
Aquilegia,BUSCO ,PC3,6.38
Aquilegia,BUSCO ,PC4,4.6
Aquilegia,BUSCO ,PC5,4.49
Aquilegia,BUSCO ,PC6,4.14
Aquilegia,BUSCO ,PC7,3.93
Aquilegia,BUSCO ,PC8,3.52
Aquilegia,BUSCO ,PC9,3.08
Aquilegia,BUSCO ,PC10,3.06
Aquilegia,BUSCO ,PC11,2.91
Aquilegia,BUSCO ,PC12,2.84
Aquilegia,BUSCO ,PC13,2.71
Aquilegia,BUSCO ,PC14,2.69
Aquilegia,BUSCO ,PC15,2.52
Aquilegia,BUSCO ,PC16,2.49
Aquilegia,BUSCO ,PC17,2.45
Aquilegia,BUSCO ,PC18,2.34
Aquilegia,BUSCO ,PC19,2.29
Aquilegia,BUSCO ,PC20,2.27
Aquilegia,BUSCO ,PC21,2.25
Aquilegia,BUSCO ,PC22,2.11
Aquilegia,BUSCO ,PC23,2.08
Aquilegia,BUSCO ,PC24,1.97
Aquilegia,BUSCO ,PC25,1.93
Aquilegia,BUSCO ,PC26,1.91
Aquilegia,BUSCO ,PC27,1.87
Aquilegia,BUSCO ,PC28,1.74
Aquilegia,BUSCO ,PC29,1.71
Aquilegia,BUSCO ,PC30,1.58
Aquilegia,BUSCO ,PC31,1.57
Aquilegia,BUSCO ,PC32,1.52
Aquilegia,singlecopy,PC1,10.86
Aquilegia,singlecopy,PC2,7.6
Aquilegia,singlecopy,PC3,6.91
Aquilegia,singlecopy,PC4,4.87
Aquilegia,singlecopy,PC5,4.62
Aquilegia,singlecopy,PC6,4.35
Aquilegia,singlecopy,PC7,4.18
Aquilegia,singlecopy,PC8,3.5
Aquilegia,singlecopy,PC9,3
Aquilegia,singlecopy,PC10,2.9
Aquilegia,singlecopy,PC11,2.85
Aquilegia,singlecopy,PC12,2.79
Aquilegia,singlecopy,PC13,2.74
Aquilegia,singlecopy,PC14,2.69
Aquilegia,singlecopy,PC15,2.6
Aquilegia,singlecopy,PC16,2.45
Aquilegia,singlecopy,PC17,2.37
Aquilegia,singlecopy,PC18,2.32
Aquilegia,singlecopy,PC19,2.24
Aquilegia,singlecopy,PC20,2.19
Aquilegia,singlecopy,PC21,2.13
Aquilegia,singlecopy,PC22,2.08
Aquilegia,singlecopy,PC23,2.02
Aquilegia,singlecopy,PC24,1.96
Aquilegia,singlecopy,PC25,1.9
Aquilegia,singlecopy,PC26,1.85
Aquilegia,singlecopy,PC27,1.83
Aquilegia,singlecopy,PC28,1.74
Aquilegia,singlecopy,PC29,1.73
Aquilegia,singlecopy,PC30,1.67
Aquilegia,singlecopy,PC31,1.57
Aquilegia,singlecopy,PC32,1.5
Aquilegia,353_gene,PC1,11.32
Aquilegia,353_gene,PC2,7.52
Aquilegia,353_gene,PC3,6.43
Aquilegia,353_gene,PC4,5.15
Aquilegia,353_gene,PC5,4.84
Aquilegia,353_gene,PC6,4.39
Aquilegia,353_gene,PC7,4.04
Aquilegia,353_gene,PC8,3.59
Aquilegia,353_gene,PC9,3.28
Aquilegia,353_gene,PC10,3.05
Aquilegia,353_gene,PC11,2.97
Aquilegia,353_gene,PC12,2.77
Aquilegia,353_gene,PC13,2.73
Aquilegia,353_gene,PC14,2.68
Aquilegia,353_gene,PC15,2.65
Aquilegia,353_gene,PC16,2.57
Aquilegia,353_gene,PC17,2.47
Aquilegia,353_gene,PC18,2.41
Aquilegia,353_gene,PC19,2.35
Aquilegia,353_gene,PC20,2.25
Aquilegia,353_gene,PC21,2.17
Aquilegia,353_gene,PC22,2.09
Aquilegia,353_gene,PC23,2.03
Aquilegia,353_gene,PC24,1.94
Aquilegia,353_gene,PC25,1.82
Aquilegia,353_gene,PC26,1.69
Aquilegia,353_gene,PC27,1.64
Aquilegia,353_gene,PC28,1.58
Aquilegia,353_gene,PC29,1.52
Aquilegia,353_gene,PC30,1.47
Aquilegia,353_gene,PC31,1.35
Aquilegia,353_gene,PC32,1.25
Atriplex,353_super,PC1,53.65
Atriplex,353_super,PC2,19.78
Atriplex,353_super,PC3,3.75
Atriplex,353_super,PC4,1.55
Atriplex,353_super,PC5,1.35
Atriplex,353_super,PC6,1.28
Atriplex,353_super,PC7,1.26
Atriplex,353_super,PC8,1.09
Atriplex,353_super,PC9,1
Atriplex,353_super,PC10,0.99
Atriplex,353_super,PC11,0.87
Atriplex,353_super,PC12,0.85
Atriplex,353_super,PC13,0.76
Atriplex,353_super,PC14,0.73
Atriplex,353_super,PC15,0.7
Atriplex,353_super,PC16,0.68
Atriplex,353_super,PC17,0.63
Atriplex,353_super,PC18,0.62
Atriplex,353_super,PC19,0.57
Atriplex,353_super,PC20,0.55
Atriplex,353_super,PC21,0.52
Atriplex,353_super,PC22,0.45
Atriplex,353_super,PC23,0.43
Atriplex,353_super,PC24,0.42
Atriplex,353_super,PC25,0.4
Atriplex,353_super,PC26,0.38
Atriplex,353_super,PC27,0.36
Atriplex,353_super,PC28,0.35
Atriplex,353_super,PC29,0.33
Atriplex,353_super,PC30,0.33
Atriplex,353_super,PC31,0.3
Atriplex,353_super,PC32,0.29
Atriplex,genome,PC1,48.92
Atriplex,genome,PC2,16.3
Atriplex,genome,PC3,5.5
Atriplex,genome,PC4,4.6
Atriplex,genome,PC5,2.35
Atriplex,genome,PC6,2.12
Atriplex,genome,PC7,1.65
Atriplex,genome,PC8,1.52
Atriplex,genome,PC9,1.48
Atriplex,genome,PC10,1.39
Atriplex,genome,PC11,1.32
Atriplex,genome,PC12,1.2
Atriplex,genome,PC13,1.18
Atriplex,genome,PC14,1.12
Atriplex,genome,PC15,1.11
Atriplex,genome,PC16,1.1
Atriplex,genome,PC17,1.09
Atriplex,genome,PC18,0.84
Atriplex,genome,PC19,0.75
Atriplex,genome,PC20,0.68
Atriplex,genome,PC21,0.64
Atriplex,genome,PC22,0.15
Atriplex,genome,PC23,0.14
Atriplex,genome,PC24,0.14
Atriplex,genome,PC25,0.14
Atriplex,genome,PC26,0.13
Atriplex,genome,PC27,0.13
Atriplex,genome,PC28,0.13
Atriplex,genome,PC29,0.13
Atriplex,genome,PC30,0.12
Atriplex,genome,PC31,0.12
Atriplex,genome,PC32,0.12
Atriplex,singlecopy,PC1,31.89
Atriplex,singlecopy,PC2,28.45
Atriplex,singlecopy,PC3,5.97
Atriplex,singlecopy,PC4,1.27
Atriplex,singlecopy,PC5,1.16
Atriplex,singlecopy,PC6,1.12
Atriplex,singlecopy,PC7,1.09
Atriplex,singlecopy,PC8,1.07
Atriplex,singlecopy,PC9,1.01
Atriplex,singlecopy,PC10,0.97
Atriplex,singlecopy,PC11,0.95
Atriplex,singlecopy,PC12,0.93
Atriplex,singlecopy,PC13,0.91
Atriplex,singlecopy,PC14,0.88
Atriplex,singlecopy,PC15,0.86
Atriplex,singlecopy,PC16,0.85
Atriplex,singlecopy,PC17,0.83
Atriplex,singlecopy,PC18,0.82
Atriplex,singlecopy,PC19,0.79
Atriplex,singlecopy,PC20,0.78
Atriplex,singlecopy,PC21,0.77
Atriplex,singlecopy,PC22,0.76
Atriplex,singlecopy,PC23,0.74
Atriplex,singlecopy,PC24,0.73
Atriplex,singlecopy,PC25,0.7
Atriplex,singlecopy,PC26,0.69
Atriplex,singlecopy,PC27,0.67
Atriplex,singlecopy,PC28,0.67
Atriplex,singlecopy,PC29,0.66
Atriplex,singlecopy,PC30,0.65
Atriplex,singlecopy,PC31,0.65
Atriplex,singlecopy,PC32,0.64
Atriplex,SCsuper,PC1,35.84
Atriplex,SCsuper,PC2,22.82
Atriplex,SCsuper,PC3,5.91
Atriplex,SCsuper,PC4,1.32
Atriplex,SCsuper,PC5,1.16
Atriplex,SCsuper,PC6,1.11
Atriplex,SCsuper,PC7,1.1
Atriplex,SCsuper,PC8,1.03
Atriplex,SCsuper,PC9,1
Atriplex,SCsuper,PC10,0.99
Atriplex,SCsuper,PC11,0.97
Atriplex,SCsuper,PC12,0.94
Atriplex,SCsuper,PC13,0.92
Atriplex,SCsuper,PC14,0.91
Atriplex,SCsuper,PC15,0.9
Atriplex,SCsuper,PC16,0.89
Atriplex,SCsuper,PC17,0.87
Atriplex,SCsuper,PC18,0.86
Atriplex,SCsuper,PC19,0.85
Atriplex,SCsuper,PC20,0.84
Atriplex,SCsuper,PC21,0.82
Atriplex,SCsuper,PC22,0.81
Atriplex,SCsuper,PC23,0.79
Atriplex,SCsuper,PC24,0.79
Atriplex,SCsuper,PC25,0.78
Atriplex,SCsuper,PC26,0.75
Atriplex,SCsuper,PC27,0.74
Atriplex,SCsuper,PC28,0.73
Atriplex,SCsuper,PC29,0.73
Atriplex,SCsuper,PC30,0.72
Atriplex,SCsuper,PC31,0.7
Atriplex,SCsuper,PC32,0.69
Atriplex,BUSCOsuper,PC1,44.76
Atriplex,BUSCOsuper,PC2,18.12
Atriplex,BUSCOsuper,PC3,5.27
Atriplex,BUSCOsuper,PC4,1.4
Atriplex,BUSCOsuper,PC5,1.25
Atriplex,BUSCOsuper,PC6,1.19
Atriplex,BUSCOsuper,PC7,1.15
Atriplex,BUSCOsuper,PC8,1.11
Atriplex,BUSCOsuper,PC9,1.07
Atriplex,BUSCOsuper,PC10,1.06
Atriplex,BUSCOsuper,PC11,1.02
Atriplex,BUSCOsuper,PC12,1.01
Atriplex,BUSCOsuper,PC13,0.96
Atriplex,BUSCOsuper,PC14,0.94
Atriplex,BUSCOsuper,PC15,0.9
Atriplex,BUSCOsuper,PC16,0.89
Atriplex,BUSCOsuper,PC17,0.84
Atriplex,BUSCOsuper,PC18,0.83
Atriplex,BUSCOsuper,PC19,0.81
Atriplex,BUSCOsuper,PC20,0.78
Atriplex,BUSCOsuper,PC21,0.76
Atriplex,BUSCOsuper,PC22,0.75
Atriplex,BUSCOsuper,PC23,0.74
Atriplex,BUSCOsuper,PC24,0.71
Atriplex,BUSCOsuper,PC25,0.7
Atriplex,BUSCOsuper,PC26,0.68
Atriplex,BUSCOsuper,PC27,0.67
Atriplex,BUSCOsuper,PC28,0.66
Atriplex,BUSCOsuper,PC29,0.65
Atriplex,BUSCOsuper,PC30,0.62
Atriplex,BUSCOsuper,PC31,0.6
Atriplex,BUSCOsuper,PC32,0.59
Atriplex,BUSCO,PC1,62.48
Atriplex,BUSCO,PC2,11.41
Atriplex,BUSCO,PC3,2.47
Atriplex,BUSCO,PC4,1.9
Atriplex,BUSCO,PC5,1.25
Atriplex,BUSCO,PC6,1.22
Atriplex,BUSCO,PC7,1.13
Atriplex,BUSCO,PC8,0.98
Atriplex,BUSCO,PC9,0.93
Atriplex,BUSCO,PC10,0.92
Atriplex,BUSCO,PC11,0.88
Atriplex,BUSCO,PC12,0.84
Atriplex,BUSCO,PC13,0.83
Atriplex,BUSCO,PC14,0.8
Atriplex,BUSCO,PC15,0.77
Atriplex,BUSCO,PC16,0.72
Atriplex,BUSCO,PC17,0.69
Atriplex,BUSCO,PC18,0.67
Atriplex,BUSCO,PC19,0.63
Atriplex,BUSCO,PC20,0.61
Atriplex,BUSCO,PC21,0.58
Atriplex,BUSCO,PC22,0.54
Atriplex,BUSCO,PC23,0.53
