Sample,Het,adjusted_het,taxa,life_history,breeding_system,genome_size
UCE,0.0181289,1.54892E-07,Acer,perennial,outcrossing,medium
UCE,0.0171641,1.46649E-07,Acer,perennial,outcrossing,medium
UCE,0.0181404,1.54991E-07,Acer,perennial,outcrossing,medium
UCE,0.0175407,1.49867E-07,Acer,perennial,outcrossing,medium
UCE,0.0166989,1.42674E-07,Acer,perennial,outcrossing,medium
UCE,0.0172923,1.47744E-07,Acer,perennial,outcrossing,medium
UCE,0.0170663,1.45813E-07,Acer,perennial,outcrossing,medium
UCE,0.0164572,1.40609E-07,Acer,perennial,outcrossing,medium
UCE,0.0178189,1.52244E-07,Acer,perennial,outcrossing,medium
UCE,0.0175102,1.49606E-07,Acer,perennial,outcrossing,medium
UCE,0.0174827,1.49371E-07,Acer,perennial,outcrossing,medium
UCE,0.0183214,1.56537E-07,Acer,perennial,outcrossing,medium
UCE,0.0187299,1.60027E-07,Acer,perennial,outcrossing,medium
UCE,0.0184746,1.57846E-07,Acer,perennial,outcrossing,medium
UCE,0.0179834,1.53649E-07,Acer,perennial,outcrossing,medium
UCE,0.0198779,1.69836E-07,Acer,perennial,outcrossing,medium
UCE,0.0184524,1.57656E-07,Acer,perennial,outcrossing,medium
UCE,0.0173788,1.48483E-07,Acer,perennial,outcrossing,medium
UCE,0.0197516,1.68757E-07,Acer,perennial,outcrossing,medium
UCE,0.0183977,1.57189E-07,Acer,perennial,outcrossing,medium
UCE,0.0187913,1.60552E-07,Acer,perennial,outcrossing,medium
UCE,0.017668,1.50954E-07,Acer,perennial,outcrossing,medium
UCE,0.0180516,1.54232E-07,Acer,perennial,outcrossing,medium
UCE,0.0179066,1.52993E-07,Acer,perennial,outcrossing,medium
UCE,0.0175602,1.50033E-07,Acer,perennial,outcrossing,medium
UCE,0.0176318,1.50645E-07,Acer,perennial,outcrossing,medium
UCE,0.0177362,1.51537E-07,Acer,perennial,outcrossing,medium
UCE,0.0172848,1.4768E-07,Acer,perennial,outcrossing,medium
UCE,0.0178562,1.52562E-07,Acer,perennial,outcrossing,medium
UCE,0.0171584,1.466E-07,Acer,perennial,outcrossing,medium
UCE,0.0177263,1.51452E-07,Acer,perennial,outcrossing,medium
UCE,0.0182645,1.56051E-07,Acer,perennial,outcrossing,medium
UCE,0.0175587,1.50021E-07,Acer,perennial,outcrossing,medium
UCE,0.0172499,1.47382E-07,Acer,perennial,outcrossing,medium
UCE,0.0178114,1.5218E-07,Acer,perennial,outcrossing,medium
UCE,0.0175173,1.49667E-07,Acer,perennial,outcrossing,medium
UCE,0.0176162,1.50512E-07,Acer,perennial,outcrossing,medium
UCE,0.0181973,1.55477E-07,Acer,perennial,outcrossing,medium
UCE,0.0181917,1.55429E-07,Acer,perennial,outcrossing,medium
UCE,0.0185109,1.58156E-07,Acer,perennial,outcrossing,medium
UCE,0.017502,1.49536E-07,Acer,perennial,outcrossing,medium
UCE_super,0.0208181,1.0997E-07,Acer,perennial,outcrossing,medium
UCE_super,0.0198412,1.0481E-07,Acer,perennial,outcrossing,medium
UCE_super,0.0210456,1.11172E-07,Acer,perennial,outcrossing,medium
UCE_super,0.0193492,1.02211E-07,Acer,perennial,outcrossing,medium
UCE_super,0.0190518,1.0064E-07,Acer,perennial,outcrossing,medium
UCE_super,0.0202145,1.06782E-07,Acer,perennial,outcrossing,medium
UCE_super,0.0201189,1.06277E-07,Acer,perennial,outcrossing,medium
UCE_super,0.0197718,1.04443E-07,Acer,perennial,outcrossing,medium
UCE_super,0.0200481,1.05903E-07,Acer,perennial,outcrossing,medium
UCE_super,0.019937,1.05316E-07,Acer,perennial,outcrossing,medium
