Sample,Het,adjusted_het,taxa,life_history,breeding_system,genome_size
singlecopy,0.0144227,5.04585E-09,Aquilegia,perennial,outcrossing,medium
singlecopy,0.0163841,5.73205E-09,Aquilegia,perennial,outcrossing,medium
singlecopy,0.0193889,6.7833E-09,Aquilegia,perennial,outcrossing,medium
singlecopy,0.0161356,5.64511E-09,Aquilegia,perennial,outcrossing,medium
singlecopy,0.0155313,5.4337E-09,Aquilegia,perennial,outcrossing,medium
singlecopy,0.0176321,6.16867E-09,Aquilegia,perennial,outcrossing,medium
singlecopy,0.0179852,6.29221E-09,Aquilegia,perennial,outcrossing,medium
singlecopy,0.0158724,5.55303E-09,Aquilegia,perennial,outcrossing,medium
singlecopy,0.0168414,5.89204E-09,Aquilegia,perennial,outcrossing,medium
singlecopy,0.0171738,6.00833E-09,Aquilegia,perennial,outcrossing,medium
singlecopy,0.0159648,5.58536E-09,Aquilegia,perennial,outcrossing,medium
singlecopy,0.0170306,5.95823E-09,Aquilegia,perennial,outcrossing,medium
singlecopy,0.014538,5.08619E-09,Aquilegia,perennial,outcrossing,medium
singlecopy,0.0157822,5.52148E-09,Aquilegia,perennial,outcrossing,medium
singlecopy,0.0153484,5.36971E-09,Aquilegia,perennial,outcrossing,medium
singlecopy,0.0166911,5.83946E-09,Aquilegia,perennial,outcrossing,medium
singlecopy,0.0169873,5.94309E-09,Aquilegia,perennial,outcrossing,medium
singlecopy,0.0170729,5.97303E-09,Aquilegia,perennial,outcrossing,medium
singlecopy,0.0177259,6.20149E-09,Aquilegia,perennial,outcrossing,medium
singlecopy,0.019528,6.83196E-09,Aquilegia,perennial,outcrossing,medium
singlecopy,0.0160295,5.60799E-09,Aquilegia,perennial,outcrossing,medium
singlecopy,0.0158563,5.5474E-09,Aquilegia,perennial,outcrossing,medium
singlecopy,0.0197346,6.90424E-09,Aquilegia,perennial,outcrossing,medium
singlecopy,0.0164297,5.74801E-09,Aquilegia,perennial,outcrossing,medium
singlecopy,0.0161584,5.65309E-09,Aquilegia,perennial,outcrossing,medium
singlecopy,0.0199562,6.98177E-09,Aquilegia,perennial,outcrossing,medium
singlecopy,0.0178643,6.24991E-09,Aquilegia,perennial,outcrossing,medium
singlecopy,0.0198472,6.94363E-09,Aquilegia,perennial,outcrossing,medium
singlecopy,0.017488,6.11826E-09,Aquilegia,perennial,outcrossing,medium
singlecopy,0.0164288,5.74769E-09,Aquilegia,perennial,outcrossing,medium
singlecopy,0.017961,6.28374E-09,Aquilegia,perennial,outcrossing,medium
singlecopy,0.0192896,6.74856E-09,Aquilegia,perennial,outcrossing,medium
singlecopy,0.016874,5.90345E-09,Aquilegia,perennial,outcrossing,medium
SCsuper,0.015199,2.77687E-09,Aquilegia,perennial,outcrossing,medium
SCsuper,0.0173118,3.16289E-09,Aquilegia,perennial,outcrossing,medium
SCsuper,0.0204322,3.73299E-09,Aquilegia,perennial,outcrossing,medium
SCsuper,0.0167761,3.06501E-09,Aquilegia,perennial,outcrossing,medium
SCsuper,0.0163607,2.98912E-09,Aquilegia,perennial,outcrossing,medium
SCsuper,0.0184218,3.36568E-09,Aquilegia,perennial,outcrossing,medium
SCsuper,0.0185856,3.39561E-09,Aquilegia,perennial,outcrossing,medium
SCsuper,0.0166818,3.04778E-09,Aquilegia,perennial,outcrossing,medium
SCsuper,0.0178615,3.26332E-09,Aquilegia,perennial,outcrossing,medium
SCsuper,0.0183604,3.35447E-09,Aquilegia,perennial,outcrossing,medium
SCsuper,0.0167901,3.06757E-09,Aquilegia,perennial,outcrossing,medium
SCsuper,0.0179809,3.28513E-09,Aquilegia,perennial,outcrossing,medium
SCsuper,0.0153346,2.80165E-09,Aquilegia,perennial,outcrossing,medium
SCsuper,0.0167375,3.05796E-09,Aquilegia,perennial,outcrossing,medium
SCsuper,0.0157923,2.88527E-09,Aquilegia,perennial,outcrossing,medium
SCsuper,0.0175184,3.20063E-09,Aquilegia,perennial,outcrossing,medium
SCsuper,0.0179857,3.28601E-09,Aquilegia,perennial,outcrossing,medium
SCsuper,0.0181796,3.32143E-09,Aquilegia,perennial,outcrossing,medium
SCsuper,0.0184265,3.36654E-09,Aquilegia,perennial,outcrossing,medium
SCsuper,0.0206921,3.78047E-09,Aquilegia,perennial,outcrossing,medium
SCsuper,0.0168476,3.07808E-09,Aquilegia,perennial,outcrossing,medium
SCsuper,0.016686,3.04855E-09,Aquilegia,perennial,outcrossing,medium
SCsuper,0.0207807,3.79666E-09,Aquilegia,perennial,outcrossing,medium
SCsuper,0.0171973,3.14197E-09,Aquilegia,perennial,outcrossing,medium
SCsuper,0.0170848,3.12141E-09,Aquilegia,perennial,outcrossing,medium
SCsuper,0.0211195,3.85856E-09,Aquilegia,perennial,outcrossing,medium
SCsuper,0.018864,3.44647E-09,Aquilegia,perennial,outcrossing,medium
SCsuper,0.0210652,3.84864E-09,Aquilegia,perennial,outcrossing,medium
SCsuper,0.018475,3.3754E-09,Aquilegia,perennial,outcrossing,medium
SCsuper,0.0175113,3.19933E-09,Aquilegia,perennial,outcrossing,medium
SCsuper,0.0190898,3.48773E-09,Aquilegia,perennial,outcrossing,medium
SCsuper,0.0203216,3.71278E-09,Aquilegia,perennial,outcrossing,medium
SCsuper,0.0180566,3.29896E-09,Aquilegia,perennial,outcrossing,medium
genome,0.00692165,2.36068E-11,Aquilegia,perennial,outcrossing,medium
genome,0.0099751,3.40208E-11,Aquilegia,perennial,outcrossing,medium
genome,0.012845,4.38088E-11,Aquilegia,perennial,outcrossing,medium
genome,0.00789326,2.69205E-11,Aquilegia,perennial,outcrossing,medium
genome,0.00781477,2.66529E-11,Aquilegia,perennial,outcrossing,medium
