Sample,,adjusted_het,taxa,life_history,breeding_system,genome_size
UCE,,3.19E-08,Atriplex,annual,selfing,medium
UCE,,3.41E-08,Atriplex,annual,selfing,medium
UCE,,3.18E-08,Atriplex,annual,selfing,medium
UCE,,3.00E-08,Atriplex,annual,selfing,medium
UCE,,2.92E-08,Atriplex,annual,selfing,medium
UCE,,3.06E-08,Atriplex,annual,selfing,medium
UCE,,3.12E-08,Atriplex,annual,selfing,medium
UCE,,3.13E-08,Atriplex,annual,selfing,medium
UCE,,3.16E-08,Atriplex,annual,selfing,medium
UCE,,2.99E-08,Atriplex,annual,selfing,medium
UCE,,1.13E-07,Atriplex,annual,selfing,medium
UCE,,3.11E-08,Atriplex,annual,selfing,medium
UCE,,3.09E-08,Atriplex,annual,selfing,medium
UCE,,3.19E-08,Atriplex,annual,selfing,medium
UCE,,3.09E-08,Atriplex,annual,selfing,medium
UCE,,3.01E-08,Atriplex,annual,selfing,medium
UCE,,1.14E-07,Atriplex,annual,selfing,medium
UCE,,3.93E-08,Atriplex,annual,selfing,medium
UCE,,2.94E-08,Atriplex,annual,selfing,medium
UCE,,3.04E-08,Atriplex,annual,selfing,medium
UCE,,3.15E-08,Atriplex,annual,selfing,medium
UCE_super,,1.29E-08,Atriplex,annual,selfing,medium
UCE_super,,1.36E-08,Atriplex,annual,selfing,medium
UCE_super,,1.33E-08,Atriplex,annual,selfing,medium
UCE_super,,1.90E-08,Atriplex,annual,selfing,medium
UCE_super,,1.93E-08,Atriplex,annual,selfing,medium
UCE_super,,2.08E-08,Atriplex,annual,selfing,medium
UCE_super,,1.99E-08,Atriplex,annual,selfing,medium
UCE_super,,2.08E-08,Atriplex,annual,selfing,medium
UCE_super,,2.10E-08,Atriplex,annual,selfing,medium
UCE_super,,1.87E-08,Atriplex,annual,selfing,medium
UCE_super,,4.20E-08,Atriplex,annual,selfing,medium
UCE_super,,2.02E-08,Atriplex,annual,selfing,medium
UCE_super,,1.12E-08,Atriplex,annual,selfing,medium
UCE_super,,2.14E-08,Atriplex,annual,selfing,medium
UCE_super,,2.04E-08,Atriplex,annual,selfing,medium
UCE_super,,1.22E-08,Atriplex,annual,selfing,medium
UCE_super,,4.30E-08,Atriplex,annual,selfing,medium
UCE_super,,2.48E-08,Atriplex,annual,selfing,medium
UCE_super,,2.00E-08,Atriplex,annual,selfing,medium
UCE_super,,2.00E-08,Atriplex,annual,selfing,medium
UCE_super,,2.05E-08,Atriplex,annual,selfing,medium
UCE_super,,4.15E-09,Atriplex,annual,selfing,medium
UCE_super,,4.19E-09,Atriplex,annual,selfing,medium
UCE_super,,5.22E-09,Atriplex,annual,selfing,medium
UCE_super,,5.16E-09,Atriplex,annual,selfing,medium
UCE_super,,4.98E-09,Atriplex,annual,selfing,medium
UCE_super,,5.00E-09,Atriplex,annual,selfing,medium
UCE_super,,4.68E-09,Atriplex,annual,selfing,medium
UCE_super,,4.65E-09,Atriplex,annual,selfing,medium
UCE_super,,3.88E-09,Atriplex,annual,selfing,medium
UCE_super,,4.68E-09,Atriplex,annual,selfing,medium
UCE_super,,5.18E-09,Atriplex,annual,selfing,medium
UCE_super,,5.12E-09,Atriplex,annual,selfing,medium
UCE_super,,6.33E-09,Atriplex,annual,selfing,medium
UCE_super,,6.07E-09,Atriplex,annual,selfing,medium
UCE_super,,5.71E-09,Atriplex,annual,selfing,medium
UCE_super,,5.51E-09,Atriplex,annual,selfing,medium
UCE_super,,5.73E-09,Atriplex,annual,selfing,medium
UCE_super,,4.32E-09,Atriplex,annual,selfing,medium
UCE_super,,4.54E-09,Atriplex,annual,selfing,medium
UCE_super,,4.31E-09,Atriplex,annual,selfing,medium
UCE_super,,4.26E-09,Atriplex,annual,selfing,medium
UCE_super,,4.99E-09,Atriplex,annual,selfing,medium
UCE_super,,5.70E-09,Atriplex,annual,selfing,medium
UCE_super,,5.18E-09,Atriplex,annual,selfing,medium
UCE_super,,4.20E-09,Atriplex,annual,selfing,medium
UCE_super,,4.82E-09,Atriplex,annual,selfing,medium
UCE_super,,4.42E-09,Atriplex,annual,selfing,medium
UCE_super,,3.85E-09,Atriplex,annual,selfing,medium
UCE_super,,4.86E-09,Atriplex,annual,selfing,medium
