Sample,Het,adjusted_het,taxa,life_history,breeding_system,genome_size
singlecopy,0.0291338,4.68565E-09,Begonia,perennial,outcrossing,small
singlecopy,0.0301753,4.85315E-09,Begonia,perennial,outcrossing,small
singlecopy,0.0286141,4.60206E-09,Begonia,perennial,outcrossing,small
singlecopy,0.0303352,4.87887E-09,Begonia,perennial,outcrossing,small
singlecopy,0.0299476,4.81653E-09,Begonia,perennial,outcrossing,small
singlecopy,0.0307577,4.94682E-09,Begonia,perennial,outcrossing,small
singlecopy,0.0304881,4.90346E-09,Begonia,perennial,outcrossing,small
singlecopy,0.0304253,4.89336E-09,Begonia,perennial,outcrossing,small
singlecopy,0.0310077,4.98703E-09,Begonia,perennial,outcrossing,small
singlecopy,0.0304764,4.90158E-09,Begonia,perennial,outcrossing,small
singlecopy,0.0306266,4.92574E-09,Begonia,perennial,outcrossing,small
singlecopy,0.0313055,5.03492E-09,Begonia,perennial,outcrossing,small
singlecopy,0.0311432,5.00882E-09,Begonia,perennial,outcrossing,small
singlecopy,0.0316373,5.08829E-09,Begonia,perennial,outcrossing,small
singlecopy,0.0305826,4.91866E-09,Begonia,perennial,outcrossing,small
singlecopy,0.0312421,5.02473E-09,Begonia,perennial,outcrossing,small
singlecopy,0.0297534,4.7853E-09,Begonia,perennial,outcrossing,small
singlecopy,0.0293051,4.7132E-09,Begonia,perennial,outcrossing,small
singlecopy,0.0289887,4.66231E-09,Begonia,perennial,outcrossing,small
singlecopy,0.0292274,4.7007E-09,Begonia,perennial,outcrossing,small
singlecopy,0.0294033,4.72899E-09,Begonia,perennial,outcrossing,small
singlecopy,0.029062,4.6741E-09,Begonia,perennial,outcrossing,small
singlecopy,0.029465,4.73891E-09,Begonia,perennial,outcrossing,small
singlecopy,0.0314471,5.0577E-09,Begonia,perennial,outcrossing,small
singlecopy,0.0309239,4.97355E-09,Begonia,perennial,outcrossing,small
singlecopy,0.0313736,5.04588E-09,Begonia,perennial,outcrossing,small
singlecopy,0.0313994,5.05003E-09,Begonia,perennial,outcrossing,small
singlecopy,0.0316521,5.09067E-09,Begonia,perennial,outcrossing,small
singlecopy,0.031016,4.98836E-09,Begonia,perennial,outcrossing,small
singlecopy,0.0309907,4.98429E-09,Begonia,perennial,outcrossing,small
singlecopy,0.0311265,5.00614E-09,Begonia,perennial,outcrossing,small
singlecopy,0.0299145,4.81121E-09,Begonia,perennial,outcrossing,small
singlecopy,0.0276498,4.44697E-09,Begonia,perennial,outcrossing,small
singlecopy,0.0319262,5.13475E-09,Begonia,perennial,outcrossing,small
singlecopy,0.0320393,5.15294E-09,Begonia,perennial,outcrossing,small
singlecopy,0.0308259,4.95779E-09,Begonia,perennial,outcrossing,small
singlecopy,0.035637,5.73157E-09,Begonia,perennial,outcrossing,small
SCsuper,0.0243467,1.90461E-09,Begonia,perennial,outcrossing,small
SCsuper,0.0254023,1.98719E-09,Begonia,perennial,outcrossing,small
SCsuper,0.024875,1.94594E-09,Begonia,perennial,outcrossing,small
SCsuper,0.026157,2.04623E-09,Begonia,perennial,outcrossing,small
SCsuper,0.0256619,2.0075E-09,Begonia,perennial,outcrossing,small
SCsuper,0.0261696,2.04722E-09,Begonia,perennial,outcrossing,small
SCsuper,0.0260313,2.0364E-09,Begonia,perennial,outcrossing,small
SCsuper,0.0257301,2.01284E-09,Begonia,perennial,outcrossing,small
SCsuper,0.0264309,2.06766E-09,Begonia,perennial,outcrossing,small
SCsuper,0.0260827,2.04042E-09,Begonia,perennial,outcrossing,small
SCsuper,0.0260342,2.03663E-09,Begonia,perennial,outcrossing,small
SCsuper,0.0278829,2.18125E-09,Begonia,perennial,outcrossing,small
SCsuper,0.0264273,2.06738E-09,Begonia,perennial,outcrossing,small
SCsuper,0.0258073,2.01888E-09,Begonia,perennial,outcrossing,small
SCsuper,0.0261396,2.04487E-09,Begonia,perennial,outcrossing,small
SCsuper,0.0260786,2.0401E-09,Begonia,perennial,outcrossing,small
SCsuper,0.0249347,1.95061E-09,Begonia,perennial,outcrossing,small
SCsuper,0.0245792,1.9228E-09,Begonia,perennial,outcrossing,small
SCsuper,0.0246594,1.92908E-09,Begonia,perennial,outcrossing,small
