Sample,Het,adjusted_het,taxa,life_history,breeding_system,genome_size
UCE,0.0264248,9.54E-08,Camellia,perennial,outcrossing,large
UCE,0.0267698,9.67E-08,Camellia,perennial,outcrossing,large
UCE,0.0262224,9.47E-08,Camellia,perennial,outcrossing,large
UCE,0.0257061,9.28E-08,Camellia,perennial,outcrossing,large
UCE,0.026256,9.48E-08,Camellia,perennial,outcrossing,large
UCE,0.0266941,9.64E-08,Camellia,perennial,outcrossing,large
UCE,0.0252769,9.13E-08,Camellia,perennial,outcrossing,large
UCE,0.0252699,9.12E-08,Camellia,perennial,outcrossing,large
UCE,0.0261947,9.46E-08,Camellia,perennial,outcrossing,large
UCE,0.0264799,9.56E-08,Camellia,perennial,outcrossing,large
UCE,0.0264034,9.53E-08,Camellia,perennial,outcrossing,large
UCE,0.025761,9.30E-08,Camellia,perennial,outcrossing,large
UCE,0.0249708,9.02E-08,Camellia,perennial,outcrossing,large
UCE,0.0247335,8.93E-08,Camellia,perennial,outcrossing,large
UCE,0.020826,7.52E-08,Camellia,perennial,outcrossing,large
UCE,0.0268152,9.68E-08,Camellia,perennial,outcrossing,large
UCE,0.0259187,9.36E-08,Camellia,perennial,outcrossing,large
UCE,0.026753,9.66E-08,Camellia,perennial,outcrossing,large
UCE,0.0259453,9.37E-08,Camellia,perennial,outcrossing,large
UCE,0.0261507,9.44E-08,Camellia,perennial,outcrossing,large
UCE,0.0258004,9.32E-08,Camellia,perennial,outcrossing,large
UCE,0.0267272,9.65E-08,Camellia,perennial,outcrossing,large
UCE,0.0257197,9.29E-08,Camellia,perennial,outcrossing,large
UCE,0.0255177,9.21E-08,Camellia,perennial,outcrossing,large
UCE,0.0255177,9.21E-08,Camellia,perennial,outcrossing,large
UCE_super,0.0286648,2.84E-08,Camellia,perennial,outcrossing,large
UCE_super,0.0300941,2.98E-08,Camellia,perennial,outcrossing,large
UCE_super,0.0286856,2.84E-08,Camellia,perennial,outcrossing,large
UCE_super,0.028594,2.83E-08,Camellia,perennial,outcrossing,large
UCE_super,0.0284731,2.82E-08,Camellia,perennial,outcrossing,large
UCE_super,0.0287854,2.85E-08,Camellia,perennial,outcrossing,large
UCE_super,0.0281377,2.79E-08,Camellia,perennial,outcrossing,large
UCE_super,0.0276282,2.74E-08,Camellia,perennial,outcrossing,large
UCE_super,0.0280744,2.78E-08,Camellia,perennial,outcrossing,large
UCE_super,0.0295944,2.93E-08,Camellia,perennial,outcrossing,large
UCE_super,0.0288764,2.86E-08,Camellia,perennial,outcrossing,large
UCE_super,0.0281849,2.79E-08,Camellia,perennial,outcrossing,large
UCE_super,0.0278901,2.76E-08,Camellia,perennial,outcrossing,large
UCE_super,0.0281098,2.78E-08,Camellia,perennial,outcrossing,large
UCE_super,0.0260018,2.57E-08,Camellia,perennial,outcrossing,large
UCE_super,0.0306904,3.04E-08,Camellia,perennial,outcrossing,large
UCE_super,0.0282744,2.80E-08,Camellia,perennial,outcrossing,large
UCE_super,0.0294121,2.91E-08,Camellia,perennial,outcrossing,large
UCE_super,0.0289987,2.87E-08,Camellia,perennial,outcrossing,large
UCE_super,0.0291518,2.89E-08,Camellia,perennial,outcrossing,large
UCE_super,0.0285451,2.83E-08,Camellia,perennial,outcrossing,large
UCE_super,0.0288576,2.86E-08,Camellia,perennial,outcrossing,large
UCE_super,0.0292046,2.89E-08,Camellia,perennial,outcrossing,large
UCE_super,0.0288513,2.86E-08,Camellia,perennial,outcrossing,large
UCE_super,0.0288985,2.86E-08,Camellia,perennial,outcrossing,large
BUSCO,0.018854,6.33E-09,Camellia,perennial,outcrossing,large
BUSCO,0.0201851,6.77E-09,Camellia,perennial,outcrossing,large
BUSCO,0.0194277,6.52E-09,Camellia,perennial,outcrossing,large
BUSCO,0.0191979,6.44E-09,Camellia,perennial,outcrossing,large
BUSCO,0.0191061,6.41E-09,Camellia,perennial,outcrossing,large
BUSCO,0.0194873,6.54E-09,Camellia,perennial,outcrossing,large
BUSCO,0.0192441,6.46E-09,Camellia,perennial,outcrossing,large
BUSCO,0.0187965,6.31E-09,Camellia,perennial,outcrossing,large
BUSCO,0.019259,6.46E-09,Camellia,perennial,outcrossing,large
BUSCO,0.0191858,6.44E-09,Camellia,perennial,outcrossing,large
BUSCO,0.0194114,6.51E-09,Camellia,perennial,outcrossing,large
BUSCO,0.0190847,6.40E-09,Camellia,perennial,outcrossing,large
BUSCO,0.0187995,6.31E-09,Camellia,perennial,outcrossing,large
BUSCO,0.018715,6.28E-09,Camellia,perennial,outcrossing,large
BUSCO,0.015725,5.28E-09,Camellia,perennial,outcrossing,large
BUSCO,0.0213731,7.17E-09,Camellia,perennial,outcrossing,large
BUSCO,0.0191733,6.43E-09,Camellia,perennial,outcrossing,large
BUSCO,0.0200284,6.72E-09,Camellia,perennial,outcrossing,large
BUSCO,0.0203799,6.84E-09,Camellia,perennial,outcrossing,large
BUSCO,0.020581,6.91E-09,Camellia,perennial,outcrossing,large
BUSCO,0.0202332,6.79E-09,Camellia,perennial,outcrossing,large
BUSCO,0.0192838,6.47E-09,Camellia,perennial,outcrossing,large
BUSCO,0.0189515,6.36E-09,Camellia,perennial,outcrossing,large
BUSCO,0.0189481,6.36E-09,Camellia,perennial,outcrossing,large
BUSCO,0.0198873,6.67E-09,Camellia,perennial,outcrossing,large
BUSCOsuper,0.0238469,2.87E-09,Camellia,perennial,outcrossing,large
BUSCOsuper,0.0253194,3.05E-09,Camellia,perennial,outcrossing,large
BUSCOsuper,0.024384,2.94E-09,Camellia,perennial,outcrossing,large
BUSCOsuper,0.0238288,2.87E-09,Camellia,perennial,outcrossing,large
BUSCOsuper,0.024044,2.90E-09,Camellia,perennial,outcrossing,large
BUSCOsuper,0.0238536,2.88E-09,Camellia,perennial,outcrossing,large
BUSCOsuper,0.0240339,2.90E-09,Camellia,perennial,outcrossing,large
BUSCOsuper,0.0235827,2.84E-09,Camellia,perennial,outcrossing,large
BUSCOsuper,0.0239084,2.88E-09,Camellia,perennial,outcrossing,large
BUSCOsuper,0.0248363,2.99E-09,Camellia,perennial,outcrossing,large
BUSCOsuper,0.0244222,2.94E-09,Camellia,perennial,outcrossing,large
BUSCOsuper,0.0238624,2.88E-09,Camellia,perennial,outcrossing,large
BUSCOsuper,0.023048,2.78E-09,Camellia,perennial,outcrossing,large
BUSCOsuper,0.0238223,2.87E-09,Camellia,perennial,outcrossing,large
BUSCOsuper,0.0227692,2.74E-09,Camellia,perennial,outcrossing,large
BUSCOsuper,0.0268802,3.24E-09,Camellia,perennial,outcrossing,large
BUSCOsuper,0.0239772,2.89E-09,Camellia,perennial,outcrossing,large
BUSCOsuper,0.0251298,3.03E-09,Camellia,perennial,outcrossing,large
BUSCOsuper,0.0251094,3.03E-09,Camellia,perennial,outcrossing,large
