Sample,Het,adjusted_het,taxa,life_history,breeding_system,genome_size
SCsuper,0.00487523,6.99524E-11,Canis,perennial,outcrossing,large
SCsuper,0.00472241,6.77597E-11,Canis,perennial,outcrossing,large
SCsuper,0.0052999,7.60458E-11,Canis,perennial,outcrossing,large
SCsuper,0.00533568,7.65592E-11,Canis,perennial,outcrossing,large
SCsuper,0.00443352,6.36145E-11,Canis,perennial,outcrossing,large
SCsuper,0.00462617,6.63788E-11,Canis,perennial,outcrossing,large
SCsuper,0.00451255,6.47485E-11,Canis,perennial,outcrossing,large
SCsuper,0.0044625,6.40303E-11,Canis,perennial,outcrossing,large
SCsuper,0.00476547,6.83775E-11,Canis,perennial,outcrossing,large
SCsuper,0.00445339,6.38996E-11,Canis,perennial,outcrossing,large
SCsuper,0.00437473,6.2771E-11,Canis,perennial,outcrossing,large
SCsuper,0.00477194,6.84704E-11,Canis,perennial,outcrossing,large
SCsuper,0.00484565,6.9528E-11,Canis,perennial,outcrossing,large
SCsuper,0.0055424,7.95253E-11,Canis,perennial,outcrossing,large
SCsuper,0.00434068,6.22824E-11,Canis,perennial,outcrossing,large
SCsuper,0.0053347,7.65451E-11,Canis,perennial,outcrossing,large
SCsuper,0.00497725,7.14163E-11,Canis,perennial,outcrossing,large
SCsuper,0.00494404,7.09397E-11,Canis,perennial,outcrossing,large
SCsuper,0.00505207,7.24898E-11,Canis,perennial,outcrossing,large
SCsuper,0.00566698,8.13129E-11,Canis,perennial,outcrossing,large
SCsuper,0.00525505,7.54023E-11,Canis,perennial,outcrossing,large
singlecopy,0.00865052,3.36058E-10,Canis,perennial,outcrossing,large
singlecopy,0.00842678,3.27366E-10,Canis,perennial,outcrossing,large
singlecopy,0.00895641,3.47941E-10,Canis,perennial,outcrossing,large
singlecopy,0.0090795,3.52723E-10,Canis,perennial,outcrossing,large
singlecopy,0.00800437,3.10956E-10,Canis,perennial,outcrossing,large
singlecopy,0.0081738,3.17538E-10,Canis,perennial,outcrossing,large
singlecopy,0.00801031,3.11187E-10,Canis,perennial,outcrossing,large
singlecopy,0.00807155,3.13566E-10,Canis,perennial,outcrossing,large
singlecopy,0.00825911,3.20852E-10,Canis,perennial,outcrossing,large
singlecopy,0.00807541,3.13716E-10,Canis,perennial,outcrossing,large
singlecopy,0.00797419,3.09784E-10,Canis,perennial,outcrossing,large
singlecopy,0.00837414,3.25321E-10,Canis,perennial,outcrossing,large
singlecopy,0.00851035,3.30613E-10,Canis,perennial,outcrossing,large
singlecopy,0.00963571,3.74331E-10,Canis,perennial,outcrossing,large
singlecopy,0.00792015,3.07684E-10,Canis,perennial,outcrossing,large
singlecopy,0.00849165,3.29886E-10,Canis,perennial,outcrossing,large
singlecopy,0.00859881,3.34049E-10,Canis,perennial,outcrossing,large
singlecopy,0.00802019,3.11571E-10,Canis,perennial,outcrossing,large
singlecopy,0.00829066,3.22078E-10,Canis,perennial,outcrossing,large
singlecopy,0.00880983,3.42247E-10,Canis,perennial,outcrossing,large
singlecopy,0.00887038,3.44599E-10,Canis,perennial,outcrossing,large
BUSCOsuper,0.00324294,2.8174E-11,Canis,perennial,outcrossing,large
BUSCOsuper,0.00292019,2.537E-11,Canis,perennial,outcrossing,large
BUSCOsuper,0.0035445,3.07938E-11,Canis,perennial,outcrossing,large
BUSCOsuper,0.00352474,3.06222E-11,Canis,perennial,outcrossing,large
BUSCOsuper,0.00265099,2.30312E-11,Canis,perennial,outcrossing,large
BUSCOsuper,0.00284863,2.47483E-11,Canis,perennial,outcrossing,large
BUSCOsuper,0.00283373,2.46188E-11,Canis,perennial,outcrossing,large
BUSCOsuper,0.00272879,2.37071E-11,Canis,perennial,outcrossing,large
BUSCOsuper,0.00296555,2.57641E-11,Canis,perennial,outcrossing,large
BUSCOsuper,0.00269876,2.34462E-11,Canis,perennial,outcrossing,large
BUSCOsuper,0.00264409,2.29713E-11,Canis,perennial,outcrossing,large
BUSCOsuper,0.00304877,2.64871E-11,Canis,perennial,outcrossing,large
BUSCOsuper,0.00300469,2.61041E-11,Canis,perennial,outcrossing,large
BUSCOsuper,0.00351858,3.05687E-11,Canis,perennial,outcrossing,large
BUSCOsuper,0.00263673,2.29073E-11,Canis,perennial,outcrossing,large
BUSCOsuper,0.00361173,3.13779E-11,Canis,perennial,outcrossing,large
BUSCOsuper,0.00326124,2.83329E-11,Canis,perennial,outcrossing,large
BUSCOsuper,0.00329826,2.86546E-11,Canis,perennial,outcrossing,large
BUSCOsuper,0.00337842,2.9351E-11,Canis,perennial,outcrossing,large
BUSCOsuper,0.00378548,3.28874E-11,Canis,perennial,outcrossing,large
BUSCOsuper,0.00338227,2.93844E-11,Canis,perennial,outcrossing,large
UCE_super,0.00203272,4.00181E-10,Canis,perennial,outcrossing,large
UCE_super,0.00179481,3.53343E-10,Canis,perennial,outcrossing,large
UCE_super,0.00222172,4.37389E-10,Canis,perennial,outcrossing,large
UCE_super,0.00216591,4.26402E-10,Canis,perennial,outcrossing,large
UCE_super,0.00179519,3.53418E-10,Canis,perennial,outcrossing,large
UCE_super,0.00189789,3.73637E-10,Canis,perennial,outcrossing,large
UCE_super,0.00192246,3.78474E-10,Canis,perennial,outcrossing,large
UCE_super,0.00185438,3.65071E-10,Canis,perennial,outcrossing,large
UCE_super,0.00196701,3.87244E-10,Canis,perennial,outcrossing,large
UCE_super,0.00179551,3.53481E-10,Canis,perennial,outcrossing,large
UCE_super,0.001712,3.37041E-10,Canis,perennial,outcrossing,large
UCE_super,0.00207126,4.07768E-10,Canis,perennial,outcrossing,large
UCE_super,0.00197881,3.89567E-10,Canis,perennial,outcrossing,large
UCE_super,0.00234427,4.61515E-10,Canis,perennial,outcrossing,large
UCE_super,0.00178286,3.50991E-10,Canis,perennial,outcrossing,large
UCE_super,0.00243249,4.78883E-10,Canis,perennial,outcrossing,large
UCE_super,0.00235306,4.63246E-10,Canis,perennial,outcrossing,large
UCE_super,0.002229,4.38822E-10,Canis,perennial,outcrossing,large
UCE_super,0.00225721,4.44376E-10,Canis,perennial,outcrossing,large
UCE_super,0.0028431,5.5972E-10,Canis,perennial,outcrossing,large
UCE_super,0.00220573,4.34241E-10,Canis,perennial,outcrossing,large
UCE,0.00201711,3.72319E-09,Canis,perennial,outcrossing,large
UCE,0.00163775,3.02296E-09,Canis,perennial,outcrossing,large
UCE,0.00187074,3.45302E-09,Canis,perennial,outcrossing,large
UCE,0.00196131,3.62019E-09,Canis,perennial,outcrossing,large
UCE,0.00357375,6.59643E-09,Canis,perennial,outcrossing,large
UCE,0.00184219,3.40032E-09,Canis,perennial,outcrossing,large
UCE,0.00144694,2.67076E-09,Canis,perennial,outcrossing,large
UCE,0,0,Canis,perennial,outcrossing,large
UCE,0.00103477,1.90998E-09,Canis,perennial,outcrossing,large
UCE,0,0,Canis,perennial,outcrossing,large
UCE,0.000408566,7.54132E-10,Canis,perennial,outcrossing,large
UCE,0.00426166,7.86618E-09,Canis,perennial,outcrossing,large
UCE,0.00368614,6.80388E-09,Canis,perennial,outcrossing,large
UCE,0,0,Canis,perennial,outcrossing,large
UCE,0.00275682,5.08854E-09,Canis,perennial,outcrossing,large
UCE,0.00154151,2.84532E-09,Canis,perennial,outcrossing,large
UCE,0.00162914,3.00707E-09,Canis,perennial,outcrossing,large
UCE,0.00175755,3.24409E-09,Canis,perennial,outcrossing,large
UCE,0.00346676,6.39895E-09,Canis,perennial,outcrossing,large
UCE,0.000906507,1.67323E-09,Canis,perennial,outcrossing,large
BUSCO,0.00529455,2.05593E-10,Canis,perennial,outcrossing,large
BUSCO,0.00499585,1.93994E-10,Canis,perennial,outcrossing,large
BUSCO,0.00544047,2.11259E-10,Canis,perennial,outcrossing,large
BUSCO,0.00547297,2.12521E-10,Canis,perennial,outcrossing,large
BUSCO,0.00505657,1.96352E-10,Canis,perennial,outcrossing,large
BUSCO,0.00521021,2.02318E-10,Canis,perennial,outcrossing,large
BUSCO,0.00519733,2.01817E-10,Canis,perennial,outcrossing,large
BUSCO,0.00516705,2.00642E-10,Canis,perennial,outcrossing,large
BUSCO,0.00516349,2.00503E-10,Canis,perennial,outcrossing,large
BUSCO,0.00522641,2.02947E-10,Canis,perennial,outcrossing,large
BUSCO,0.00510917,1.98394E-10,Canis,perennial,outcrossing,large
BUSCO,0.00548195,2.1287E-10,Canis,perennial,outcrossing,large
BUSCO,0.00565623,2.19637E-10,Canis,perennial,outcrossing,large
BUSCO,0.00733202,2.8471E-10,Canis,perennial,outcrossing,large
BUSCO,0.00503209,1.95401E-10,Canis,perennial,outcrossing,large
BUSCO,0.00568922,2.20918E-10,Canis,perennial,outcrossing,large
BUSCO,0.00606544,2.35527E-10,Canis,perennial,outcrossing,large
BUSCO,0.00513778,1.99505E-10,Canis,perennial,outcrossing,large
BUSCO,0.00538553,2.09125E-10,Canis,perennial,outcrossing,large
BUSCO,0.00597964,2.32195E-10,Canis,perennial,outcrossing,large
BUSCO,0.00555742,2.158E-10,Canis,perennial,outcrossing,large
genome,0.00206536,8.78185E-13,Canis,perennial,outcrossing,large
genome,0.00116103,4.93667E-13,Canis,perennial,outcrossing,large
genome,0.00204714,8.70438E-13,Canis,perennial,outcrossing,large
genome,0.00204088,8.67776E-13,Canis,perennial,outcrossing,large
genome,0.00143813,6.11489E-13,Canis,perennial,outcrossing,large
genome,0.00173432,7.37428E-13,Canis,perennial,outcrossing,large
genome,0.00178159,7.57527E-13,Canis,perennial,outcrossing,large
genome,0.00163811,6.9652E-13,Canis,perennial,outcrossing,large
genome,0.00171867,7.30773E-13,Canis,perennial,outcrossing,large
genome,0.00159375,6.77658E-13,Canis,perennial,outcrossing,large
genome,0.00149445,6.35436E-13,Canis,perennial,outcrossing,large
genome,0.00200555,8.52754E-13,Canis,perennial,outcrossing,large
genome,0.00172765,7.34592E-13,Canis,perennial,outcrossing,large
genome,0.00208268,8.85549E-13,Canis,perennial,outcrossing,large
genome,0.0015258,6.48766E-13,Canis,perennial,outcrossing,large
genome,0.00238411,1.01372E-12,Canis,perennial,outcrossing,large
genome,0.00231084,9.82562E-13,Canis,perennial,outcrossing,large
genome,0.00217547,9.25003E-13,Canis,perennial,outcrossing,large
genome,0.00222576,9.46387E-13,Canis,perennial,outcrossing,large
genome,0.00230111,9.78425E-13,Canis,perennial,outcrossing,large
genome,0.0022147,9.41684E-13,Canis,perennial,outcrossing,large
