Sample,Het,adjusted_het,taxa,life_history,breeding_system,genome_size
singlecopy,0.0150057,4.99009E-10,Cannabis,perennial,outcrossing,medium
singlecopy,0.0142478,4.73805E-10,Cannabis,perennial,outcrossing,medium
singlecopy,0.0155649,5.17605E-10,Cannabis,perennial,outcrossing,medium
singlecopy,0.0150635,5.00931E-10,Cannabis,perennial,outcrossing,medium
singlecopy,0.0140251,4.66399E-10,Cannabis,perennial,outcrossing,medium
singlecopy,0.0137063,4.55798E-10,Cannabis,perennial,outcrossing,medium
singlecopy,0.0126375,4.20255E-10,Cannabis,perennial,outcrossing,medium
singlecopy,0.0124859,4.15214E-10,Cannabis,perennial,outcrossing,medium
singlecopy,0.0110328,3.66892E-10,Cannabis,perennial,outcrossing,medium
singlecopy,0.0103939,3.45645E-10,Cannabis,perennial,outcrossing,medium
singlecopy,0.0129424,4.30395E-10,Cannabis,perennial,outcrossing,medium
singlecopy,0.0129128,4.2941E-10,Cannabis,perennial,outcrossing,medium
singlecopy,0.0128344,4.26803E-10,Cannabis,perennial,outcrossing,medium
singlecopy,0.0133214,4.42998E-10,Cannabis,perennial,outcrossing,medium
singlecopy,0.0124237,4.13146E-10,Cannabis,perennial,outcrossing,medium
singlecopy,0.0109292,3.63446E-10,Cannabis,perennial,outcrossing,medium
singlecopy,0.0139578,4.64161E-10,Cannabis,perennial,outcrossing,medium
singlecopy,0.0120786,4.01669E-10,Cannabis,perennial,outcrossing,medium
singlecopy,0.0122444,4.07183E-10,Cannabis,perennial,outcrossing,medium
singlecopy,0.012974,4.31446E-10,Cannabis,perennial,outcrossing,medium
singlecopy,0.0129432,4.30421E-10,Cannabis,perennial,outcrossing,medium
singlecopy,0.0126015,4.19058E-10,Cannabis,perennial,outcrossing,medium
singlecopy,0.0113391,3.77078E-10,Cannabis,perennial,outcrossing,medium
singlecopy,0.0122962,4.08906E-10,Cannabis,perennial,outcrossing,medium
singlecopy,0.0134914,4.48651E-10,Cannabis,perennial,outcrossing,medium
singlecopy,0.012671,4.21369E-10,Cannabis,perennial,outcrossing,medium
singlecopy,0.0136982,4.55529E-10,Cannabis,perennial,outcrossing,medium
singlecopy,0.0121349,4.03542E-10,Cannabis,perennial,outcrossing,medium
singlecopy,0.00945151,3.14306E-10,Cannabis,perennial,outcrossing,medium
singlecopy,0.00965299,3.21007E-10,Cannabis,perennial,outcrossing,medium
singlecopy,0.0111727,3.71544E-10,Cannabis,perennial,outcrossing,medium
singlecopy,0.0117225,3.89827E-10,Cannabis,perennial,outcrossing,medium
singlecopy,0.0107609,3.5785E-10,Cannabis,perennial,outcrossing,medium
singlecopy,0.010546,3.50703E-10,Cannabis,perennial,outcrossing,medium
singlecopy,0.0107527,3.57577E-10,Cannabis,perennial,outcrossing,medium
singlecopy,0.0105839,3.51964E-10,Cannabis,perennial,outcrossing,medium
singlecopy,0.0123102,4.09371E-10,Cannabis,perennial,outcrossing,medium
singlecopy,0.0151029,5.02241E-10,Cannabis,perennial,outcrossing,medium
singlecopy,0.013135,4.368E-10,Cannabis,perennial,outcrossing,medium
SCsuper,0.0204855,8.45293E-10,Cannabis,perennial,outcrossing,medium
SCsuper,0.0193776,7.99578E-10,Cannabis,perennial,outcrossing,medium
SCsuper,0.0210182,8.67274E-10,Cannabis,perennial,outcrossing,medium
SCsuper,0.0206708,8.52939E-10,Cannabis,perennial,outcrossing,medium
SCsuper,0.0193371,7.97907E-10,Cannabis,perennial,outcrossing,medium
SCsuper,0.0188808,7.79079E-10,Cannabis,perennial,outcrossing,medium
SCsuper,0.0177661,7.33083E-10,Cannabis,perennial,outcrossing,medium
SCsuper,0.0169265,6.98438E-10,Cannabis,perennial,outcrossing,medium
SCsuper,0.0153104,6.31753E-10,Cannabis,perennial,outcrossing,medium
SCsuper,0.0132843,5.4815E-10,Cannabis,perennial,outcrossing,medium
SCsuper,0.0180155,7.43374E-10,Cannabis,perennial,outcrossing,medium
SCsuper,0.0174009,7.18013E-10,Cannabis,perennial,outcrossing,medium
SCsuper,0.0169881,7.0098E-10,Cannabis,perennial,outcrossing,medium
SCsuper,0.016952,6.9949E-10,Cannabis,perennial,outcrossing,medium
SCsuper,0.0165545,6.83088E-10,Cannabis,perennial,outcrossing,medium
SCsuper,0.0146567,6.04779E-10,Cannabis,perennial,outcrossing,medium
SCsuper,0.0190693,7.86857E-10,Cannabis,perennial,outcrossing,medium
SCsuper,0.0163408,6.7427E-10,Cannabis,perennial,outcrossing,medium
SCsuper,0.0172285,7.109E-10,Cannabis,perennial,outcrossing,medium
SCsuper,0.017579,7.25362E-10,Cannabis,perennial,outcrossing,medium
SCsuper,0.0180469,7.44669E-10,Cannabis,perennial,outcrossing,medium
SCsuper,0.0169529,6.99528E-10,Cannabis,perennial,outcrossing,medium
SCsuper,0.0158366,6.53466E-10,Cannabis,perennial,outcrossing,medium
SCsuper,0.0164286,6.77893E-10,Cannabis,perennial,outcrossing,medium
SCsuper,0.0184001,7.59243E-10,Cannabis,perennial,outcrossing,medium
SCsuper,0.0170661,7.04199E-10,Cannabis,perennial,outcrossing,medium
SCsuper,0.0184681,7.62049E-10,Cannabis,perennial,outcrossing,medium
SCsuper,0.0166204,6.85808E-10,Cannabis,perennial,outcrossing,medium
SCsuper,0.0130263,5.37504E-10,Cannabis,perennial,outcrossing,medium
SCsuper,0.0131993,5.44643E-10,Cannabis,perennial,outcrossing,medium
SCsuper,0.0141178,5.82543E-10,Cannabis,perennial,outcrossing,medium
SCsuper,0.0160849,6.63711E-10,Cannabis,perennial,outcrossing,medium
SCsuper,0.0149109,6.15269E-10,Cannabis,perennial,outcrossing,medium
SCsuper,0.0148029,6.10812E-10,Cannabis,perennial,outcrossing,medium
SCsuper,0.0148223,6.11613E-10,Cannabis,perennial,outcrossing,medium
SCsuper,0.0148055,6.10919E-10,Cannabis,perennial,outcrossing,medium
SCsuper,0.0167202,6.89926E-10,Cannabis,perennial,outcrossing,medium
SCsuper,0.0205264,8.46981E-10,Cannabis,perennial,outcrossing,medium
SCsuper,0.0178395,7.36111E-10,Cannabis,perennial,outcrossing,medium
genome,0.0157606,2.04501E-11,Cannabis,perennial,outcrossing,medium
genome,0.0149372,1.93817E-11,Cannabis,perennial,outcrossing,medium
genome,0.0169719,2.20218E-11,Cannabis,perennial,outcrossing,medium
genome,0.0151052,1.95997E-11,Cannabis,perennial,outcrossing,medium
genome,0.0127044,1.64846E-11,Cannabis,perennial,outcrossing,medium
genome,0.0130497,1.69326E-11,Cannabis,perennial,outcrossing,medium
genome,0.0120986,1.56985E-11,Cannabis,perennial,outcrossing,medium
genome,0.0129125,1.67546E-11,Cannabis,perennial,outcrossing,medium
genome,0.0106199,1.37798E-11,Cannabis,perennial,outcrossing,medium
genome,0.00786926,1.02107E-11,Cannabis,perennial,outcrossing,medium
genome,0.0111911,1.4521E-11,Cannabis,perennial,outcrossing,medium
genome,0.0127626,1.65601E-11,Cannabis,perennial,outcrossing,medium
genome,0.0112339,1.45765E-11,Cannabis,perennial,outcrossing,medium
genome,0.0128239,1.66396E-11,Cannabis,perennial,outcrossing,medium
genome,0.0117266,1.52158E-11,Cannabis,perennial,outcrossing,medium
genome,0.00833148,1.08105E-11,Cannabis,perennial,outcrossing,medium
genome,0.0132707,1.72194E-11,Cannabis,perennial,outcrossing,medium
genome,0.0105443,1.36817E-11,Cannabis,perennial,outcrossing,medium
genome,0.0121172,1.57226E-11,Cannabis,perennial,outcrossing,medium
genome,0.012942,1.67928E-11,Cannabis,perennial,outcrossing,medium
genome,0.00987746,1.28165E-11,Cannabis,perennial,outcrossing,medium
genome,0.013507,1.7526E-11,Cannabis,perennial,outcrossing,medium
genome,0.0121474,1.57618E-11,Cannabis,perennial,outcrossing,medium
genome,0.0124426,1.61449E-11,Cannabis,perennial,outcrossing,medium
genome,0.0147478,1.9136E-11,Cannabis,perennial,outcrossing,medium
genome,0.0130645,1.69518E-11,Cannabis,perennial,outcrossing,medium
genome,0.0144167,1.87063E-11,Cannabis,perennial,outcrossing,medium
genome,0.012336,1.60065E-11,Cannabis,perennial,outcrossing,medium
genome,0.00989025,1.28331E-11,Cannabis,perennial,outcrossing,medium
genome,0.0105668,1.37109E-11,Cannabis,perennial,outcrossing,medium
genome,0.0106296,1.37924E-11,Cannabis,perennial,outcrossing,medium
genome,0.0137673,1.78637E-11,Cannabis,perennial,outcrossing,medium
genome,0.0127644,1.65624E-11,Cannabis,perennial,outcrossing,medium
genome,0.0127091,1.64906E-11,Cannabis,perennial,outcrossing,medium
genome,0.0113585,1.47382E-11,Cannabis,perennial,outcrossing,medium
genome,0.01001,1.29884E-11,Cannabis,perennial,outcrossing,medium
genome,0.0118631,1.53929E-11,Cannabis,perennial,outcrossing,medium
genome,0.0152018,1.9725E-11,Cannabis,perennial,outcrossing,medium
genome,0.0138947,1.8029E-11,Cannabis,perennial,outcrossing,medium
UCE,0.0082632,2.92269E-08,Cannabis,perennial,outcrossing,medium
UCE,0.00867275,3.06755E-08,Cannabis,perennial,outcrossing,medium
UCE,0.0090783,3.21099E-08,Cannabis,perennial,outcrossing,medium
UCE,0.00816284,2.88719E-08,Cannabis,perennial,outcrossing,medium
UCE,0.00785375,2.77787E-08,Cannabis,perennial,outcrossing,medium
UCE,0.00754023,2.66697E-08,Cannabis,perennial,outcrossing,medium
UCE,0.00752991,2.66332E-08,Cannabis,perennial,outcrossing,medium
UCE,0.00715301,2.53001E-08,Cannabis,perennial,outcrossing,medium
UCE,0.00675451,2.38907E-08,Cannabis,perennial,outcrossing,medium
UCE,0.00621942,2.1998E-08,Cannabis,perennial,outcrossing,medium
UCE,0.00750266,2.65369E-08,Cannabis,perennial,outcrossing,medium
UCE,0.00704935,2.49335E-08,Cannabis,perennial,outcrossing,medium
UCE,0.00750412,2.6542E-08,Cannabis,perennial,outcrossing,medium
UCE,0.00762531,2.69707E-08,Cannabis,perennial,outcrossing,medium
UCE,0.00647061,2.28865E-08,Cannabis,perennial,outcrossing,medium
UCE,0.00607862,2.15E-08,Cannabis,perennial,outcrossing,medium
UCE,0.0082299,2.91091E-08,Cannabis,perennial,outcrossing,medium
UCE,0.00691498,2.44582E-08,Cannabis,perennial,outcrossing,medium
UCE,0.00725072,2.56457E-08,Cannabis,perennial,outcrossing,medium
UCE,0.00788743,2.78978E-08,Cannabis,perennial,outcrossing,medium
UCE,0.00771641,2.72929E-08,Cannabis,perennial,outcrossing,medium
UCE,0.00728132,2.5754E-08,Cannabis,perennial,outcrossing,medium
UCE,0.00681018,2.40876E-08,Cannabis,perennial,outcrossing,medium
UCE,0.00699924,2.47563E-08,Cannabis,perennial,outcrossing,medium
UCE,0.00823447,2.91253E-08,Cannabis,perennial,outcrossing,medium
UCE,0.0077641,2.74616E-08,Cannabis,perennial,outcrossing,medium
