Sample,Het,adjusted_het,taxa,life_history,breeding_system,genome_size
genome,0.0181364,5.42482E-11,Citrus_sinensis,perennial,selfing,medium
genome,0.0182206,5.45E-11,Citrus_sinensis,perennial,selfing,medium
genome,0.0183852,5.49924E-11,Citrus_sinensis,perennial,selfing,medium
genome,0.0257034,7.6882E-11,Citrus_sinensis,perennial,selfing,medium
genome,0.0184056,5.50534E-11,Citrus_sinensis,perennial,selfing,medium
genome,0.0181521,5.42952E-11,Citrus_sinensis,perennial,selfing,medium
genome,0.0181437,5.427E-11,Citrus_sinensis,perennial,selfing,medium
genome,0.0182057,5.44555E-11,Citrus_sinensis,perennial,selfing,medium
genome,0.0181105,5.41707E-11,Citrus_sinensis,perennial,selfing,medium
genome,0.0182377,5.45512E-11,Citrus_sinensis,perennial,selfing,medium
genome,0.0182021,5.44447E-11,Citrus_sinensis,perennial,selfing,medium
genome,0.0183333,5.48371E-11,Citrus_sinensis,perennial,selfing,medium
genome,0.0180734,5.40598E-11,Citrus_sinensis,perennial,selfing,medium
genome,0.018234,5.45401E-11,Citrus_sinensis,perennial,selfing,medium
genome,0.0180306,5.39317E-11,Citrus_sinensis,perennial,selfing,medium
genome,0.0179823,5.37873E-11,Citrus_sinensis,perennial,selfing,medium
genome,0.0178371,5.3353E-11,Citrus_sinensis,perennial,selfing,medium
genome,0.0180786,5.40753E-11,Citrus_sinensis,perennial,selfing,medium
genome,0.0178128,5.32803E-11,Citrus_sinensis,perennial,selfing,medium
genome,0.0181353,5.42449E-11,Citrus_sinensis,perennial,selfing,medium
genome,0.0182833,5.46876E-11,Citrus_sinensis,perennial,selfing,medium
genome,0.0182702,5.46484E-11,Citrus_sinensis,perennial,selfing,medium
genome,0.0182303,5.45291E-11,Citrus_sinensis,perennial,selfing,medium
genome,0.0181214,5.42033E-11,Citrus_sinensis,perennial,selfing,medium
genome,0.0181065,5.41588E-11,Citrus_sinensis,perennial,selfing,medium
SCsuper,0.0197911,7.34004E-10,Citrus_sinensis,perennial,selfing,medium
SCsuper,0.0198565,7.3643E-10,Citrus_sinensis,perennial,selfing,medium
SCsuper,0.0198596,7.36545E-10,Citrus_sinensis,perennial,selfing,medium
SCsuper,0.0217312,8.05958E-10,Citrus_sinensis,perennial,selfing,medium
SCsuper,0.0199424,7.39616E-10,Citrus_sinensis,perennial,selfing,medium
SCsuper,0.0197854,7.33793E-10,Citrus_sinensis,perennial,selfing,medium
SCsuper,0.0197794,7.3357E-10,Citrus_sinensis,perennial,selfing,medium
SCsuper,0.019828,7.35373E-10,Citrus_sinensis,perennial,selfing,medium
SCsuper,0.0196879,7.30177E-10,Citrus_sinensis,perennial,selfing,medium
SCsuper,0.0197926,7.3406E-10,Citrus_sinensis,perennial,selfing,medium
SCsuper,0.0198165,7.34946E-10,Citrus_sinensis,perennial,selfing,medium
SCsuper,0.0199049,7.38225E-10,Citrus_sinensis,perennial,selfing,medium
SCsuper,0.0197081,7.30926E-10,Citrus_sinensis,perennial,selfing,medium
SCsuper,0.0199128,7.38518E-10,Citrus_sinensis,perennial,selfing,medium
SCsuper,0.0196952,7.30448E-10,Citrus_sinensis,perennial,selfing,medium
SCsuper,0.01967,7.29513E-10,Citrus_sinensis,perennial,selfing,medium
SCsuper,0.0196145,7.27455E-10,Citrus_sinensis,perennial,selfing,medium
SCsuper,0.0197308,7.31768E-10,Citrus_sinensis,perennial,selfing,medium
SCsuper,0.0194465,7.21224E-10,Citrus_sinensis,perennial,selfing,medium
SCsuper,0.0198307,7.35473E-10,Citrus_sinensis,perennial,selfing,medium
SCsuper,0.0199177,7.387E-10,Citrus_sinensis,perennial,selfing,medium
SCsuper,0.0198753,7.37127E-10,Citrus_sinensis,perennial,selfing,medium
SCsuper,0.0198412,7.35863E-10,Citrus_sinensis,perennial,selfing,medium
SCsuper,0.0197549,7.32662E-10,Citrus_sinensis,perennial,selfing,medium
SCsuper,0.0197859,7.33812E-10,Citrus_sinensis,perennial,selfing,medium
BUSCO,0.0109347,3.80904E-09,Citrus_sinensis,perennial,selfing,medium
BUSCO,0.0108967,3.79581E-09,Citrus_sinensis,perennial,selfing,medium
BUSCO,0.0110628,3.85367E-09,Citrus_sinensis,perennial,selfing,medium
BUSCO,0.0119683,4.16909E-09,Citrus_sinensis,perennial,selfing,medium
BUSCO,0.0110522,3.84997E-09,Citrus_sinensis,perennial,selfing,medium
BUSCO,0.010867,3.78546E-09,Citrus_sinensis,perennial,selfing,medium
BUSCO,0.0109062,3.79912E-09,Citrus_sinensis,perennial,selfing,medium
BUSCO,0.0109764,3.82357E-09,Citrus_sinensis,perennial,selfing,medium
BUSCO,0.0108338,3.7739E-09,Citrus_sinensis,perennial,selfing,medium
BUSCO,0.0109621,3.81859E-09,Citrus_sinensis,perennial,selfing,medium
BUSCO,0.0109917,3.8289E-09,Citrus_sinensis,perennial,selfing,medium
BUSCO,0.0110099,3.83524E-09,Citrus_sinensis,perennial,selfing,medium
BUSCO,0.0108981,3.79629E-09,Citrus_sinensis,perennial,selfing,medium
BUSCO,0.0109648,3.81953E-09,Citrus_sinensis,perennial,selfing,medium
BUSCO,0.0108418,3.77668E-09,Citrus_sinensis,perennial,selfing,medium
BUSCO,0.0109654,3.81974E-09,Citrus_sinensis,perennial,selfing,medium
BUSCO,0.0107721,3.7524E-09,Citrus_sinensis,perennial,selfing,medium
BUSCO,0.0108452,3.77787E-09,Citrus_sinensis,perennial,selfing,medium
BUSCO,0.0107601,3.74822E-09,Citrus_sinensis,perennial,selfing,medium
BUSCO,0.0109073,3.7995E-09,Citrus_sinensis,perennial,selfing,medium
BUSCO,0.0110639,3.85405E-09,Citrus_sinensis,perennial,selfing,medium
BUSCO,0.0110563,3.8514E-09,Citrus_sinensis,perennial,selfing,medium
BUSCO,0.0110364,3.84447E-09,Citrus_sinensis,perennial,selfing,medium
BUSCO,0.010861,3.78337E-09,Citrus_sinensis,perennial,selfing,medium
BUSCO,0.0108725,3.78738E-09,Citrus_sinensis,perennial,selfing,medium
UCE_super,0.0111472,4.309E-08,Citrus_sinensis,perennial,selfing,medium
UCE_super,0.0111866,4.32423E-08,Citrus_sinensis,perennial,selfing,medium
UCE_super,0.0112801,4.36037E-08,Citrus_sinensis,perennial,selfing,medium
UCE_super,0.0125184,4.83904E-08,Citrus_sinensis,perennial,selfing,medium
UCE_super,0.0112643,4.35426E-08,Citrus_sinensis,perennial,selfing,medium
UCE_super,0.0112095,4.33308E-08,Citrus_sinensis,perennial,selfing,medium
UCE_super,0.0112104,4.33343E-08,Citrus_sinensis,perennial,selfing,medium
UCE_super,0.0112236,4.33853E-08,Citrus_sinensis,perennial,selfing,medium
UCE_super,0.0112464,4.34734E-08,Citrus_sinensis,perennial,selfing,medium
UCE_super,0.0113991,4.40637E-08,Citrus_sinensis,perennial,selfing,medium
UCE_super,0.0110723,4.28004E-08,Citrus_sinensis,perennial,selfing,medium
UCE_super,0.0113966,4.4054E-08,Citrus_sinensis,perennial,selfing,medium
UCE_super,0.0108485,4.19353E-08,Citrus_sinensis,perennial,selfing,medium
UCE_super,0.011466,4.43223E-08,Citrus_sinensis,perennial,selfing,medium
UCE_super,0.0107992,4.17448E-08,Citrus_sinensis,perennial,selfing,medium
UCE_super,0.011248,4.34796E-08,Citrus_sinensis,perennial,selfing,medium
UCE_super,0.0111058,4.29299E-08,Citrus_sinensis,perennial,selfing,medium
UCE_super,0.0108956,4.21174E-08,Citrus_sinensis,perennial,selfing,medium
