Sample,,adjusted_het,taxa,life_history,breeding_system,genome_size
UCE,,8.93073E-08,Coix,perennial,outcrossing,large
UCE,,2.92152E-08,Coix,perennial,outcrossing,large
UCE,,2.87557E-08,Coix,perennial,outcrossing,large
UCE,,2.95664E-08,Coix,perennial,outcrossing,large
UCE,,2.99107E-08,Coix,perennial,outcrossing,large
UCE,,2.79416E-08,Coix,perennial,outcrossing,large
UCE,,2.7161E-08,Coix,perennial,outcrossing,large
UCE,,2.9884E-08,Coix,perennial,outcrossing,large
UCE,,2.79335E-08,Coix,perennial,outcrossing,large
UCE,,2.8003E-08,Coix,perennial,outcrossing,large
UCE,,2.65011E-08,Coix,perennial,outcrossing,large
UCE,,7.6712E-08,Coix,perennial,outcrossing,large
UCE,,2.91465E-08,Coix,perennial,outcrossing,large
UCE,,2.80852E-08,Coix,perennial,outcrossing,large
UCE,,2.73454E-08,Coix,perennial,outcrossing,large
UCE,,2.84668E-08,Coix,perennial,outcrossing,large
UCE,,2.88145E-08,Coix,perennial,outcrossing,large
UCE,,2.85929E-08,Coix,perennial,outcrossing,large
UCE,,2.88927E-08,Coix,perennial,outcrossing,large
UCE,,2.71621E-08,Coix,perennial,outcrossing,large
UCE,,2.89754E-08,Coix,perennial,outcrossing,large
UCE,,3.08145E-08,Coix,perennial,outcrossing,large
UCE,,2.7974E-08,Coix,perennial,outcrossing,large
UCE,,2.97614E-08,Coix,perennial,outcrossing,large
UCE,,3.00329E-08,Coix,perennial,outcrossing,large
UCE,,2.85357E-08,Coix,perennial,outcrossing,large
UCE,,2.75932E-08,Coix,perennial,outcrossing,large
UCE,,2.86827E-08,Coix,perennial,outcrossing,large
UCE,,2.82591E-08,Coix,perennial,outcrossing,large
UCE_super,,4.17538E-08,Coix,perennial,outcrossing,large
UCE_super,,1.0721E-08,Coix,perennial,outcrossing,large
UCE_super,,1.07986E-08,Coix,perennial,outcrossing,large
UCE_super,,1.1359E-08,Coix,perennial,outcrossing,large
UCE_super,,1.11817E-08,Coix,perennial,outcrossing,large
UCE_super,,1.0379E-08,Coix,perennial,outcrossing,large
UCE_super,,1.04234E-08,Coix,perennial,outcrossing,large
UCE_super,,1.10195E-08,Coix,perennial,outcrossing,large
UCE_super,,1.03974E-08,Coix,perennial,outcrossing,large
UCE_super,,1.1002E-08,Coix,perennial,outcrossing,large
UCE_super,,1.05022E-08,Coix,perennial,outcrossing,large
UCE_super,,3.7037E-08,Coix,perennial,outcrossing,large
UCE_super,,1.09776E-08,Coix,perennial,outcrossing,large
UCE_super,,1.07956E-08,Coix,perennial,outcrossing,large
UCE_super,,1.07715E-08,Coix,perennial,outcrossing,large
UCE_super,,1.08243E-08,Coix,perennial,outcrossing,large
UCE_super,,1.10304E-08,Coix,perennial,outcrossing,large
UCE_super,,1.04854E-08,Coix,perennial,outcrossing,large
UCE_super,,1.05248E-08,Coix,perennial,outcrossing,large
UCE_super,,1.04701E-08,Coix,perennial,outcrossing,large
UCE_super,,1.07924E-08,Coix,perennial,outcrossing,large
UCE_super,,1.1222E-08,Coix,perennial,outcrossing,large
UCE_super,,1.08159E-08,Coix,perennial,outcrossing,large
UCE_super,,1.11833E-08,Coix,perennial,outcrossing,large
UCE_super,,1.17773E-08,Coix,perennial,outcrossing,large
UCE_super,,1.09101E-08,Coix,perennial,outcrossing,large
UCE_super,,1.07967E-08,Coix,perennial,outcrossing,large
UCE_super,,1.14228E-08,Coix,perennial,outcrossing,large
