Sample,het,adjusted_het,taxa,life_history,breeding_system,genome_size
genome,0.0157691,4.25329E-11,Corylus,perennial,outcrossing,medium
genome,0.0155486,4.19381E-11,Corylus,perennial,outcrossing,medium
genome,0.0158307,4.2699E-11,Corylus,perennial,outcrossing,medium
genome,0.0148888,4.01585E-11,Corylus,perennial,outcrossing,medium
genome,0.0203795,5.49682E-11,Corylus,perennial,outcrossing,medium
genome,0.0147499,3.97839E-11,Corylus,perennial,outcrossing,medium
genome,0.0148712,4.0111E-11,Corylus,perennial,outcrossing,medium
genome,0.0152722,4.11926E-11,Corylus,perennial,outcrossing,medium
genome,0.0145355,3.92056E-11,Corylus,perennial,outcrossing,medium
genome,0.0144831,3.90642E-11,Corylus,perennial,outcrossing,medium
genome,0.01471,3.96762E-11,Corylus,perennial,outcrossing,medium
genome,0.0153425,4.13822E-11,Corylus,perennial,outcrossing,medium
genome,0.0154264,4.16085E-11,Corylus,perennial,outcrossing,medium
genome,0.0156594,4.2237E-11,Corylus,perennial,outcrossing,medium
genome,0.0146459,3.95034E-11,Corylus,perennial,outcrossing,medium
genome,0.0145852,3.93396E-11,Corylus,perennial,outcrossing,medium
genome,0.0143853,3.88005E-11,Corylus,perennial,outcrossing,medium
genome,0.0157885,4.25852E-11,Corylus,perennial,outcrossing,medium
genome,0.0162949,4.39511E-11,Corylus,perennial,outcrossing,medium
genome,0.015928,4.29615E-11,Corylus,perennial,outcrossing,medium
genome,0.0154936,4.17898E-11,Corylus,perennial,outcrossing,medium
genome,0.0144919,3.9088E-11,Corylus,perennial,outcrossing,medium
genome,0.0145598,3.92711E-11,Corylus,perennial,outcrossing,medium
genome,0.0144686,3.90251E-11,Corylus,perennial,outcrossing,medium
genome,0.0147298,3.97297E-11,Corylus,perennial,outcrossing,medium
genome,0.0142789,3.85135E-11,Corylus,perennial,outcrossing,medium
genome,0.0144859,3.90718E-11,Corylus,perennial,outcrossing,medium
genome,0.0158766,4.28228E-11,Corylus,perennial,outcrossing,medium
genome,0.022157,5.97625E-11,Corylus,perennial,outcrossing,medium
genome,0.0160319,4.32417E-11,Corylus,perennial,outcrossing,medium
genome,0.0149086,4.02119E-11,Corylus,perennial,outcrossing,medium
genome,0.0147494,3.97825E-11,Corylus,perennial,outcrossing,medium
genome,0.0146676,3.95619E-11,Corylus,perennial,outcrossing,medium
genome,0.0141245,3.8097E-11,Corylus,perennial,outcrossing,medium
genome,0.0144937,3.90928E-11,Corylus,perennial,outcrossing,medium
