Sample,Het,adjusted_het,taxa,life_history,breeding_system,genome_size
UCE,0.0122033,4.31543E-08,Costus,perennial,outcrossing,medium
UCE,0.0140164,4.95659E-08,Costus,perennial,outcrossing,medium
UCE,0.0107378,3.79719E-08,Costus,perennial,outcrossing,medium
UCE,0.0110962,3.92393E-08,Costus,perennial,outcrossing,medium
UCE,0.01148,4.05965E-08,Costus,perennial,outcrossing,medium
UCE,0.0111508,3.94324E-08,Costus,perennial,outcrossing,medium
UCE,0.010612,3.7527E-08,Costus,perennial,outcrossing,medium
UCE,0.0106431,3.7637E-08,Costus,perennial,outcrossing,medium
UCE,0.0103807,3.67091E-08,Costus,perennial,outcrossing,medium
UCE,0.0107113,3.78782E-08,Costus,perennial,outcrossing,medium
UCE,0.0114061,4.03352E-08,Costus,perennial,outcrossing,medium
UCE,0.0105132,3.71776E-08,Costus,perennial,outcrossing,medium
UCE,0.0131017,4.63313E-08,Costus,perennial,outcrossing,medium
UCE,0.0109131,3.85918E-08,Costus,perennial,outcrossing,medium
UCE,0.0132022,4.94577E-08,Costus,perennial,outcrossing,medium
UCE,0.0139858,4.18346E-08,Costus,perennial,outcrossing,medium
UCE,0.0118301,3.75429E-08,Costus,perennial,outcrossing,medium
UCE,0.0106165,4.66867E-08,Costus,perennial,outcrossing,medium
UCE,0.0111867,3.95593E-08,Costus,perennial,outcrossing,medium
UCE,0.0108421,3.83407E-08,Costus,perennial,outcrossing,medium
UCE,0.011455,4.05081E-08,Costus,perennial,outcrossing,medium
UCE,0.0134022,4.73939E-08,Costus,perennial,outcrossing,medium
UCE,0.0107048,3.78552E-08,Costus,perennial,outcrossing,medium
UCE,0.0114194,4.03822E-08,Costus,perennial,outcrossing,medium
UCE,0.0118406,4.18717E-08,Costus,perennial,outcrossing,medium
UCE_super,0.0117896,8.17359E-09,Costus,perennial,outcrossing,medium
UCE_super,0.0146918,1.01857E-08,Costus,perennial,outcrossing,medium
UCE_super,0.0106579,7.389E-09,Costus,perennial,outcrossing,medium
UCE_super,0.01044,7.23793E-09,Costus,perennial,outcrossing,medium
UCE_super,0.0113702,7.88283E-09,Costus,perennial,outcrossing,medium
UCE_super,0.0113204,7.8483E-09,Costus,perennial,outcrossing,medium
UCE_super,0.00955874,6.62696E-09,Costus,perennial,outcrossing,medium
UCE_super,0.0107493,7.45237E-09,Costus,perennial,outcrossing,medium
UCE_super,0.0102832,7.12922E-09,Costus,perennial,outcrossing,medium
UCE_super,0.00962671,6.67409E-09,Costus,perennial,outcrossing,medium
UCE_super,0.0108982,7.5556E-09,Costus,perennial,outcrossing,medium
UCE_super,0.010965,7.60191E-09,Costus,perennial,outcrossing,medium
UCE_super,0.014296,9.91125E-09,Costus,perennial,outcrossing,medium
UCE_super,0.0103603,7.18268E-09,Costus,perennial,outcrossing,medium
UCE_super,0.0140293,1.09204E-08,Costus,perennial,outcrossing,medium
UCE_super,0.0157516,8.84387E-09,Costus,perennial,outcrossing,medium
UCE_super,0.0127564,7.17034E-09,Costus,perennial,outcrossing,medium
UCE_super,0.0103425,9.72635E-09,Costus,perennial,outcrossing,medium
UCE_super,0.0103344,7.16472E-09,Costus,perennial,outcrossing,medium
UCE_super,0.0103224,7.1564E-09,Costus,perennial,outcrossing,medium
UCE_super,0.0113463,7.86626E-09,Costus,perennial,outcrossing,medium
UCE_super,0.0141649,9.82036E-09,Costus,perennial,outcrossing,medium
UCE_super,0.00967429,6.70707E-09,Costus,perennial,outcrossing,medium
UCE_super,0.0110683,7.67352E-09,Costus,perennial,outcrossing,medium
UCE_super,0.0123969,8.59463E-09,Costus,perennial,outcrossing,medium
BUSCO,0.00651995,2.78485E-09,Costus,perennial,outcrossing,medium
BUSCO,0.008794,3.75616E-09,Costus,perennial,outcrossing,medium
BUSCO,0.00567296,2.42308E-09,Costus,perennial,outcrossing,medium
BUSCO,0.00550668,2.35205E-09,Costus,perennial,outcrossing,medium
BUSCO,0.00590526,2.5223E-09,Costus,perennial,outcrossing,medium
BUSCO,0.0061373,2.62141E-09,Costus,perennial,outcrossing,medium
BUSCO,0.0049639,2.12022E-09,Costus,perennial,outcrossing,medium
BUSCO,0.00575578,2.45845E-09,Costus,perennial,outcrossing,medium
BUSCO,0.00531111,2.26852E-09,Costus,perennial,outcrossing,medium
BUSCO,0.00501217,2.14084E-09,Costus,perennial,outcrossing,medium
BUSCO,0.00537305,2.29498E-09,Costus,perennial,outcrossing,medium
BUSCO,0.00820555,3.50482E-09,Costus,perennial,outcrossing,medium
BUSCO,0.00568743,2.42926E-09,Costus,perennial,outcrossing,medium
BUSCO,0.00797572,3.83161E-09,Costus,perennial,outcrossing,medium
BUSCO,0.00897065,3.07821E-09,Costus,perennial,outcrossing,medium
BUSCO,0.00720676,2.38862E-09,Costus,perennial,outcrossing,medium
BUSCO,0.00559228,3.40665E-09,Costus,perennial,outcrossing,medium
BUSCO,0.00525189,2.24323E-09,Costus,perennial,outcrossing,medium
BUSCO,0.00506008,2.1613E-09,Costus,perennial,outcrossing,medium
BUSCO,0.00592864,2.53229E-09,Costus,perennial,outcrossing,medium
BUSCO,0.0078715,3.36213E-09,Costus,perennial,outcrossing,medium
BUSCO,0.00489092,2.08905E-09,Costus,perennial,outcrossing,medium
BUSCO,0.00566437,2.41941E-09,Costus,perennial,outcrossing,medium
BUSCO,0.00679104,2.90064E-09,Costus,perennial,outcrossing,medium
BUSCOsuper,0.00916914,9.2439E-10,Costus,perennial,outcrossing,medium
BUSCOsuper,0.0130494,1.31558E-09,Costus,perennial,outcrossing,medium
BUSCOsuper,0.00836103,8.4292E-10,Costus,perennial,outcrossing,medium
BUSCOsuper,0.0083452,8.41324E-10,Costus,perennial,outcrossing,medium
BUSCOsuper,0.00918525,9.26014E-10,Costus,perennial,outcrossing,medium
BUSCOsuper,0.00914162,9.21615E-10,Costus,perennial,outcrossing,medium
BUSCOsuper,0.00761952,7.68164E-10,Costus,perennial,outcrossing,medium
BUSCOsuper,0.00866138,8.732E-10,Costus,perennial,outcrossing,medium
BUSCOsuper,0.00805828,8.12398E-10,Costus,perennial,outcrossing,medium
BUSCOsuper,0.00769553,7.75827E-10,Costus,perennial,outcrossing,medium
BUSCOsuper,0.00860055,8.67067E-10,Costus,perennial,outcrossing,medium
BUSCOsuper,0.00932898,9.40504E-10,Costus,perennial,outcrossing,medium
BUSCOsuper,0.012673,1.27763E-09,Costus,perennial,outcrossing,medium
