Sample,Het,adjusted_het,taxa,life_history,breeding_system,genome_size
genome,,2.26E-10,Diprion_similis,perennial,outcrossing,medium
genome,,2.13E-10,Diprion_similis,perennial,outcrossing,medium
genome,,1.50E-10,Diprion_similis,perennial,outcrossing,medium
genome,,1.48E-10,Diprion_similis,perennial,outcrossing,medium
genome,,1.99E-10,Diprion_similis,perennial,outcrossing,medium
genome,,2.08E-10,Diprion_similis,perennial,outcrossing,medium
genome,,2.16E-10,Diprion_similis,perennial,outcrossing,medium
genome,,2.60E-10,Diprion_similis,perennial,outcrossing,medium
genome,,2.59E-10,Diprion_similis,perennial,outcrossing,medium
genome,,2.25E-10,Diprion_similis,perennial,outcrossing,medium
genome,,2.14E-10,Diprion_similis,perennial,outcrossing,medium
genome,,2.04E-10,Diprion_similis,perennial,outcrossing,medium
genome,,1.58E-10,Diprion_similis,perennial,outcrossing,medium
genome,,2.29E-10,Diprion_similis,perennial,outcrossing,medium
genome,,1.90E-10,Diprion_similis,perennial,outcrossing,medium
genome,,2.27E-10,Diprion_similis,perennial,outcrossing,medium
genome,,2.32E-10,Diprion_similis,perennial,outcrossing,medium
genome,,2.16E-10,Diprion_similis,perennial,outcrossing,medium
genome,,1.51E-09,Diprion_similis,perennial,outcrossing,medium
genome,,4.71E-10,Diprion_similis,perennial,outcrossing,medium
genome,,1.96E-10,Diprion_similis,perennial,outcrossing,medium
genome,,2.04E-10,Diprion_similis,perennial,outcrossing,medium
genome,,2.01E-10,Diprion_similis,perennial,outcrossing,medium
genome,,1.92E-10,Diprion_similis,perennial,outcrossing,medium
genome,,2.19E-10,Diprion_similis,perennial,outcrossing,medium
genome,,1.62E-10,Diprion_similis,perennial,outcrossing,medium
genome,,2.23E-10,Diprion_similis,perennial,outcrossing,medium
genome,,1.56E-10,Diprion_similis,perennial,outcrossing,medium
genome,,1.74E-10,Diprion_similis,perennial,outcrossing,medium
genome,,1.94E-10,Diprion_similis,perennial,outcrossing,medium
genome,,1.66E-10,Diprion_similis,perennial,outcrossing,medium
genome,,2.11E-10,Diprion_similis,perennial,outcrossing,medium
genome,,2.09E-10,Diprion_similis,perennial,outcrossing,medium
genome,,2.81E-10,Diprion_similis,perennial,outcrossing,medium
genome,,1.59E-10,Diprion_similis,perennial,outcrossing,medium
genome,,2.15E-10,Diprion_similis,perennial,outcrossing,medium
genome,,2.30E-10,Diprion_similis,perennial,outcrossing,medium
genome,,1.79E-10,Diprion_similis,perennial,outcrossing,medium
genome,,2.15E-10,Diprion_similis,perennial,outcrossing,medium
genome,,2.02E-10,Diprion_similis,perennial,outcrossing,medium
genome,,2.15E-10,Diprion_similis,perennial,outcrossing,medium
genome,,1.98E-10,Diprion_similis,perennial,outcrossing,medium
genome,,2.19E-10,Diprion_similis,perennial,outcrossing,medium
genome,,2.24E-10,Diprion_similis,perennial,outcrossing,medium
genome,,1.69E-10,Diprion_similis,perennial,outcrossing,medium
genome,,2.12E-10,Diprion_similis,perennial,outcrossing,medium
genome,,2.11E-10,Diprion_similis,perennial,outcrossing,medium
genome,,2.19E-10,Diprion_similis,perennial,outcrossing,medium
genome,,2.13E-10,Diprion_similis,perennial,outcrossing,medium
genome,,2.29E-10,Diprion_similis,perennial,outcrossing,medium
genome,,2.16E-10,Diprion_similis,perennial,outcrossing,medium
genome,,2.13E-10,Diprion_similis,perennial,outcrossing,medium
genome,,2.05E-10,Diprion_similis,perennial,outcrossing,medium
genome,,1.99E-10,Diprion_similis,perennial,outcrossing,medium
genome,,1.93E-10,Diprion_similis,perennial,outcrossing,medium
genome,,1.82E-10,Diprion_similis,perennial,outcrossing,medium
genome,,1.63E-10,Diprion_similis,perennial,outcrossing,medium
genome,,1.98E-10,Diprion_similis,perennial,outcrossing,medium
SCsuper,,2.17E-10,Diprion_similis,perennial,outcrossing,medium
SCsuper,,2.26E-10,Diprion_similis,perennial,outcrossing,medium
SCsuper,,2.13E-10,Diprion_similis,perennial,outcrossing,medium
SCsuper,,1.50E-10,Diprion_similis,perennial,outcrossing,medium
SCsuper,,1.48E-10,Diprion_similis,perennial,outcrossing,medium
SCsuper,,1.99E-10,Diprion_similis,perennial,outcrossing,medium
SCsuper,,2.08E-10,Diprion_similis,perennial,outcrossing,medium
SCsuper,,2.16E-10,Diprion_similis,perennial,outcrossing,medium
SCsuper,,2.60E-10,Diprion_similis,perennial,outcrossing,medium
SCsuper,,2.59E-10,Diprion_similis,perennial,outcrossing,medium
SCsuper,,2.25E-10,Diprion_similis,perennial,outcrossing,medium
SCsuper,,2.14E-10,Diprion_similis,perennial,outcrossing,medium
SCsuper,,2.04E-10,Diprion_similis,perennial,outcrossing,medium
SCsuper,,1.58E-10,Diprion_similis,perennial,outcrossing,medium
SCsuper,,2.29E-10,Diprion_similis,perennial,outcrossing,medium
SCsuper,,1.90E-10,Diprion_similis,perennial,outcrossing,medium
SCsuper,,2.27E-10,Diprion_similis,perennial,outcrossing,medium
SCsuper,,2.32E-10,Diprion_similis,perennial,outcrossing,medium
SCsuper,,2.16E-10,Diprion_similis,perennial,outcrossing,medium
SCsuper,,1.51E-09,Diprion_similis,perennial,outcrossing,medium
SCsuper,,4.71E-10,Diprion_similis,perennial,outcrossing,medium
SCsuper,,1.96E-10,Diprion_similis,perennial,outcrossing,medium
SCsuper,,2.04E-10,Diprion_similis,perennial,outcrossing,medium
SCsuper,,2.01E-10,Diprion_similis,perennial,outcrossing,medium
SCsuper,,1.92E-10,Diprion_similis,perennial,outcrossing,medium
SCsuper,,2.19E-10,Diprion_similis,perennial,outcrossing,medium
SCsuper,,1.62E-10,Diprion_similis,perennial,outcrossing,medium
SCsuper,,2.23E-10,Diprion_similis,perennial,outcrossing,medium
SCsuper,,1.56E-10,Diprion_similis,perennial,outcrossing,medium
SCsuper,,1.74E-10,Diprion_similis,perennial,outcrossing,medium
SCsuper,,1.94E-10,Diprion_similis,perennial,outcrossing,medium
SCsuper,,1.66E-10,Diprion_similis,perennial,outcrossing,medium
SCsuper,,2.11E-10,Diprion_similis,perennial,outcrossing,medium
SCsuper,,2.09E-10,Diprion_similis,perennial,outcrossing,medium
SCsuper,,2.81E-10,Diprion_similis,perennial,outcrossing,medium
SCsuper,,1.59E-10,Diprion_similis,perennial,outcrossing,medium
SCsuper,,2.15E-10,Diprion_similis,perennial,outcrossing,medium
SCsuper,,2.30E-10,Diprion_similis,perennial,outcrossing,medium
SCsuper,,1.79E-10,Diprion_similis,perennial,outcrossing,medium
SCsuper,,2.15E-10,Diprion_similis,perennial,outcrossing,medium
SCsuper,,2.02E-10,Diprion_similis,perennial,outcrossing,medium
SCsuper,,2.15E-10,Diprion_similis,perennial,outcrossing,medium
SCsuper,,1.98E-10,Diprion_similis,perennial,outcrossing,medium
SCsuper,,2.19E-10,Diprion_similis,perennial,outcrossing,medium
SCsuper,,2.24E-10,Diprion_similis,perennial,outcrossing,medium
SCsuper,,1.69E-10,Diprion_similis,perennial,outcrossing,medium
SCsuper,,2.12E-10,Diprion_similis,perennial,outcrossing,medium
SCsuper,,2.11E-10,Diprion_similis,perennial,outcrossing,medium
SCsuper,,2.19E-10,Diprion_similis,perennial,outcrossing,medium
SCsuper,,2.13E-10,Diprion_similis,perennial,outcrossing,medium
SCsuper,,2.29E-10,Diprion_similis,perennial,outcrossing,medium
SCsuper,,2.16E-10,Diprion_similis,perennial,outcrossing,medium
SCsuper,,2.13E-10,Diprion_similis,perennial,outcrossing,medium
SCsuper,,2.05E-10,Diprion_similis,perennial,outcrossing,medium
SCsuper,,1.99E-10,Diprion_similis,perennial,outcrossing,medium
SCsuper,,1.93E-10,Diprion_similis,perennial,outcrossing,medium
SCsuper,,1.82E-10,Diprion_similis,perennial,outcrossing,medium
SCsuper,,1.63E-10,Diprion_similis,perennial,outcrossing,medium
SCsuper,,1.98E-10,Diprion_similis,perennial,outcrossing,medium
SCsuper,,1.85E-10,Diprion_similis,perennial,outcrossing,medium
SCsuper,,2.02E-10,Diprion_similis,perennial,outcrossing,medium
SCsuper,,2.12E-10,Diprion_similis,perennial,outcrossing,medium
SCsuper,,2.20E-10,Diprion_similis,perennial,outcrossing,medium
SCsuper,,2.17E-10,Diprion_similis,perennial,outcrossing,medium
SCsuper,,1.66E-10,Diprion_similis,perennial,outcrossing,medium
SCsuper,,2.17E-10,Diprion_similis,perennial,outcrossing,medium
SCsuper,,2.15E-10,Diprion_similis,perennial,outcrossing,medium
SCsuper,,2.23E-10,Diprion_similis,perennial,outcrossing,medium
SCsuper,,2.15E-10,Diprion_similis,perennial,outcrossing,medium
SCsuper,,2.05E-10,Diprion_similis,perennial,outcrossing,medium
SCsuper,,2.25E-10,Diprion_similis,perennial,outcrossing,medium
SCsuper,,2.17E-10,Diprion_similis,perennial,outcrossing,medium
SCsuper,,1.87E-10,Diprion_similis,perennial,outcrossing,medium
SCsuper,,1.89E-10,Diprion_similis,perennial,outcrossing,medium
SCsuper,,1.86E-10,Diprion_similis,perennial,outcrossing,medium
SCsuper,,2.15E-10,Diprion_similis,perennial,outcrossing,medium
SCsuper,,2.27E-10,Diprion_similis,perennial,outcrossing,medium
SCsuper,,2.33E-10,Diprion_similis,perennial,outcrossing,medium
SCsuper,,2.22E-10,Diprion_similis,perennial,outcrossing,medium
SCsuper,,1.87E-10,Diprion_similis,perennial,outcrossing,medium
singlecopy,,3.03E-10,Diprion_similis,perennial,outcrossing,medium
singlecopy,,3.06E-10,Diprion_similis,perennial,outcrossing,medium
singlecopy,,2.92E-10,Diprion_similis,perennial,outcrossing,medium
singlecopy,,2.29E-10,Diprion_similis,perennial,outcrossing,medium
singlecopy,,2.33E-10,Diprion_similis,perennial,outcrossing,medium
singlecopy,,2.87E-10,Diprion_similis,perennial,outcrossing,medium
singlecopy,,2.88E-10,Diprion_similis,perennial,outcrossing,medium
singlecopy,,3.41E-10,Diprion_similis,perennial,outcrossing,medium
singlecopy,,3.28E-10,Diprion_similis,perennial,outcrossing,medium
singlecopy,,3.17E-10,Diprion_similis,perennial,outcrossing,medium
singlecopy,,3.01E-10,Diprion_similis,perennial,outcrossing,medium
singlecopy,,2.76E-10,Diprion_similis,perennial,outcrossing,medium
singlecopy,,3.05E-10,Diprion_similis,perennial,outcrossing,medium
singlecopy,,3.29E-10,Diprion_similis,perennial,outcrossing,medium
singlecopy,,3.20E-10,Diprion_similis,perennial,outcrossing,medium
singlecopy,,2.92E-10,Diprion_similis,perennial,outcrossing,medium
singlecopy,,3.16E-10,Diprion_similis,perennial,outcrossing,medium
singlecopy,,2.95E-10,Diprion_similis,perennial,outcrossing,medium
singlecopy,,2.33E-10,Diprion_similis,perennial,outcrossing,medium
singlecopy,,5.78E-10,Diprion_similis,perennial,outcrossing,medium
singlecopy,,2.67E-10,Diprion_similis,perennial,outcrossing,medium
singlecopy,,2.34E-10,Diprion_similis,perennial,outcrossing,medium
singlecopy,,3.09E-10,Diprion_similis,perennial,outcrossing,medium
singlecopy,,3.10E-10,Diprion_similis,perennial,outcrossing,medium
singlecopy,,3.84E-10,Diprion_similis,perennial,outcrossing,medium
singlecopy,,2.33E-10,Diprion_similis,perennial,outcrossing,medium
singlecopy,,2.99E-10,Diprion_similis,perennial,outcrossing,medium
singlecopy,,2.98E-10,Diprion_similis,perennial,outcrossing,medium
singlecopy,,2.30E-10,Diprion_similis,perennial,outcrossing,medium
singlecopy,,3.06E-10,Diprion_similis,perennial,outcrossing,medium
singlecopy,,2.92E-10,Diprion_similis,perennial,outcrossing,medium
singlecopy,,3.08E-10,Diprion_similis,perennial,outcrossing,medium
singlecopy,,2.91E-10,Diprion_similis,perennial,outcrossing,medium
singlecopy,,3.18E-10,Diprion_similis,perennial,outcrossing,medium
singlecopy,,3.08E-10,Diprion_similis,perennial,outcrossing,medium
singlecopy,,2.25E-10,Diprion_similis,perennial,outcrossing,medium
singlecopy,,2.89E-10,Diprion_similis,perennial,outcrossing,medium
singlecopy,,2.85E-10,Diprion_similis,perennial,outcrossing,medium
singlecopy,,3.03E-10,Diprion_similis,perennial,outcrossing,medium
singlecopy,,3.13E-10,Diprion_similis,perennial,outcrossing,medium
singlecopy,,3.35E-10,Diprion_similis,perennial,outcrossing,medium
singlecopy,,3.16E-10,Diprion_similis,perennial,outcrossing,medium
singlecopy,,3.08E-10,Diprion_similis,perennial,outcrossing,medium
singlecopy,,2.86E-10,Diprion_similis,perennial,outcrossing,medium
singlecopy,,2.74E-10,Diprion_similis,perennial,outcrossing,medium
singlecopy,,2.57E-10,Diprion_similis,perennial,outcrossing,medium
singlecopy,,2.52E-10,Diprion_similis,perennial,outcrossing,medium
singlecopy,,2.21E-10,Diprion_similis,perennial,outcrossing,medium
singlecopy,,2.78E-10,Diprion_similis,perennial,outcrossing,medium
singlecopy,,2.74E-10,Diprion_similis,perennial,outcrossing,medium
singlecopy,,2.96E-10,Diprion_similis,perennial,outcrossing,medium
singlecopy,,2.96E-10,Diprion_similis,perennial,outcrossing,medium
singlecopy,,3.00E-10,Diprion_similis,perennial,outcrossing,medium
singlecopy,,2.88E-10,Diprion_similis,perennial,outcrossing,medium
singlecopy,,2.21E-10,Diprion_similis,perennial,outcrossing,medium
singlecopy,,2.86E-10,Diprion_similis,perennial,outcrossing,medium
singlecopy,,2.98E-10,Diprion_similis,perennial,outcrossing,medium
