Sample,Het,adjusted_het,num_sites,site_adjusted,taxa,life_history,breeding_system,genome_size
SCsuper,0.0213337,5.26E-09,3.57E+06,5.97E-09,Geospiza,perennial,outcrossing,large
SCsuper,0.0208256,5.14E-09,3.63E+06,5.74E-09,Geospiza,perennial,outcrossing,large
SCsuper,0.0237549,5.86E-09,3.23E+06,7.35E-09,Geospiza,perennial,outcrossing,large
SCsuper,0.0249768,6.16E-09,3.14E+06,7.94E-09,Geospiza,perennial,outcrossing,large
SCsuper,0.0241012,5.94E-09,3.22E+06,7.48E-09,Geospiza,perennial,outcrossing,large
SCsuper,0.0249106,6.14E-09,3.30E+06,7.54E-09,Geospiza,perennial,outcrossing,large
SCsuper,0.0213015,5.25E-09,3.51E+06,6.07E-09,Geospiza,perennial,outcrossing,large
SCsuper,0.0209752,5.17E-09,3.56E+06,5.89E-09,Geospiza,perennial,outcrossing,large
SCsuper,0.0214627,5.29E-09,2.87E+06,7.48E-09,Geospiza,perennial,outcrossing,large
SCsuper,0.0218383,5.39E-09,2.85E+06,7.67E-09,Geospiza,perennial,outcrossing,large
SCsuper,0.0269586,6.65E-09,2.98E+06,9.04E-09,Geospiza,perennial,outcrossing,large
SCsuper,0.0239158,5.90E-09,2.86E+06,8.37E-09,Geospiza,perennial,outcrossing,large
SCsuper,0.0244753,6.04E-09,2.82E+06,8.67E-09,Geospiza,perennial,outcrossing,large
SCsuper,0.0215832,5.32E-09,3.43E+06,6.29E-09,Geospiza,perennial,outcrossing,large
SCsuper,0.02175,5.36E-09,3.46E+06,6.30E-09,Geospiza,perennial,outcrossing,large
SCsuper,0.0234312,5.78E-09,3.26E+06,7.20E-09,Geospiza,perennial,outcrossing,large
SCsuper,0.0227659,5.62E-09,3.39E+06,6.72E-09,Geospiza,perennial,outcrossing,large
SCsuper,0.0215533,5.32E-09,2.94E+06,7.34E-09,Geospiza,perennial,outcrossing,large
SCsuper,0.0218341,5.39E-09,2.90E+06,7.52E-09,Geospiza,perennial,outcrossing,large
SCsuper,0.0203444,5.02E-09,3.40E+06,5.99E-09,Geospiza,perennial,outcrossing,large
SCsuper,0.0264624,6.53E-09,2.79E+06,9.48E-09,Geospiza,perennial,outcrossing,large
SCsuper,0.0227844,5.62E-09,3.53E+06,6.45E-09,Geospiza,perennial,outcrossing,large
SCsuper,0.0225067,5.55E-09,3.59E+06,6.27E-09,Geospiza,perennial,outcrossing,large
SCsuper,0.0211721,5.22E-09,2.97E+06,7.14E-09,Geospiza,perennial,outcrossing,large
SCsuper,0.0214326,5.29E-09,2.95E+06,7.26E-09,Geospiza,perennial,outcrossing,large
SCsuper,0.0265203,6.54E-09,3.42E+06,7.75E-09,Geospiza,perennial,outcrossing,large
SCsuper,0.0260848,6.43E-09,3.43E+06,7.61E-09,Geospiza,perennial,outcrossing,large
SCsuper,0.0457154,1.13E-08,1.82E+06,2.51E-08,Geospiza,perennial,outcrossing,large
SCsuper,0.0245662,6.06E-09,3.63E+06,6.76E-09,Geospiza,perennial,outcrossing,large
SCsuper,0.0239749,5.91E-09,3.12E+06,7.68E-09,Geospiza,perennial,outcrossing,large
SCsuper,0.0242663,5.99E-09,3.20E+06,7.59E-09,Geospiza,perennial,outcrossing,large
SCsuper,0.0246423,6.08E-09,3.25E+06,7.59E-09,Geospiza,perennial,outcrossing,large
SCsuper,0.0161417,3.98E-09,3.14E+06,5.14E-09,Geospiza,perennial,outcrossing,large
singlecopy,0.00350075,7.13E-11,2.75E+07,1.27E-10,Geospiza,perennial,outcrossing,large
singlecopy,0.00359521,7.32E-11,2.81E+07,1.28E-10,Geospiza,perennial,outcrossing,large
singlecopy,0.00266029,5.42E-11,2.50E+07,1.06E-10,Geospiza,perennial,outcrossing,large
singlecopy,0.00279361,5.69E-11,2.43E+07,1.15E-10,Geospiza,perennial,outcrossing,large
singlecopy,0.00275493,5.61E-11,2.49E+07,1.11E-10,Geospiza,perennial,outcrossing,large
singlecopy,0.00375032,7.64E-11,2.51E+07,1.49E-10,Geospiza,perennial,outcrossing,large
singlecopy,0.00319762,6.51E-11,2.66E+07,1.20E-10,Geospiza,perennial,outcrossing,large
singlecopy,0.0032734,6.67E-11,2.73E+07,1.20E-10,Geospiza,perennial,outcrossing,large
singlecopy,0.00168341,3.43E-11,2.14E+07,7.86E-11,Geospiza,perennial,outcrossing,large
singlecopy,0.00174549,3.55E-11,2.12E+07,8.23E-11,Geospiza,perennial,outcrossing,large
singlecopy,0.00328523,6.69E-11,2.08E+07,1.58E-10,Geospiza,perennial,outcrossing,large
singlecopy,0.0025692,5.23E-11,2.24E+07,1.15E-10,Geospiza,perennial,outcrossing,large
singlecopy,0.00261422,5.32E-11,2.21E+07,1.18E-10,Geospiza,perennial,outcrossing,large
singlecopy,0.00341355,6.95E-11,2.57E+07,1.33E-10,Geospiza,perennial,outcrossing,large
singlecopy,0.00342936,6.98E-11,2.68E+07,1.28E-10,Geospiza,perennial,outcrossing,large
singlecopy,0.00344868,7.02E-11,2.47E+07,1.40E-10,Geospiza,perennial,outcrossing,large
singlecopy,0.00302795,6.17E-11,2.65E+07,1.14E-10,Geospiza,perennial,outcrossing,large
singlecopy,0.00221763,4.52E-11,2.30E+07,9.66E-11,Geospiza,perennial,outcrossing,large
singlecopy,0.00226013,4.60E-11,2.27E+07,9.94E-11,Geospiza,perennial,outcrossing,large
singlecopy,0.00241492,4.92E-11,2.53E+07,9.55E-11,Geospiza,perennial,outcrossing,large
singlecopy,0.00296011,6.03E-11,2.14E+07,1.38E-10,Geospiza,perennial,outcrossing,large
singlecopy,0.0047796,9.73E-11,2.70E+07,1.77E-10,Geospiza,perennial,outcrossing,large
singlecopy,0.00483695,9.85E-11,2.76E+07,1.75E-10,Geospiza,perennial,outcrossing,large
