Sample,Het,adjusted_het,taxa,life_history,breeding_system,genome_size
UCE,0.0167131,5.70738E-08,Juglans,perennial,outcrossing,medium
UCE,0.0154417,5.27321E-08,Juglans,perennial,outcrossing,medium
UCE,0.0152401,5.20437E-08,Juglans,perennial,outcrossing,medium
UCE,0.0160409,5.47783E-08,Juglans,perennial,outcrossing,medium
UCE,0.0158328,5.40677E-08,Juglans,perennial,outcrossing,medium
UCE,0.0159975,5.46301E-08,Juglans,perennial,outcrossing,medium
UCE,0.0156486,5.34386E-08,Juglans,perennial,outcrossing,medium
UCE,0.0156832,5.35568E-08,Juglans,perennial,outcrossing,medium
UCE,0.0159457,5.44532E-08,Juglans,perennial,outcrossing,medium
UCE,0.015917,5.43552E-08,Juglans,perennial,outcrossing,medium
UCE,0.0165072,5.63707E-08,Juglans,perennial,outcrossing,medium
UCE,0.0153132,5.22933E-08,Juglans,perennial,outcrossing,medium
UCE,0.0157056,5.36333E-08,Juglans,perennial,outcrossing,medium
UCE,0.0156792,5.35431E-08,Juglans,perennial,outcrossing,medium
UCE,0.0157695,5.38515E-08,Juglans,perennial,outcrossing,medium
UCE,0.0155426,5.30767E-08,Juglans,perennial,outcrossing,medium
UCE,0.0163137,5.57099E-08,Juglans,perennial,outcrossing,medium
UCE,0.0162219,5.53964E-08,Juglans,perennial,outcrossing,medium
UCE,0.0163062,5.56843E-08,Juglans,perennial,outcrossing,medium
UCE,0.0162856,5.5614E-08,Juglans,perennial,outcrossing,medium
UCE,0.0160648,5.48599E-08,Juglans,perennial,outcrossing,medium
UCE,0.0145425,4.96614E-08,Juglans,perennial,outcrossing,medium
UCE,0.0159606,5.45041E-08,Juglans,perennial,outcrossing,medium
UCE,0.0142751,4.87483E-08,Juglans,perennial,outcrossing,medium
UCE,0.0149892,5.11869E-08,Juglans,perennial,outcrossing,medium
UCE,0.0169938,5.80324E-08,Juglans,perennial,outcrossing,medium
UCE,0.0158317,5.40639E-08,Juglans,perennial,outcrossing,medium
UCE,0.0158142,5.40042E-08,Juglans,perennial,outcrossing,medium
UCE,0.0163291,5.57625E-08,Juglans,perennial,outcrossing,medium
UCE,0.0160249,5.47237E-08,Juglans,perennial,outcrossing,medium
UCE,0.0161301,5.50829E-08,Juglans,perennial,outcrossing,medium
UCE,0.0157709,5.38563E-08,Juglans,perennial,outcrossing,medium
UCE,0.0157068,5.36374E-08,Juglans,perennial,outcrossing,medium
UCE,0.0158293,5.40557E-08,Juglans,perennial,outcrossing,medium
UCE,0.0159782,5.45642E-08,Juglans,perennial,outcrossing,medium
UCE,0.0158481,5.41199E-08,Juglans,perennial,outcrossing,medium
UCE,0.0160476,5.48012E-08,Juglans,perennial,outcrossing,medium
UCE,0.0163146,5.5713E-08,Juglans,perennial,outcrossing,medium
UCE,0.0166211,5.67597E-08,Juglans,perennial,outcrossing,medium
UCE,0.0161106,5.50163E-08,Juglans,perennial,outcrossing,medium
UCE,0.0159477,5.44601E-08,Juglans,perennial,outcrossing,medium
UCE,0.0165649,5.65677E-08,Juglans,perennial,outcrossing,medium
UCE,0.016131,5.5086E-08,Juglans,perennial,outcrossing,medium
UCE,0.0163444,5.58147E-08,Juglans,perennial,outcrossing,medium
UCE,0.0160249,5.47237E-08,Juglans,perennial,outcrossing,medium
UCE,0.0162395,5.54565E-08,Juglans,perennial,outcrossing,medium
UCE,0.0157691,5.38501E-08,Juglans,perennial,outcrossing,medium
UCE,0.0165347,5.64646E-08,Juglans,perennial,outcrossing,medium
UCE,0.0165619,5.65575E-08,Juglans,perennial,outcrossing,medium
UCE,0.0159317,5.44054E-08,Juglans,perennial,outcrossing,medium
UCE,0.0163533,5.58451E-08,Juglans,perennial,outcrossing,medium
UCE,0.0159893,5.46021E-08,Juglans,perennial,outcrossing,medium
UCE,0.0159127,5.43405E-08,Juglans,perennial,outcrossing,medium
UCE,0.0164176,5.60647E-08,Juglans,perennial,outcrossing,medium
UCE,0.0154472,5.27509E-08,Juglans,perennial,outcrossing,medium
UCE,0.0161863,5.52748E-08,Juglans,perennial,outcrossing,medium
UCE,0.0161424,5.51249E-08,Juglans,perennial,outcrossing,medium
UCE,0.0152517,5.20833E-08,Juglans,perennial,outcrossing,medium
UCE,0.0159719,5.45427E-08,Juglans,perennial,outcrossing,medium
UCE,0.0161953,5.53056E-08,Juglans,perennial,outcrossing,medium
UCE,0.0164463,5.61627E-08,Juglans,perennial,outcrossing,medium
UCE,0.0162821,5.5602E-08,Juglans,perennial,outcrossing,medium
UCE,0.0169552,5.79006E-08,Juglans,perennial,outcrossing,medium
UCE,0.0178865,6.10809E-08,Juglans,perennial,outcrossing,medium
UCE,0.0165146,5.6396E-08,Juglans,perennial,outcrossing,medium
UCE,0.0155776,5.31962E-08,Juglans,perennial,outcrossing,medium
UCE,0.0160987,5.49757E-08,Juglans,perennial,outcrossing,medium
UCE,0.0164156,5.60579E-08,Juglans,perennial,outcrossing,medium
UCE,0.016373,5.59124E-08,Juglans,perennial,outcrossing,medium
UCE,0.015511,5.29688E-08,Juglans,perennial,outcrossing,medium
UCE,0.0160332,5.4752E-08,Juglans,perennial,outcrossing,medium
UCE,0.0158602,5.41612E-08,Juglans,perennial,outcrossing,medium
UCE,0.0156513,5.34479E-08,Juglans,perennial,outcrossing,medium
UCE,0.0155893,5.32361E-08,Juglans,perennial,outcrossing,medium
UCE,0.0154379,5.27191E-08,Juglans,perennial,outcrossing,medium
UCE,0.0159202,5.43661E-08,Juglans,perennial,outcrossing,medium
UCE,0.0163274,5.57567E-08,Juglans,perennial,outcrossing,medium
UCE,0.0160838,5.49248E-08,Juglans,perennial,outcrossing,medium
UCE,0.0156395,5.34076E-08,Juglans,perennial,outcrossing,medium
UCE,0.0163075,5.56887E-08,Juglans,perennial,outcrossing,medium
UCE,0.0163113,5.57017E-08,Juglans,perennial,outcrossing,medium
UCE,0.0155581,5.31296E-08,Juglans,perennial,outcrossing,medium
UCE,0.0161903,5.52885E-08,Juglans,perennial,outcrossing,medium
UCE,0.0166137,5.67344E-08,Juglans,perennial,outcrossing,medium
UCE,0.0159555,5.44867E-08,Juglans,perennial,outcrossing,medium
UCE,0.0158276,5.40499E-08,Juglans,perennial,outcrossing,medium
UCE,0.0154227,5.26672E-08,Juglans,perennial,outcrossing,medium
UCE,0.016422,5.60797E-08,Juglans,perennial,outcrossing,medium
UCE,0.0164212,5.6077E-08,Juglans,perennial,outcrossing,medium
UCE,0.0155505,5.31036E-08,Juglans,perennial,outcrossing,medium
UCE,0.0163536,5.58462E-08,Juglans,perennial,outcrossing,medium
UCE,0.0156914,5.35848E-08,Juglans,perennial,outcrossing,medium
UCE,0.0160324,5.47493E-08,Juglans,perennial,outcrossing,medium
UCE,0.0163856,5.59554E-08,Juglans,perennial,outcrossing,medium
UCE,0.0154307,5.26945E-08,Juglans,perennial,outcrossing,medium
UCE,0.0152622,5.21191E-08,Juglans,perennial,outcrossing,medium
UCE,0.0165714,5.65899E-08,Juglans,perennial,outcrossing,medium
UCE,0.015484,5.28766E-08,Juglans,perennial,outcrossing,medium
UCE,0.0150474,5.13856E-08,Juglans,perennial,outcrossing,medium
UCE,0.0161171,5.50385E-08,Juglans,perennial,outcrossing,medium
UCE,0.0150552,5.14122E-08,Juglans,perennial,outcrossing,medium
UCE,0.016665,5.69096E-08,Juglans,perennial,outcrossing,medium
UCE,0.0152313,5.20136E-08,Juglans,perennial,outcrossing,medium
UCE,0.0154024,5.25979E-08,Juglans,perennial,outcrossing,medium
UCE,0.0158017,5.39615E-08,Juglans,perennial,outcrossing,medium
UCE,0.0163068,5.56863E-08,Juglans,perennial,outcrossing,medium
UCE,0.0165964,5.66753E-08,Juglans,perennial,outcrossing,medium
UCE,0.0161318,5.50887E-08,Juglans,perennial,outcrossing,medium
UCE,0.0160869,5.49354E-08,Juglans,perennial,outcrossing,medium
UCE,0.0161172,5.50389E-08,Juglans,perennial,outcrossing,medium
UCE_super,0.016611,1.18327E-08,Juglans,perennial,outcrossing,medium
UCE_super,0.016052,1.14345E-08,Juglans,perennial,outcrossing,medium
UCE_super,0.0153109,1.09066E-08,Juglans,perennial,outcrossing,medium
UCE_super,0.0154132,1.09795E-08,Juglans,perennial,outcrossing,medium
UCE_super,0.015888,1.13177E-08,Juglans,perennial,outcrossing,medium
UCE_super,0.0152545,1.08664E-08,Juglans,perennial,outcrossing,medium
