Sample,Het,adjusted_het,taxa,life_history,breeding_system,genome_size
UCE,0.00644839,2.44413E-08,Liriodendron,perennial,outcrossing,large
UCE,0.0063872,2.42093E-08,Liriodendron,perennial,outcrossing,large
UCE,0.00655126,2.48312E-08,Liriodendron,perennial,outcrossing,large
UCE,0.00637923,2.41791E-08,Liriodendron,perennial,outcrossing,large
UCE,0.00595435,2.25687E-08,Liriodendron,perennial,outcrossing,large
UCE,0.00651243,2.4684E-08,Liriodendron,perennial,outcrossing,large
UCE,0.00594729,2.2542E-08,Liriodendron,perennial,outcrossing,large
UCE,0.00590932,2.2398E-08,Liriodendron,perennial,outcrossing,large
UCE,0.00661662,2.50789E-08,Liriodendron,perennial,outcrossing,large
UCE,0.00658503,2.49592E-08,Liriodendron,perennial,outcrossing,large
UCE,0.00598705,2.26927E-08,Liriodendron,perennial,outcrossing,large
UCE,0.00604308,2.2905E-08,Liriodendron,perennial,outcrossing,large
UCE,0.00491965,1.86469E-08,Liriodendron,perennial,outcrossing,large
UCE,0.00664438,2.51841E-08,Liriodendron,perennial,outcrossing,large
UCE_super,0.013336,1.52168E-08,Liriodendron,perennial,outcrossing,large
UCE_super,0.013135,1.49874E-08,Liriodendron,perennial,outcrossing,large
UCE_super,0.0136978,1.56296E-08,Liriodendron,perennial,outcrossing,large
UCE_super,0.0123846,1.41312E-08,Liriodendron,perennial,outcrossing,large
UCE_super,0.0112514,1.28382E-08,Liriodendron,perennial,outcrossing,large
UCE_super,0.00900624,1.02764E-08,Liriodendron,perennial,outcrossing,large
UCE_super,0.00779116,8.88995E-09,Liriodendron,perennial,outcrossing,large
UCE_super,0.0110113,1.25642E-08,Liriodendron,perennial,outcrossing,large
UCE_super,0.0126678,1.44543E-08,Liriodendron,perennial,outcrossing,large
UCE_super,0.0128928,1.47111E-08,Liriodendron,perennial,outcrossing,large
UCE_super,0.00876419,1.00002E-08,Liriodendron,perennial,outcrossing,large
UCE_super,0.00829077,9.46002E-09,Liriodendron,perennial,outcrossing,large
