Sample,Het,adjusted_het,num_sites,site_adjusted,taxa,life_history,breeding_system,genome_size
UCE,0.0160109,6.41E-08,2.29E+05,6.98E-08,Lotus_corniculatus,outcrossing,perennial,medium
UCE,0.0166556,6.67E-08,2.26E+05,7.37E-08,Lotus_corniculatus,outcrossing,perennial,medium
UCE,0.0161341,6.46E-08,2.27E+05,7.10E-08,Lotus_corniculatus,outcrossing,perennial,medium
UCE,0.0169256,6.77E-08,2.28E+05,7.44E-08,Lotus_corniculatus,outcrossing,perennial,medium
UCE,0.0170218,6.81E-08,2.28E+05,7.47E-08,Lotus_corniculatus,outcrossing,perennial,medium
UCE,0.0167966,6.72E-08,2.30E+05,7.31E-08,Lotus_corniculatus,outcrossing,perennial,medium
UCE,0.0166344,6.66E-08,2.26E+05,7.36E-08,Lotus_corniculatus,outcrossing,perennial,medium
UCE,0.0162324,6.50E-08,2.24E+05,7.26E-08,Lotus_corniculatus,outcrossing,perennial,medium
UCE,0.0164404,6.58E-08,2.26E+05,7.28E-08,Lotus_corniculatus,outcrossing,perennial,medium
UCE,0.0183983,7.36E-08,2.27E+05,8.12E-08,Lotus_corniculatus,outcrossing,perennial,medium
UCE,0.0184951,7.40E-08,2.27E+05,8.16E-08,Lotus_corniculatus,outcrossing,perennial,medium
UCE,0.0174255,6.97E-08,2.26E+05,7.72E-08,Lotus_corniculatus,outcrossing,perennial,medium
UCE,0.0160448,6.42E-08,2.26E+05,7.10E-08,Lotus_corniculatus,outcrossing,perennial,medium
UCE,0.0167547,6.71E-08,2.26E+05,7.43E-08,Lotus_corniculatus,outcrossing,perennial,medium
UCE,0.0175877,7.04E-08,2.26E+05,7.77E-08,Lotus_corniculatus,outcrossing,perennial,medium
UCE,0.0167254,6.69E-08,2.26E+05,7.41E-08,Lotus_corniculatus,outcrossing,perennial,medium
UCE,0.0169932,6.80E-08,2.26E+05,7.53E-08,Lotus_corniculatus,outcrossing,perennial,medium
UCE,0.0176702,7.07E-08,2.25E+05,7.85E-08,Lotus_corniculatus,outcrossing,perennial,medium
UCE,0.0170108,6.81E-08,2.26E+05,7.52E-08,Lotus_corniculatus,outcrossing,perennial,medium
UCE,0.0167994,6.72E-08,2.24E+05,7.49E-08,Lotus_corniculatus,outcrossing,perennial,medium
UCE,0.0165361,6.62E-08,2.24E+05,7.39E-08,Lotus_corniculatus,outcrossing,perennial,medium
UCE,0.0164448,6.58E-08,2.23E+05,7.38E-08,Lotus_corniculatus,outcrossing,perennial,medium
UCE,0.01638,6.56E-08,2.26E+05,7.26E-08,Lotus_corniculatus,outcrossing,perennial,medium
UCE,0.0149016,5.96E-08,2.23E+05,6.67E-08,Lotus_corniculatus,outcrossing,perennial,medium
