Sample,Het,adjusted_het,num_sites,site_adjusted,taxa,life_history,breeding_system,genome_size
singlecopy,0.00429288,3.20E-08,6.69E+04,6.41E-08,Malania_oleifera,perennial,outcrossing,large
singlecopy,0.00319,2.38E-08,6.51E+04,4.90E-08,Malania_oleifera,perennial,outcrossing,large
singlecopy,0.00408137,3.04E-08,6.77E+04,6.03E-08,Malania_oleifera,perennial,outcrossing,large
singlecopy,0.00392047,2.92E-08,6.57E+04,5.97E-08,Malania_oleifera,perennial,outcrossing,large
singlecopy,0.00553961,4.13E-08,7.33E+04,7.56E-08,Malania_oleifera,perennial,outcrossing,large
singlecopy,0.00482832,3.60E-08,7.41E+04,6.52E-08,Malania_oleifera,perennial,outcrossing,large
singlecopy,0.00565128,4.21E-08,7.56E+04,7.48E-08,Malania_oleifera,perennial,outcrossing,large
singlecopy,0.00524379,3.91E-08,7.27E+04,7.22E-08,Malania_oleifera,perennial,outcrossing,large
singlecopy,0.0047214,3.52E-08,7.43E+04,6.35E-08,Malania_oleifera,perennial,outcrossing,large
singlecopy,0.00536826,4.00E-08,7.52E+04,7.14E-08,Malania_oleifera,perennial,outcrossing,large
singlecopy,0.00460019,3.43E-08,6.83E+04,6.73E-08,Malania_oleifera,perennial,outcrossing,large
singlecopy,0.00380359,2.83E-08,6.67E+04,5.70E-08,Malania_oleifera,perennial,outcrossing,large
singlecopy,0.00357203,2.66E-08,7.32E+04,4.88E-08,Malania_oleifera,perennial,outcrossing,large
singlecopy,0.00443296,3.30E-08,6.75E+04,6.56E-08,Malania_oleifera,perennial,outcrossing,large
singlecopy,0.00499166,3.72E-08,7.27E+04,6.86E-08,Malania_oleifera,perennial,outcrossing,large
singlecopy,0.00561229,4.18E-08,7.50E+04,7.49E-08,Malania_oleifera,perennial,outcrossing,large
singlecopy,0.00391546,2.92E-08,7.25E+04,5.40E-08,Malania_oleifera,perennial,outcrossing,large
singlecopy,0.00322664,2.40E-08,6.73E+04,4.80E-08,Malania_oleifera,perennial,outcrossing,large
singlecopy,0.00350418,2.61E-08,6.65E+04,5.27E-08,Malania_oleifera,perennial,outcrossing,large
singlecopy,0.00253673,1.89E-08,6.05E+04,4.19E-08,Malania_oleifera,perennial,outcrossing,large
singlecopy,0.00446127,3.32E-08,6.67E+04,6.69E-08,Malania_oleifera,perennial,outcrossing,large
singlecopy,0.00478578,3.57E-08,7.63E+04,6.27E-08,Malania_oleifera,perennial,outcrossing,large
singlecopy,0.00566459,4.22E-08,7.73E+04,7.33E-08,Malania_oleifera,perennial,outcrossing,large
singlecopy,0.0046665,3.48E-08,7.83E+04,5.96E-08,Malania_oleifera,perennial,outcrossing,large
singlecopy,0.0047003,3.50E-08,6.60E+04,7.12E-08,Malania_oleifera,perennial,outcrossing,large
singlecopy,0.00304,2.27E-08,6.75E+04,4.50E-08,Malania_oleifera,perennial,outcrossing,large
singlecopy,0.00455437,3.39E-08,7.26E+04,6.27E-08,Malania_oleifera,perennial,outcrossing,large
singlecopy,0.00384106,2.86E-08,6.95E+04,5.52E-08,Malania_oleifera,perennial,outcrossing,large
singlecopy,0.00582037,4.34E-08,8.08E+04,7.21E-08,Malania_oleifera,perennial,outcrossing,large
singlecopy,0.00600469,4.47E-08,7.69E+04,7.81E-08,Malania_oleifera,perennial,outcrossing,large
singlecopy,0.00552031,4.11E-08,8.06E+04,6.85E-08,Malania_oleifera,perennial,outcrossing,large
singlecopy,0.00466943,3.48E-08,7.87E+04,5.94E-08,Malania_oleifera,perennial,outcrossing,large
SCsuper,0.0113157,2.70E-08,3.90E+05,2.90E-08,Malania_oleifera,perennial,outcrossing,large
SCsuper,0.0107923,2.58E-08,3.84E+05,2.81E-08,Malania_oleifera,perennial,outcrossing,large
SCsuper,0.00980489,2.34E-08,3.97E+05,2.47E-08,Malania_oleifera,perennial,outcrossing,large
SCsuper,0.0100349,2.40E-08,3.94E+05,2.54E-08,Malania_oleifera,perennial,outcrossing,large
SCsuper,0.0114344,2.73E-08,3.89E+05,2.94E-08,Malania_oleifera,perennial,outcrossing,large
SCsuper,0.0116157,2.77E-08,3.93E+05,2.96E-08,Malania_oleifera,perennial,outcrossing,large
SCsuper,0.0111413,2.66E-08,3.98E+05,2.80E-08,Malania_oleifera,perennial,outcrossing,large
SCsuper,0.0121539,2.90E-08,3.93E+05,3.09E-08,Malania_oleifera,perennial,outcrossing,large
