Sample,Het,adjusted_het,taxa,life_history,breeding_system,genome_size
UCE,0.00207177,8.18632E-09,Oryza,annual,outcrossing,medium
UCE,0.00209946,8.29574E-09,Oryza,annual,outcrossing,medium
UCE,0.0022198,8.77124E-09,Oryza,annual,outcrossing,medium
UCE,0.00226309,8.9423E-09,Oryza,annual,outcrossing,medium
UCE,0.00229059,9.05096E-09,Oryza,annual,outcrossing,medium
UCE,0.00219147,8.6593E-09,Oryza,annual,outcrossing,medium
UCE,0.00208305,8.23089E-09,Oryza,annual,outcrossing,medium
UCE,0.00215843,8.52875E-09,Oryza,annual,outcrossing,medium
UCE,0.00227254,8.97964E-09,Oryza,annual,outcrossing,medium
UCE,0.00207846,8.21276E-09,Oryza,annual,outcrossing,medium
UCE,0.00221882,8.76737E-09,Oryza,annual,outcrossing,medium
UCE,0.00227793,9.00094E-09,Oryza,annual,outcrossing,medium
UCE,0.00206552,8.16163E-09,Oryza,annual,outcrossing,medium
UCE,0.00238102,9.40828E-09,Oryza,annual,outcrossing,medium
UCE,0.0020786,8.21331E-09,Oryza,annual,outcrossing,medium
UCE,0.00236948,9.36268E-09,Oryza,annual,outcrossing,medium
UCE,0.00222266,8.78254E-09,Oryza,annual,outcrossing,medium
UCE,0.00242233,9.57151E-09,Oryza,annual,outcrossing,medium
UCE,0.00213362,8.43071E-09,Oryza,annual,outcrossing,medium
UCE,0.00226964,8.96818E-09,Oryza,annual,outcrossing,medium
UCE,0.00209362,8.27266E-09,Oryza,annual,outcrossing,medium
UCE,0.00214152,8.46193E-09,Oryza,annual,outcrossing,medium
UCE,0.00205099,8.10421E-09,Oryza,annual,outcrossing,medium
UCE,0.00203111,8.02566E-09,Oryza,annual,outcrossing,medium
UCE,0.00206258,8.15001E-09,Oryza,annual,outcrossing,medium
UCE,0.00206352,8.15372E-09,Oryza,annual,outcrossing,medium
UCE,0.0022726,8.97988E-09,Oryza,annual,outcrossing,medium
UCE,0.00206128,8.14487E-09,Oryza,annual,outcrossing,medium
UCE,0.00228542,9.03053E-09,Oryza,annual,outcrossing,medium
UCE,0.00229341,9.0621E-09,Oryza,annual,outcrossing,medium
UCE,0.00208165,8.22536E-09,Oryza,annual,outcrossing,medium
UCE,0.00211388,8.35271E-09,Oryza,annual,outcrossing,medium
UCE,0.00200786,7.93379E-09,Oryza,annual,outcrossing,medium
UCE,0.00232918,9.20344E-09,Oryza,annual,outcrossing,medium
UCE,0.00214003,8.45604E-09,Oryza,annual,outcrossing,medium
UCE,0.00219111,8.65788E-09,Oryza,annual,outcrossing,medium
UCE,0.00232494,9.18669E-09,Oryza,annual,outcrossing,medium
UCE,0.00237388,9.38007E-09,Oryza,annual,outcrossing,medium
UCE,0.00205833,8.13322E-09,Oryza,annual,outcrossing,medium
UCE,0.00242082,9.56555E-09,Oryza,annual,outcrossing,medium
UCE,0.00190713,7.53577E-09,Oryza,annual,outcrossing,medium
UCE,0.00203393,8.0368E-09,Oryza,annual,outcrossing,medium
UCE,0.00203525,8.04202E-09,Oryza,annual,outcrossing,medium
UCE,0.00217519,8.59497E-09,Oryza,annual,outcrossing,medium
UCE,0.00198803,7.85544E-09,Oryza,annual,outcrossing,medium
UCE,0.00212595,8.40041E-09,Oryza,annual,outcrossing,medium
UCE,0.00158154,6.24924E-09,Oryza,annual,outcrossing,medium
UCE,0.00234539,9.2675E-09,Oryza,annual,outcrossing,medium
UCE,0.00219693,8.68088E-09,Oryza,annual,outcrossing,medium
UCE,0.00213585,8.43953E-09,Oryza,annual,outcrossing,medium
UCE,0.00233965,9.24481E-09,Oryza,annual,outcrossing,medium
UCE,0.0021647,8.55352E-09,Oryza,annual,outcrossing,medium
UCE,0.00204778,8.09153E-09,Oryza,annual,outcrossing,medium
UCE,0.00222451,8.78985E-09,Oryza,annual,outcrossing,medium
UCE,0.00205145,8.10603E-09,Oryza,annual,outcrossing,medium
UCE,0.0021468,8.48279E-09,Oryza,annual,outcrossing,medium
UCE,0.00219731,8.68238E-09,Oryza,annual,outcrossing,medium
UCE,0.00231039,9.1292E-09,Oryza,annual,outcrossing,medium
UCE,0.00245125,9.68579E-09,Oryza,annual,outcrossing,medium
UCE,0.00221932,8.76935E-09,Oryza,annual,outcrossing,medium
UCE,0.0023439,9.26161E-09,Oryza,annual,outcrossing,medium
UCE,0.00225719,8.91899E-09,Oryza,annual,outcrossing,medium
UCE,0.00207434,8.19648E-09,Oryza,annual,outcrossing,medium
UCE,0.0020818,8.22595E-09,Oryza,annual,outcrossing,medium
