Sample,Het,adjusted_het,taxa,life_history,breeding_system,genome_size
genome,0.00344128,3.84E-12,Plectropomus_leopardus,perennial,outcrossing,medium
genome,0.00468967,5.24E-12,Plectropomus_leopardus,perennial,outcrossing,medium
genome,0.00374229,4.18E-12,Plectropomus_leopardus,perennial,outcrossing,medium
genome,0.00340206,3.80E-12,Plectropomus_leopardus,perennial,outcrossing,medium
genome,0.00481025,5.37E-12,Plectropomus_leopardus,perennial,outcrossing,medium
genome,0.00394729,4.41E-12,Plectropomus_leopardus,perennial,outcrossing,medium
genome,0.0032503,3.63E-12,Plectropomus_leopardus,perennial,outcrossing,medium
genome,0.00349818,3.91E-12,Plectropomus_leopardus,perennial,outcrossing,medium
genome,0.00376534,4.20E-12,Plectropomus_leopardus,perennial,outcrossing,medium
genome,0.00390249,4.36E-12,Plectropomus_leopardus,perennial,outcrossing,medium
genome,0.00472708,5.28E-12,Plectropomus_leopardus,perennial,outcrossing,medium
genome,0.0045538,5.08E-12,Plectropomus_leopardus,perennial,outcrossing,medium
genome,0.00373653,4.17E-12,Plectropomus_leopardus,perennial,outcrossing,medium
genome,0.00405794,4.53E-12,Plectropomus_leopardus,perennial,outcrossing,medium
genome,0.0039088,4.36E-12,Plectropomus_leopardus,perennial,outcrossing,medium
genome,0.00393876,4.40E-12,Plectropomus_leopardus,perennial,outcrossing,medium
genome,0.00328509,3.67E-12,Plectropomus_leopardus,perennial,outcrossing,medium
genome,0.00340899,3.81E-12,Plectropomus_leopardus,perennial,outcrossing,medium
genome,0.0037132,4.15E-12,Plectropomus_leopardus,perennial,outcrossing,medium
genome,0.00431545,4.82E-12,Plectropomus_leopardus,perennial,outcrossing,medium
genome,0.00500336,5.59E-12,Plectropomus_leopardus,perennial,outcrossing,medium
genome,0.00424761,4.74E-12,Plectropomus_leopardus,perennial,outcrossing,medium
genome,0.00368055,4.11E-12,Plectropomus_leopardus,perennial,outcrossing,medium
genome,0.00375052,4.19E-12,Plectropomus_leopardus,perennial,outcrossing,medium
genome,0.00370747,4.14E-12,Plectropomus_leopardus,perennial,outcrossing,medium
genome,0.00437846,4.89E-12,Plectropomus_leopardus,perennial,outcrossing,medium
genome,0.00338965,3.78E-12,Plectropomus_leopardus,perennial,outcrossing,medium
UCE_super,0.00162792,1.79E-09,Plectropomus_leopardus,perennial,outcrossing,medium
UCE_super,0.00203907,2.25E-09,Plectropomus_leopardus,perennial,outcrossing,medium
UCE_super,0.00192842,2.13E-09,Plectropomus_leopardus,perennial,outcrossing,medium
UCE_super,0.00165422,1.82E-09,Plectropomus_leopardus,perennial,outcrossing,medium
UCE_super,0.00211756,2.33E-09,Plectropomus_leopardus,perennial,outcrossing,medium
UCE_super,0.00193645,2.13E-09,Plectropomus_leopardus,perennial,outcrossing,medium
UCE_super,0.00177937,1.96E-09,Plectropomus_leopardus,perennial,outcrossing,medium
UCE_super,0.00177499,1.96E-09,Plectropomus_leopardus,perennial,outcrossing,medium
UCE_super,0.00174252,1.92E-09,Plectropomus_leopardus,perennial,outcrossing,medium
UCE_super,0.00195489,2.15E-09,Plectropomus_leopardus,perennial,outcrossing,medium
UCE_super,0.0019949,2.20E-09,Plectropomus_leopardus,perennial,outcrossing,medium
UCE_super,0.00208341,2.30E-09,Plectropomus_leopardus,perennial,outcrossing,medium
UCE_super,0.00184668,2.04E-09,Plectropomus_leopardus,perennial,outcrossing,medium
UCE_super,0.00192849,2.13E-09,Plectropomus_leopardus,perennial,outcrossing,medium
UCE_super,0.00191606,2.11E-09,Plectropomus_leopardus,perennial,outcrossing,medium
UCE_super,0.0019626,2.16E-09,Plectropomus_leopardus,perennial,outcrossing,medium
UCE_super,0.0016546,1.82E-09,Plectropomus_leopardus,perennial,outcrossing,medium
UCE_super,0.0017539,1.93E-09,Plectropomus_leopardus,perennial,outcrossing,medium
UCE_super,0.0018909,2.08E-09,Plectropomus_leopardus,perennial,outcrossing,medium
UCE_super,0.00202976,2.24E-09,Plectropomus_leopardus,perennial,outcrossing,medium
UCE_super,0.00203751,2.25E-09,Plectropomus_leopardus,perennial,outcrossing,medium
UCE_super,0.00186233,2.05E-09,Plectropomus_leopardus,perennial,outcrossing,medium
UCE_super,0.00177931,1.96E-09,Plectropomus_leopardus,perennial,outcrossing,medium
UCE_super,0.00183381,2.02E-09,Plectropomus_leopardus,perennial,outcrossing,medium
UCE_super,0.00164359,1.81E-09,Plectropomus_leopardus,perennial,outcrossing,medium
UCE_super,0.00192234,2.12E-09,Plectropomus_leopardus,perennial,outcrossing,medium
UCE_super,0.00166751,1.84E-09,Plectropomus_leopardus,perennial,outcrossing,medium
UCE,0.0010714,6.08E-09,Plectropomus_leopardus,perennial,outcrossing,medium
UCE,0.000317868,1.80E-09,Plectropomus_leopardus,perennial,outcrossing,medium
UCE,0.000197956,1.12E-09,Plectropomus_leopardus,perennial,outcrossing,medium
UCE,0.000171681,9.74E-10,Plectropomus_leopardus,perennial,outcrossing,medium
UCE,0.000237147,0,Plectropomus_leopardus,perennial,outcrossing,medium
UCE,0.00120524,1.35E-09,Plectropomus_leopardus,perennial,outcrossing,medium
UCE,0.000403816,6.84E-09,Plectropomus_leopardus,perennial,outcrossing,medium
UCE,0.000305368,2.29E-09,Plectropomus_leopardus,perennial,outcrossing,medium
UCE,0.000343948,1.73E-09,Plectropomus_leopardus,perennial,outcrossing,medium
UCE,0.00060456,1.95E-09,Plectropomus_leopardus,perennial,outcrossing,medium
UCE,0.000550683,3.43E-09,Plectropomus_leopardus,perennial,outcrossing,medium
UCE,0.0004738,3.12E-09,Plectropomus_leopardus,perennial,outcrossing,medium
UCE,1.98E-10,2.69E-09,Plectropomus_leopardus,perennial,outcrossing,medium
UCE,0.00076348,4.33E-09,Plectropomus_leopardus,perennial,outcrossing,medium
UCE,0.000556264,0,Plectropomus_leopardus,perennial,outcrossing,medium
UCE,0.000614486,3.16E-09,Plectropomus_leopardus,perennial,outcrossing,medium
UCE,0.000167874,3.49E-09,Plectropomus_leopardus,perennial,outcrossing,medium
UCE,1.04E-05,9.52E-10,Plectropomus_leopardus,perennial,outcrossing,medium
UCE,0.00027986,1.59E-09,Plectropomus_leopardus,perennial,outcrossing,medium
UCE,0.000751342,4.26E-09,Plectropomus_leopardus,perennial,outcrossing,medium
UCE,0.000374072,2.12E-09,Plectropomus_leopardus,perennial,outcrossing,medium
UCE,0.000308649,1.75E-09,Plectropomus_leopardus,perennial,outcrossing,medium
UCE,0.000296561,1.68E-09,Plectropomus_leopardus,perennial,outcrossing,medium
UCE,0.000351838,2.00E-09,Plectropomus_leopardus,perennial,outcrossing,medium
UCE,0.000689741,3.91E-09,Plectropomus_leopardus,perennial,outcrossing,medium
BUSCO,0.00234116,3.94E-10,Plectropomus_leopardus,perennial,outcrossing,medium
BUSCO,0.00277488,4.67E-10,Plectropomus_leopardus,perennial,outcrossing,medium
BUSCO,0.00248575,4.18E-10,Plectropomus_leopardus,perennial,outcrossing,medium
BUSCO,0.00236056,3.97E-10,Plectropomus_leopardus,perennial,outcrossing,medium
BUSCO,0.00290222,4.88E-10,Plectropomus_leopardus,perennial,outcrossing,medium
BUSCO,0.00257554,4.33E-10,Plectropomus_leopardus,perennial,outcrossing,medium
BUSCO,0.00229097,3.85E-10,Plectropomus_leopardus,perennial,outcrossing,medium
BUSCO,0.00247315,4.16E-10,Plectropomus_leopardus,perennial,outcrossing,medium
BUSCO,0.00245354,4.13E-10,Plectropomus_leopardus,perennial,outcrossing,medium
BUSCO,0.00255187,4.29E-10,Plectropomus_leopardus,perennial,outcrossing,medium
BUSCO,0.00280636,4.72E-10,Plectropomus_leopardus,perennial,outcrossing,medium
BUSCO,0.00273807,4.61E-10,Plectropomus_leopardus,perennial,outcrossing,medium
BUSCO,0.00248533,4.18E-10,Plectropomus_leopardus,perennial,outcrossing,medium
BUSCO,0.00252808,4.25E-10,Plectropomus_leopardus,perennial,outcrossing,medium
BUSCO,0.00254513,4.28E-10,Plectropomus_leopardus,perennial,outcrossing,medium
BUSCO,0.00259683,4.37E-10,Plectropomus_leopardus,perennial,outcrossing,medium
BUSCO,0.00234685,3.95E-10,Plectropomus_leopardus,perennial,outcrossing,medium
BUSCO,0.00241451,4.06E-10,Plectropomus_leopardus,perennial,outcrossing,medium
BUSCO,0.00251668,4.23E-10,Plectropomus_leopardus,perennial,outcrossing,medium
BUSCO,0.00271893,4.57E-10,Plectropomus_leopardus,perennial,outcrossing,medium
BUSCO,0.00288585,4.85E-10,Plectropomus_leopardus,perennial,outcrossing,medium
BUSCO,0.00275345,4.63E-10,Plectropomus_leopardus,perennial,outcrossing,medium
BUSCO,0.00253554,4.27E-10,Plectropomus_leopardus,perennial,outcrossing,medium
BUSCO,0.0025781,4.34E-10,Plectropomus_leopardus,perennial,outcrossing,medium
BUSCO,0.002547,4.28E-10,Plectropomus_leopardus,perennial,outcrossing,medium
BUSCO,0.00266626,4.48E-10,Plectropomus_leopardus,perennial,outcrossing,medium
BUSCO,0.00244007,4.10E-10,Plectropomus_leopardus,perennial,outcrossing,medium
BUSCOsuper,0.00853864,3.88E-10,Plectropomus_leopardus,perennial,outcrossing,medium
BUSCOsuper,0.00938503,4.26E-10,Plectropomus_leopardus,perennial,outcrossing,medium
BUSCOsuper,0.00887605,4.03E-10,Plectropomus_leopardus,perennial,outcrossing,medium
BUSCOsuper,0.00867651,3.94E-10,Plectropomus_leopardus,perennial,outcrossing,medium
BUSCOsuper,0.00954173,4.34E-10,Plectropomus_leopardus,perennial,outcrossing,medium
BUSCOsuper,0.00894671,4.07E-10,Plectropomus_leopardus,perennial,outcrossing,medium
BUSCOsuper,0.0083717,3.80E-10,Plectropomus_leopardus,perennial,outcrossing,medium
BUSCOsuper,0.00850766,3.87E-10,Plectropomus_leopardus,perennial,outcrossing,medium
BUSCOsuper,0.00873931,3.97E-10,Plectropomus_leopardus,perennial,outcrossing,medium
BUSCOsuper,0.00915537,4.16E-10,Plectropomus_leopardus,perennial,outcrossing,medium
BUSCOsuper,0.00955986,4.34E-10,Plectropomus_leopardus,perennial,outcrossing,medium
BUSCOsuper,0.00954377,4.34E-10,Plectropomus_leopardus,perennial,outcrossing,medium
BUSCOsuper,0.00863482,3.92E-10,Plectropomus_leopardus,perennial,outcrossing,medium
BUSCOsuper,0.00887055,4.03E-10,Plectropomus_leopardus,perennial,outcrossing,medium
BUSCOsuper,0.00880995,4.00E-10,Plectropomus_leopardus,perennial,outcrossing,medium
BUSCOsuper,0.00902263,4.10E-10,Plectropomus_leopardus,perennial,outcrossing,medium
BUSCOsuper,0.00825921,3.75E-10,Plectropomus_leopardus,perennial,outcrossing,medium
BUSCOsuper,0.00852156,3.87E-10,Plectropomus_leopardus,perennial,outcrossing,medium
BUSCOsuper,0.00863048,3.92E-10,Plectropomus_leopardus,perennial,outcrossing,medium
