Sample,Het,adjusted_het,taxa,life_history,breeding_system,genome_size
UCE,0.0147529,5.66646E-08,Primula,perennial,outcrossing,small
UCE,0.00659635,2.5336E-08,Primula,perennial,outcrossing,small
UCE,0.00748002,2.87301E-08,Primula,perennial,outcrossing,small
UCE,0.0097518,3.74558E-08,Primula,perennial,outcrossing,small
UCE,0.00891722,3.42502E-08,Primula,perennial,outcrossing,small
UCE,0.00810877,3.11451E-08,Primula,perennial,outcrossing,small
UCE,0.00758281,2.91249E-08,Primula,perennial,outcrossing,small
UCE,0.0102184,3.92479E-08,Primula,perennial,outcrossing,small
UCE,0.00853728,3.27909E-08,Primula,perennial,outcrossing,small
UCE,0.00902569,3.46669E-08,Primula,perennial,outcrossing,small
UCE,0.0231599,8.89551E-08,Primula,perennial,outcrossing,small
UCE,0.0321205,1.23372E-07,Primula,perennial,outcrossing,small
UCE,0.00802262,3.08142E-08,Primula,perennial,outcrossing,small
UCE,0.0109872,4.22008E-08,Primula,perennial,outcrossing,small
UCE,0.0152798,5.86883E-08,Primula,perennial,outcrossing,small
UCE,0.0138741,5.32892E-08,Primula,perennial,outcrossing,small
UCE,0.0102629,3.94189E-08,Primula,perennial,outcrossing,small
UCE,0.0246897,9.48309E-08,Primula,perennial,outcrossing,small
UCE,0.0176257,6.76987E-08,Primula,perennial,outcrossing,small
UCE,0.00822231,3.15811E-08,Primula,perennial,outcrossing,small
UCE,0.00805851,3.0952E-08,Primula,perennial,outcrossing,small
UCE,0.00851614,3.27097E-08,Primula,perennial,outcrossing,small
UCE,0.00811159,3.11559E-08,Primula,perennial,outcrossing,small
UCE,0.00668792,2.56877E-08,Primula,perennial,outcrossing,small
UCE,0.00772516,2.96716E-08,Primula,perennial,outcrossing,small
UCE,0.00961619,3.69349E-08,Primula,perennial,outcrossing,small
UCE,0.00831992,3.19561E-08,Primula,perennial,outcrossing,small
UCE,0.0100296,3.85228E-08,Primula,perennial,outcrossing,small
UCE_super,0.031831,3.06871E-08,Primula,perennial,outcrossing,small
UCE_super,0.00858818,8.27956E-09,Primula,perennial,outcrossing,small
UCE_super,0.01791,1.72664E-08,Primula,perennial,outcrossing,small
UCE_super,0.0203973,1.96643E-08,Primula,perennial,outcrossing,small
UCE_super,0.0191619,1.84733E-08,Primula,perennial,outcrossing,small
