Sample,Het,adjusted_het,taxa,life_history,breeding_system,genome_size
UCE,0.00565478,2.0771E-08,Prunus,perennial,outcrossing,medium
UCE,0.00683243,2.50967E-08,Prunus,perennial,outcrossing,medium
UCE,0.00676181,2.48373E-08,Prunus,perennial,outcrossing,medium
UCE,0.00624958,2.29558E-08,Prunus,perennial,outcrossing,medium
UCE,0.0072419,2.66008E-08,Prunus,perennial,outcrossing,medium
UCE,0.0054367,1.997E-08,Prunus,perennial,outcrossing,medium
UCE,0.00662913,2.435E-08,Prunus,perennial,outcrossing,medium
UCE,0.00671902,2.46801E-08,Prunus,perennial,outcrossing,medium
UCE,0.00749916,2.75457E-08,Prunus,perennial,outcrossing,medium
UCE,0.00621301,2.28215E-08,Prunus,perennial,outcrossing,medium
UCE,0.00683259,2.50973E-08,Prunus,perennial,outcrossing,medium
UCE,0.00621419,2.28258E-08,Prunus,perennial,outcrossing,medium
UCE,0.00704361,2.58724E-08,Prunus,perennial,outcrossing,medium
UCE,0.00669265,2.45833E-08,Prunus,perennial,outcrossing,medium
UCE,0.00675089,2.47972E-08,Prunus,perennial,outcrossing,medium
UCE,0.0070708,2.59723E-08,Prunus,perennial,outcrossing,medium
UCE,0.00719727,2.64368E-08,Prunus,perennial,outcrossing,medium
UCE,0.00665849,2.44578E-08,Prunus,perennial,outcrossing,medium
UCE,0.00851215,3.12666E-08,Prunus,perennial,outcrossing,medium
UCE,0.00480199,1.76386E-08,Prunus,perennial,outcrossing,medium
UCE,0.00699715,2.57018E-08,Prunus,perennial,outcrossing,medium
UCE,0.00676608,2.4853E-08,Prunus,perennial,outcrossing,medium
UCE,0.006124,2.24945E-08,Prunus,perennial,outcrossing,medium
UCE,0.00609766,2.23978E-08,Prunus,perennial,outcrossing,medium
UCE,0.00541939,1.99064E-08,Prunus,perennial,outcrossing,medium
UCE,0.00689643,2.53318E-08,Prunus,perennial,outcrossing,medium
UCE,0.00633345,2.32639E-08,Prunus,perennial,outcrossing,medium
UCE,0.00732133,2.68925E-08,Prunus,perennial,outcrossing,medium
UCE,0.00648609,2.38245E-08,Prunus,perennial,outcrossing,medium
UCE,0.0069327,2.5465E-08,Prunus,perennial,outcrossing,medium
UCE,0.00671544,2.4667E-08,Prunus,perennial,outcrossing,medium
UCE,0.00644979,2.36912E-08,Prunus,perennial,outcrossing,medium
UCE,0.00548083,2.01321E-08,Prunus,perennial,outcrossing,medium
UCE,0.00654564,2.40433E-08,Prunus,perennial,outcrossing,medium
UCE,0.00737553,2.70916E-08,Prunus,perennial,outcrossing,medium
UCE,0.00646136,2.37337E-08,Prunus,perennial,outcrossing,medium
UCE,0.00633768,2.32794E-08,Prunus,perennial,outcrossing,medium
UCE,0.00676744,2.4858E-08,Prunus,perennial,outcrossing,medium
UCE,0.00650987,2.39119E-08,Prunus,perennial,outcrossing,medium
UCE,0.00600767,2.20672E-08,Prunus,perennial,outcrossing,medium
UCE,0.00726654,2.66913E-08,Prunus,perennial,outcrossing,medium
UCE,0.0064758,2.37868E-08,Prunus,perennial,outcrossing,medium
UCE,0.00661378,2.42936E-08,Prunus,perennial,outcrossing,medium
UCE,0.00682275,2.50612E-08,Prunus,perennial,outcrossing,medium
UCE,0.00605815,2.22526E-08,Prunus,perennial,outcrossing,medium
UCE,0.00540422,1.98506E-08,Prunus,perennial,outcrossing,medium
UCE,0.0070035,2.57251E-08,Prunus,perennial,outcrossing,medium
UCE,0.00672444,2.47E-08,Prunus,perennial,outcrossing,medium
UCE,0.00698482,2.56565E-08,Prunus,perennial,outcrossing,medium
UCE,0.00737201,2.70787E-08,Prunus,perennial,outcrossing,medium
UCE,0.0059544,2.18716E-08,Prunus,perennial,outcrossing,medium
UCE,0.00577986,2.12304E-08,Prunus,perennial,outcrossing,medium
UCE,0.00681632,2.50375E-08,Prunus,perennial,outcrossing,medium
UCE,0.00693662,2.54794E-08,Prunus,perennial,outcrossing,medium
UCE,0.00635075,2.33274E-08,Prunus,perennial,outcrossing,medium
UCE,0.00705782,2.59246E-08,Prunus,perennial,outcrossing,medium
UCE,0.00633909,2.32846E-08,Prunus,perennial,outcrossing,medium
UCE,0.0064142,2.35605E-08,Prunus,perennial,outcrossing,medium
UCE,0.00611994,2.24796E-08,Prunus,perennial,outcrossing,medium
UCE,0.0069308,2.5458E-08,Prunus,perennial,outcrossing,medium
UCE,0.00684302,2.51356E-08,Prunus,perennial,outcrossing,medium
UCE,0.00569706,2.09263E-08,Prunus,perennial,outcrossing,medium
UCE,0.00587349,2.15744E-08,Prunus,perennial,outcrossing,medium
UCE,0.00665007,2.44269E-08,Prunus,perennial,outcrossing,medium
UCE,0.00715812,2.6293E-08,Prunus,perennial,outcrossing,medium
UCE,0.00575806,2.11504E-08,Prunus,perennial,outcrossing,medium
UCE_super,0.00816848,1.0154E-08,Prunus,perennial,outcrossing,medium
UCE_super,0.00949757,1.18062E-08,Prunus,perennial,outcrossing,medium
UCE_super,0.00893528,1.11072E-08,Prunus,perennial,outcrossing,medium
UCE_super,0.00824088,1.0244E-08,Prunus,perennial,outcrossing,medium
UCE_super,0.0107529,1.33666E-08,Prunus,perennial,outcrossing,medium
UCE_super,0.00767572,9.54147E-09,Prunus,perennial,outcrossing,medium
