Sample,Het,adjusted_het,taxa,life_history,breeding_system,genome_size
UCE,0.00534534,2.02011E-08,Sesamum,perennial,selfing,small
UCE,0.00560362,2.11772E-08,Sesamum,perennial,selfing,small
UCE,0.00635072,2.40007E-08,Sesamum,perennial,selfing,small
UCE,0.00591148,2.23407E-08,Sesamum,perennial,selfing,small
UCE,0.00548109,2.07142E-08,Sesamum,perennial,selfing,small
UCE,0.00551163,2.08296E-08,Sesamum,perennial,selfing,small
UCE,0.00649902,2.45611E-08,Sesamum,perennial,selfing,small
UCE,0.00522983,1.97646E-08,Sesamum,perennial,selfing,small
UCE,0.00588401,2.22369E-08,Sesamum,perennial,selfing,small
UCE,0.00672292,2.54073E-08,Sesamum,perennial,selfing,small
UCE,0.005715,2.15981E-08,Sesamum,perennial,selfing,small
UCE,0.00663774,2.50854E-08,Sesamum,perennial,selfing,small
UCE,0.00590743,2.23254E-08,Sesamum,perennial,selfing,small
UCE,0.00575728,2.17579E-08,Sesamum,perennial,selfing,small
UCE,0.00524473,1.98209E-08,Sesamum,perennial,selfing,small
UCE,0.00589448,2.22764E-08,Sesamum,perennial,selfing,small
UCE,0.00635143,2.40033E-08,Sesamum,perennial,selfing,small
UCE,0.00533448,2.01601E-08,Sesamum,perennial,selfing,small
UCE,0.00542821,2.05143E-08,Sesamum,perennial,selfing,small
UCE,0.00483751,1.82819E-08,Sesamum,perennial,selfing,small
UCE,0.0053179,2.00974E-08,Sesamum,perennial,selfing,small
UCE,0.00533059,2.01454E-08,Sesamum,perennial,selfing,small
UCE,0.0051406,1.94274E-08,Sesamum,perennial,selfing,small
UCE,0.00477595,1.80493E-08,Sesamum,perennial,selfing,small
UCE,0.00507748,1.91888E-08,Sesamum,perennial,selfing,small
UCE,0.00514833,1.94566E-08,Sesamum,perennial,selfing,small
UCE,0.00521672,1.9715E-08,Sesamum,perennial,selfing,small
UCE,0.00539137,2.03751E-08,Sesamum,perennial,selfing,small
UCE,0.0045409,1.7161E-08,Sesamum,perennial,selfing,small
UCE,0.0036174,1.36709E-08,Sesamum,perennial,selfing,small
UCE,0.00355023,1.3417E-08,Sesamum,perennial,selfing,small
UCE,0.00452523,1.71018E-08,Sesamum,perennial,selfing,small
UCE,0.00501694,1.896E-08,Sesamum,perennial,selfing,small
UCE,0.00408449,1.54361E-08,Sesamum,perennial,selfing,small
UCE,0.00425982,1.60987E-08,Sesamum,perennial,selfing,small
UCE,0.00387575,1.46472E-08,Sesamum,perennial,selfing,small
UCE,0.00394261,1.48999E-08,Sesamum,perennial,selfing,small
UCE,0.0053835,2.03453E-08,Sesamum,perennial,selfing,small
UCE_super,0.00419055,5.31549E-09,Sesamum,perennial,selfing,small
UCE_super,0.00446878,5.66841E-09,Sesamum,perennial,selfing,small
UCE_super,0.00491034,6.2285E-09,Sesamum,perennial,selfing,small
UCE_super,0.00474086,6.01353E-09,Sesamum,perennial,selfing,small
UCE_super,0.00406212,5.15258E-09,Sesamum,perennial,selfing,small
UCE_super,0.00430157,5.45631E-09,Sesamum,perennial,selfing,small
UCE_super,0.00519189,6.58563E-09,Sesamum,perennial,selfing,small
UCE_super,0.00392834,4.98289E-09,Sesamum,perennial,selfing,small
UCE_super,0.00467639,5.93175E-09,Sesamum,perennial,selfing,small
UCE_super,0.00534337,6.77778E-09,Sesamum,perennial,selfing,small
UCE_super,0.00460762,5.84452E-09,Sesamum,perennial,selfing,small
UCE_super,0.00501816,6.36527E-09,Sesamum,perennial,selfing,small
UCE_super,0.00450222,5.71082E-09,Sesamum,perennial,selfing,small
UCE_super,0.00474404,6.01756E-09,Sesamum,perennial,selfing,small
UCE_super,0.00420864,5.33843E-09,Sesamum,perennial,selfing,small
UCE_super,0.00456445,5.78976E-09,Sesamum,perennial,selfing,small
UCE_super,0.00495951,6.29087E-09,Sesamum,perennial,selfing,small
UCE_super,0.00421046,5.34074E-09,Sesamum,perennial,selfing,small
UCE_super,0.00429819,5.45202E-09,Sesamum,perennial,selfing,small
UCE_super,0.00395854,5.0212E-09,Sesamum,perennial,selfing,small
UCE_super,0.00400647,5.08199E-09,Sesamum,perennial,selfing,small
UCE_super,0.00418465,5.308E-09,Sesamum,perennial,selfing,small
UCE_super,0.00403198,5.11435E-09,Sesamum,perennial,selfing,small
UCE_super,0.00390475,4.95297E-09,Sesamum,perennial,selfing,small
UCE_super,0.00404008,5.12462E-09,Sesamum,perennial,selfing,small
UCE_super,0.00409595,5.19549E-09,Sesamum,perennial,selfing,small
UCE_super,0.00418773,5.31191E-09,Sesamum,perennial,selfing,small
UCE_super,0.00406901,5.16132E-09,Sesamum,perennial,selfing,small
UCE_super,0.00299772,3.80245E-09,Sesamum,perennial,selfing,small
UCE_super,0.00309873,3.93057E-09,Sesamum,perennial,selfing,small
UCE_super,0.00278576,3.53359E-09,Sesamum,perennial,selfing,small
UCE_super,0.00353031,4.47801E-09,Sesamum,perennial,selfing,small
UCE_super,0.00328487,4.16668E-09,Sesamum,perennial,selfing,small
UCE_super,0.0032389,4.10837E-09,Sesamum,perennial,selfing,small
UCE_super,0.00312544,3.96445E-09,Sesamum,perennial,selfing,small
UCE_super,0.00298088,3.78109E-09,Sesamum,perennial,selfing,small
UCE_super,0.00284135,3.6041E-09,Sesamum,perennial,selfing,small
UCE_super,0.00428712,5.43798E-09,Sesamum,perennial,selfing,small
BUSCO,0.00257861,9.10223E-10,Sesamum,perennial,selfing,small
BUSCO,0.00274764,9.69889E-10,Sesamum,perennial,selfing,small
BUSCO,0.00336142,1.18655E-09,Sesamum,perennial,selfing,small
BUSCO,0.00293051,1.03444E-09,Sesamum,perennial,selfing,small
BUSCO,0.00246983,8.71825E-10,Sesamum,perennial,selfing,small
BUSCO,0.00263577,9.304E-10,Sesamum,perennial,selfing,small
BUSCO,0.00361954,1.27766E-09,Sesamum,perennial,selfing,small
BUSCO,0.00235445,8.31097E-10,Sesamum,perennial,selfing,small
BUSCO,0.00312828,1.10425E-09,Sesamum,perennial,selfing,small
