Sample,Het,adjusted_het,taxa,life_history,breeding_system,genome_size
UCE,0.00360861,1.38E-08,Sorghum,annual,selfing,medium
UCE,0.00336525,1.29E-08,Sorghum,annual,selfing,medium
UCE,0.00249635,9.53E-09,Sorghum,annual,selfing,medium
UCE,0.0024967,9.54E-09,Sorghum,annual,selfing,medium
UCE,0.00263846,1.01E-08,Sorghum,annual,selfing,medium
UCE,0.00290531,1.11E-08,Sorghum,annual,selfing,medium
UCE,0.00319996,1.22E-08,Sorghum,annual,selfing,medium
UCE,0.00264737,1.01E-08,Sorghum,annual,selfing,medium
UCE,0.00291,1.11E-08,Sorghum,annual,selfing,medium
UCE,0.00335858,1.28E-08,Sorghum,annual,selfing,medium
UCE,0.00287028,1.10E-08,Sorghum,annual,selfing,medium
UCE,0.00261079,9.97E-09,Sorghum,annual,selfing,medium
UCE,0.00263496,1.01E-08,Sorghum,annual,selfing,medium
UCE,0.00303343,1.16E-08,Sorghum,annual,selfing,medium
UCE,0.00239159,9.13E-09,Sorghum,annual,selfing,medium
UCE,0.00315383,1.20E-08,Sorghum,annual,selfing,medium
UCE,0.0026694,1.02E-08,Sorghum,annual,selfing,medium
UCE,0.00264906,1.01E-08,Sorghum,annual,selfing,medium
UCE,0.00286377,1.09E-08,Sorghum,annual,selfing,medium
UCE,0.00280029,1.07E-08,Sorghum,annual,selfing,medium
UCE,0.00264946,1.01E-08,Sorghum,annual,selfing,medium
UCE,0.00267605,1.02E-08,Sorghum,annual,selfing,medium
UCE,0.00278318,1.06E-08,Sorghum,annual,selfing,medium
UCE,0.00257779,9.85E-09,Sorghum,annual,selfing,medium
UCE,0.00302111,1.15E-08,Sorghum,annual,selfing,medium
UCE,0.00282931,1.08E-08,Sorghum,annual,selfing,medium
UCE,0.00279751,1.07E-08,Sorghum,annual,selfing,medium
UCE,0.0028763,1.10E-08,Sorghum,annual,selfing,medium
UCE,0.00282489,1.08E-08,Sorghum,annual,selfing,medium
UCE,0.00258624,9.88E-09,Sorghum,annual,selfing,medium
UCE,0.00287613,1.10E-08,Sorghum,annual,selfing,medium
UCE,0.00261663,9.99E-09,Sorghum,annual,selfing,medium
UCE,0.00302713,1.16E-08,Sorghum,annual,selfing,medium
UCE,0.00291604,1.11E-08,Sorghum,annual,selfing,medium
UCE,0.00287968,1.10E-08,Sorghum,annual,selfing,medium
UCE,0.00292528,1.12E-08,Sorghum,annual,selfing,medium
UCE,0.00287646,1.10E-08,Sorghum,annual,selfing,medium
