Sample,Het,adjusted_het,num_sites,site_adjusted,taxa,life_history,breeding_system,genome_size
UCE,0.00086971,1.88E-09,3.12E+05,2.79E-09,Ursus,perennial,outcrossing,large
UCE,0.000972476,2.10E-09,3.51E+05,2.77E-09,Ursus,perennial,outcrossing,large
UCE,0.0011732,2.53E-09,4.11E+05,2.86E-09,Ursus,perennial,outcrossing,large
UCE,0.00114009,2.46E-09,3.82E+05,2.98E-09,Ursus,perennial,outcrossing,large
UCE,0.000993193,2.14E-09,3.34E+05,2.98E-09,Ursus,perennial,outcrossing,large
UCE,0.000933277,2.02E-09,2.66E+05,3.51E-09,Ursus,perennial,outcrossing,large
UCE,0.000939205,2.03E-09,2.95E+05,3.18E-09,Ursus,perennial,outcrossing,large
UCE,0.0010671,2.30E-09,3.47E+05,3.08E-09,Ursus,perennial,outcrossing,large
UCE,0.00151983,3.28E-09,4.51E+05,3.37E-09,Ursus,perennial,outcrossing,large
UCE,0.00162867,3.52E-09,4.43E+05,3.68E-09,Ursus,perennial,outcrossing,large
UCE,0.00130154,2.81E-09,4.03E+05,3.23E-09,Ursus,perennial,outcrossing,large
UCE,0.000893506,1.93E-09,2.97E+05,3.01E-09,Ursus,perennial,outcrossing,large
UCE,0.00145141,3.13E-09,4.29E+05,3.38E-09,Ursus,perennial,outcrossing,large
UCE,0.00126762,2.74E-09,4.23E+05,3.00E-09,Ursus,perennial,outcrossing,large
UCE,0.0011885,2.57E-09,4.19E+05,2.84E-09,Ursus,perennial,outcrossing,large
UCE,0.0012602,2.72E-09,3.51E+05,3.59E-09,Ursus,perennial,outcrossing,large
UCE,0.00102167,2.21E-09,3.72E+05,2.74E-09,Ursus,perennial,outcrossing,large
UCE,0.00130275,2.81E-09,3.72E+05,3.50E-09,Ursus,perennial,outcrossing,large
UCE,0.000504038,1.09E-09,1.09E+05,4.61E-09,Ursus,perennial,outcrossing,large
UCE,0.00085573,1.85E-09,3.23E+05,2.65E-09,Ursus,perennial,outcrossing,large
UCE,0.00103198,2.23E-09,4.00E+05,2.58E-09,Ursus,perennial,outcrossing,large
UCE,0.0013758,2.97E-09,4.43E+05,3.10E-09,Ursus,perennial,outcrossing,large
UCE,0.00172552,3.73E-09,3.97E+05,4.34E-09,Ursus,perennial,outcrossing,large
