Sample,Het,adjusted_het,taxa,life_history,breeding_system,genome_size
UCE,0.00317476,1.22E-08,Vigna,annual,selfing,small
UCE,0.00414714,1.59E-08,Vigna,annual,selfing,small
UCE,0.00403439,1.55E-08,Vigna,annual,selfing,small
UCE,0.00382325,1.47E-08,Vigna,annual,selfing,small
UCE,0.00439235,1.68E-08,Vigna,annual,selfing,small
UCE,0.00362831,1.39E-08,Vigna,annual,selfing,small
UCE,0.00419578,1.61E-08,Vigna,annual,selfing,small
UCE,0.00418864,1.61E-08,Vigna,annual,selfing,small
UCE,0.00336027,1.29E-08,Vigna,annual,selfing,small
UCE,0.00342254,1.31E-08,Vigna,annual,selfing,small
UCE,0.00431841,1.66E-08,Vigna,annual,selfing,small
UCE,0.0036648,1.40E-08,Vigna,annual,selfing,small
UCE,0.00350665,1.34E-08,Vigna,annual,selfing,small
UCE,0.00371433,1.42E-08,Vigna,annual,selfing,small
UCE,0.00324234,1.24E-08,Vigna,annual,selfing,small
UCE,0.00355443,1.36E-08,Vigna,annual,selfing,small
UCE,0.00358783,1.38E-08,Vigna,annual,selfing,small
UCE,0.0040066,1.54E-08,Vigna,annual,selfing,small
UCE,0.00364883,1.40E-08,Vigna,annual,selfing,small
UCE,0.00362258,1.39E-08,Vigna,annual,selfing,small
UCE,0.00376689,1.44E-08,Vigna,annual,selfing,small
UCE,0.00415083,1.59E-08,Vigna,annual,selfing,small
UCE,0.00349165,1.34E-08,Vigna,annual,selfing,small
UCE,0.0031646,1.21E-08,Vigna,annual,selfing,small
UCE,0.0034061,1.31E-08,Vigna,annual,selfing,small
UCE,0.00364082,1.40E-08,Vigna,annual,selfing,small
UCE,0.00343105,1.31E-08,Vigna,annual,selfing,small
UCE,0.00367614,1.41E-08,Vigna,annual,selfing,small
UCE,0.00323387,1.24E-08,Vigna,annual,selfing,small
UCE,0.00379747,1.46E-08,Vigna,annual,selfing,small
UCE,0.00343523,1.32E-08,Vigna,annual,selfing,small
UCE,0.00418146,1.60E-08,Vigna,annual,selfing,small
UCE,0.00361185,1.38E-08,Vigna,annual,selfing,small
UCE,0.00339618,1.30E-08,Vigna,annual,selfing,small
UCE,0.00422824,1.62E-08,Vigna,annual,selfing,small
UCE,0.0036977,1.42E-08,Vigna,annual,selfing,small
UCE,0.00339383,1.30E-08,Vigna,annual,selfing,small
UCE,0.00410285,1.57E-08,Vigna,annual,selfing,small
UCE,0.0037987,1.46E-08,Vigna,annual,selfing,small
UCE,0.00425559,1.63E-08,Vigna,annual,selfing,small
UCE,0.00412582,1.58E-08,Vigna,annual,selfing,small
UCE,0.0042447,1.63E-08,Vigna,annual,selfing,small
UCE,0.00389156,1.49E-08,Vigna,annual,selfing,small
UCE,0.00433897,1.66E-08,Vigna,annual,selfing,small
UCE,0.00474937,1.82E-08,Vigna,annual,selfing,small
UCE,0.00405321,1.55E-08,Vigna,annual,selfing,small
UCE,0.00423889,1.62E-08,Vigna,annual,selfing,small
UCE,0.00421057,1.61E-08,Vigna,annual,selfing,small
UCE,0.00418284,1.60E-08,Vigna,annual,selfing,small
UCE,0.00433254,1.66E-08,Vigna,annual,selfing,small
UCE,0.00405705,1.55E-08,Vigna,annual,selfing,small
UCE,0.00369993,1.42E-08,Vigna,annual,selfing,small
UCE,0.00474073,1.82E-08,Vigna,annual,selfing,small
UCE,0.00402557,1.54E-08,Vigna,annual,selfing,small
UCE_super,0.00370561,5.62E-09,Vigna,annual,selfing,small
UCE_super,0.00385515,5.85E-09,Vigna,annual,selfing,small
UCE_super,0.00381377,5.79E-09,Vigna,annual,selfing,small
UCE_super,0.0040564,6.15E-09,Vigna,annual,selfing,small
UCE_super,0.00398446,6.04E-09,Vigna,annual,selfing,small
UCE_super,0.00360554,5.47E-09,Vigna,annual,selfing,small
UCE_super,0.0039573,6.00E-09,Vigna,annual,selfing,small
UCE_super,0.00392207,5.95E-09,Vigna,annual,selfing,small
UCE_super,0.00374689,5.68E-09,Vigna,annual,selfing,small
UCE_super,0.00366327,5.56E-09,Vigna,annual,selfing,small
UCE_super,0.00440016,6.67E-09,Vigna,annual,selfing,small
UCE_super,0.00362518,5.50E-09,Vigna,annual,selfing,small
UCE_super,0.00361311,5.48E-09,Vigna,annual,selfing,small
UCE_super,0.00388313,5.89E-09,Vigna,annual,selfing,small
UCE_super,0.00369756,5.61E-09,Vigna,annual,selfing,small
UCE_super,0.00358262,5.43E-09,Vigna,annual,selfing,small
UCE_super,0.00365654,5.55E-09,Vigna,annual,selfing,small
UCE_super,0.00373088,5.66E-09,Vigna,annual,selfing,small
UCE_super,0.00354527,5.38E-09,Vigna,annual,selfing,small
UCE_super,0.00369967,5.61E-09,Vigna,annual,selfing,small
UCE_super,0.0039443,5.98E-09,Vigna,annual,selfing,small
UCE_super,0.00391824,5.94E-09,Vigna,annual,selfing,small
UCE_super,0.00364959,5.54E-09,Vigna,annual,selfing,small
UCE_super,0.00359324,5.45E-09,Vigna,annual,selfing,small
UCE_super,0.00366111,5.55E-09,Vigna,annual,selfing,small
UCE_super,0.00374815,5.69E-09,Vigna,annual,selfing,small
