Sample,Het,adjusted_het,taxa,life_history,breeding_system,genome_size
UCE,0.0119192,4.84072E-08,Coffea,perennial,selfing,medium
UCE,0.0114783,4.66166E-08,Coffea,perennial,selfing,medium
UCE,0.0110349,4.48158E-08,Coffea,perennial,selfing,medium
UCE,0.0116276,4.72229E-08,Coffea,perennial,selfing,medium
UCE,0.0117449,4.76993E-08,Coffea,perennial,selfing,medium
UCE,0.0115099,4.67449E-08,Coffea,perennial,selfing,medium
UCE,0.0116494,4.73114E-08,Coffea,perennial,selfing,medium
UCE,0.0116943,4.74938E-08,Coffea,perennial,selfing,medium
UCE,0.0115516,4.69142E-08,Coffea,perennial,selfing,medium
UCE,0.0115719,4.69967E-08,Coffea,perennial,selfing,medium
UCE,0.0115895,4.70682E-08,Coffea,perennial,selfing,medium
UCE,0.011918,4.84023E-08,Coffea,perennial,selfing,medium
UCE,0.0117722,4.78102E-08,Coffea,perennial,selfing,medium
UCE,0.0116486,4.73082E-08,Coffea,perennial,selfing,medium
UCE,0.0116984,4.75104E-08,Coffea,perennial,selfing,medium
UCE,0.0114786,4.66178E-08,Coffea,perennial,selfing,medium
UCE,0.0114753,4.66044E-08,Coffea,perennial,selfing,medium
UCE,0.0116531,4.73265E-08,Coffea,perennial,selfing,medium
UCE,0.0114948,4.66836E-08,Coffea,perennial,selfing,medium
UCE,0.0114741,4.65995E-08,Coffea,perennial,selfing,medium
UCE,0.0115663,4.69739E-08,Coffea,perennial,selfing,medium
UCE,0.0118345,4.80632E-08,Coffea,perennial,selfing,medium
UCE,0.0111894,4.54432E-08,Coffea,perennial,selfing,medium
UCE,0.0116688,4.73902E-08,Coffea,perennial,selfing,medium
UCE,0.0118696,4.82057E-08,Coffea,perennial,selfing,medium
UCE,0.0118637,4.81818E-08,Coffea,perennial,selfing,medium
UCE,0.0115775,4.70194E-08,Coffea,perennial,selfing,medium
UCE,0.0116637,4.73695E-08,Coffea,perennial,selfing,medium
UCE,0.0118707,4.82102E-08,Coffea,perennial,selfing,medium
UCE,0.011529,4.68225E-08,Coffea,perennial,selfing,medium
UCE,0.0118563,4.81517E-08,Coffea,perennial,selfing,medium
UCE,0.0115766,4.70158E-08,Coffea,perennial,selfing,medium
UCE,0.011794,4.78987E-08,Coffea,perennial,selfing,medium
UCE,0.0116409,4.72769E-08,Coffea,perennial,selfing,medium
UCE,0.0116496,4.73122E-08,Coffea,perennial,selfing,medium
UCE,0.0114685,4.65768E-08,Coffea,perennial,selfing,medium
UCE,0.0117039,4.75328E-08,Coffea,perennial,selfing,medium
UCE,0.0114056,4.63213E-08,Coffea,perennial,selfing,medium
UCE,0.0119166,4.83966E-08,Coffea,perennial,selfing,medium
UCE,0.0116892,4.74731E-08,Coffea,perennial,selfing,medium
UCE,0.0117345,4.7657E-08,Coffea,perennial,selfing,medium
UCE,0.0117111,4.7562E-08,Coffea,perennial,selfing,medium
UCE,0.0114603,4.65434E-08,Coffea,perennial,selfing,medium
UCE,0.0116366,4.72595E-08,Coffea,perennial,selfing,medium
UCE,0.0117478,4.77111E-08,Coffea,perennial,selfing,medium
UCE,0.0115336,4.68411E-08,Coffea,perennial,selfing,medium
UCE,0.0113951,4.62787E-08,Coffea,perennial,selfing,medium
UCE,0.0122343,4.96869E-08,Coffea,perennial,selfing,medium
UCE,0.0118546,4.81448E-08,Coffea,perennial,selfing,medium
UCE,0.0114525,4.65118E-08,Coffea,perennial,selfing,medium
UCE_super,0.0194236,2.51053E-08,Coffea,perennial,selfing,medium
UCE_super,0.0193214,2.49732E-08,Coffea,perennial,selfing,medium
UCE_super,0.0192789,2.49183E-08,Coffea,perennial,selfing,medium
UCE_super,0.0195089,2.52156E-08,Coffea,perennial,selfing,medium
UCE_super,0.0196054,2.53403E-08,Coffea,perennial,selfing,medium
UCE_super,0.0192706,2.49076E-08,Coffea,perennial,selfing,medium
UCE_super,0.0195977,2.53304E-08,Coffea,perennial,selfing,medium
UCE_super,0.0194408,2.51276E-08,Coffea,perennial,selfing,medium
UCE_super,0.0193827,2.50525E-08,Coffea,perennial,selfing,medium
UCE_super,0.0194887,2.51895E-08,Coffea,perennial,selfing,medium
UCE_super,0.0194406,2.51273E-08,Coffea,perennial,selfing,medium
UCE_super,0.0196859,2.54444E-08,Coffea,perennial,selfing,medium
UCE_super,0.0195821,2.53102E-08,Coffea,perennial,selfing,medium
UCE_super,0.0193564,2.50185E-08,Coffea,perennial,selfing,medium
UCE_super,0.019416,2.50955E-08,Coffea,perennial,selfing,medium
UCE_super,0.0193857,2.50564E-08,Coffea,perennial,selfing,medium
UCE_super,0.0194688,2.51638E-08,Coffea,perennial,selfing,medium
UCE_super,0.0194885,2.51892E-08,Coffea,perennial,selfing,medium
UCE_super,0.0193531,2.50142E-08,Coffea,perennial,selfing,medium
UCE_super,0.0194138,2.50927E-08,Coffea,perennial,selfing,medium
UCE_super,0.0191492,2.47507E-08,Coffea,perennial,selfing,medium
UCE_super,0.0194857,2.51856E-08,Coffea,perennial,selfing,medium
UCE_super,0.018938,2.44777E-08,Coffea,perennial,selfing,medium
UCE_super,0.0194273,2.51101E-08,Coffea,perennial,selfing,medium
UCE_super,0.0195628,2.52853E-08,Coffea,perennial,selfing,medium
UCE_super,0.0197145,2.54813E-08,Coffea,perennial,selfing,medium
UCE_super,0.0192802,2.492E-08,Coffea,perennial,selfing,medium
UCE_super,0.0194693,2.51644E-08,Coffea,perennial,selfing,medium
UCE_super,0.0194767,2.5174E-08,Coffea,perennial,selfing,medium
UCE_super,0.0192479,2.48782E-08,Coffea,perennial,selfing,medium
UCE_super,0.0195418,2.52581E-08,Coffea,perennial,selfing,medium
UCE_super,0.0190813,2.46629E-08,Coffea,perennial,selfing,medium
UCE_super,0.0194223,2.51037E-08,Coffea,perennial,selfing,medium
UCE_super,0.0193133,2.49628E-08,Coffea,perennial,selfing,medium
UCE_super,0.0194669,2.51613E-08,Coffea,perennial,selfing,medium
UCE_super,0.019256,2.48887E-08,Coffea,perennial,selfing,medium
UCE_super,0.0194493,2.51386E-08,Coffea,perennial,selfing,medium
UCE_super,0.0192808,2.49208E-08,Coffea,perennial,selfing,medium
UCE_super,0.0196547,2.5404E-08,Coffea,perennial,selfing,medium
UCE_super,0.0195264,2.52382E-08,Coffea,perennial,selfing,medium
UCE_super,0.0193842,2.50544E-08,Coffea,perennial,selfing,medium
UCE_super,0.0195392,2.52548E-08,Coffea,perennial,selfing,medium
UCE_super,0.0193771,2.50452E-08,Coffea,perennial,selfing,medium
UCE_super,0.0193188,2.49699E-08,Coffea,perennial,selfing,medium
UCE_super,0.0194368,2.51224E-08,Coffea,perennial,selfing,medium
UCE_super,0.0194769,2.51742E-08,Coffea,perennial,selfing,medium
UCE_super,0.0193523,2.50132E-08,Coffea,perennial,selfing,medium
UCE_super,0.019791,2.55802E-08,Coffea,perennial,selfing,medium
UCE_super,0.0197196,2.54879E-08,Coffea,perennial,selfing,medium
UCE_super,0.019467,2.51614E-08,Coffea,perennial,selfing,medium
BUSCO,0.0061893,1.34693E-09,Coffea,perennial,selfing,medium
BUSCO,0.00610291,1.32813E-09,Coffea,perennial,selfing,medium
BUSCO,0.00611993,1.33183E-09,Coffea,perennial,selfing,medium
BUSCO,0.00607221,1.32145E-09,Coffea,perennial,selfing,medium
BUSCO,0.00605641,1.31801E-09,Coffea,perennial,selfing,medium
BUSCO,0.00605392,1.31747E-09,Coffea,perennial,selfing,medium
BUSCO,0.00614335,1.33693E-09,Coffea,perennial,selfing,medium
BUSCO,0.00591605,1.28747E-09,Coffea,perennial,selfing,medium
BUSCO,0.00589426,1.28272E-09,Coffea,perennial,selfing,medium
BUSCO,0.00602634,1.31147E-09,Coffea,perennial,selfing,medium
BUSCO,0.00610211,1.32796E-09,Coffea,perennial,selfing,medium
BUSCO,0.00612622,1.3332E-09,Coffea,perennial,selfing,medium
BUSCO,0.0060712,1.32123E-09,Coffea,perennial,selfing,medium
BUSCO,0.00613835,1.33584E-09,Coffea,perennial,selfing,medium
BUSCO,0.00617521,1.34386E-09,Coffea,perennial,selfing,medium
BUSCO,0.00672841,1.46425E-09,Coffea,perennial,selfing,medium
BUSCO,0.00600219,1.30621E-09,Coffea,perennial,selfing,medium
BUSCO,0.00608546,1.32433E-09,Coffea,perennial,selfing,medium
BUSCO,0.00593788,1.29222E-09,Coffea,perennial,selfing,medium
BUSCO,0.00620895,1.35121E-09,Coffea,perennial,selfing,medium
BUSCO,0.00610405,1.32838E-09,Coffea,perennial,selfing,medium
BUSCO,0.0065662,1.42895E-09,Coffea,perennial,selfing,medium
BUSCO,0.00600866,1.30762E-09,Coffea,perennial,selfing,medium
BUSCO,0.00615146,1.3387E-09,Coffea,perennial,selfing,medium
BUSCO,0.00611811,1.33144E-09,Coffea,perennial,selfing,medium
BUSCO,0.00615768,1.34005E-09,Coffea,perennial,selfing,medium
BUSCO,0.00644097,1.4017E-09,Coffea,perennial,selfing,medium
BUSCO,0.00606508,1.3199E-09,Coffea,perennial,selfing,medium
BUSCO,0.00614071,1.33636E-09,Coffea,perennial,selfing,medium
BUSCO,0.00622164,1.35397E-09,Coffea,perennial,selfing,medium
BUSCO,0.00611342,1.33042E-09,Coffea,perennial,selfing,medium
BUSCO,0.00600406,1.30662E-09,Coffea,perennial,selfing,medium
BUSCO,0.00619795,1.34881E-09,Coffea,perennial,selfing,medium
BUSCO,0.0060116,1.30826E-09,Coffea,perennial,selfing,medium
BUSCO,0.00600147,1.30605E-09,Coffea,perennial,selfing,medium
BUSCO,0.00601855,1.30977E-09,Coffea,perennial,selfing,medium
BUSCO,0.00602657,1.31152E-09,Coffea,perennial,selfing,medium
BUSCO,0.00597355,1.29998E-09,Coffea,perennial,selfing,medium
BUSCO,0.00608196,1.32357E-09,Coffea,perennial,selfing,medium
BUSCO,0.00608785,1.32485E-09,Coffea,perennial,selfing,medium
BUSCO,0.00606117,1.31905E-09,Coffea,perennial,selfing,medium
BUSCO,0.00626215,1.36278E-09,Coffea,perennial,selfing,medium
BUSCO,0.00612754,1.33349E-09,Coffea,perennial,selfing,medium
BUSCO,0.00625338,1.36088E-09,Coffea,perennial,selfing,medium
BUSCO,0.00607826,1.32277E-09,Coffea,perennial,selfing,medium
BUSCO,0.00602127,1.31036E-09,Coffea,perennial,selfing,medium
BUSCO,0.00611091,1.32987E-09,Coffea,perennial,selfing,medium
BUSCO,0.00631513,1.37431E-09,Coffea,perennial,selfing,medium
BUSCO,0.00613733,1.33562E-09,Coffea,perennial,selfing,medium
BUSCO,0.00603094,1.31247E-09,Coffea,perennial,selfing,medium
BUSCOsuper,0.0151012,2.33015E-09,Coffea,perennial,selfing,medium
BUSCOsuper,0.0149994,2.31444E-09,Coffea,perennial,selfing,medium
BUSCOsuper,0.0149155,2.3015E-09,Coffea,perennial,selfing,medium
BUSCOsuper,0.0149556,2.30768E-09,Coffea,perennial,selfing,medium
BUSCOsuper,0.0149703,2.30995E-09,Coffea,perennial,selfing,medium
BUSCOsuper,0.0149985,2.3143E-09,Coffea,perennial,selfing,medium
BUSCOsuper,0.015098,2.32966E-09,Coffea,perennial,selfing,medium
BUSCOsuper,0.0149276,2.30336E-09,Coffea,perennial,selfing,medium
BUSCOsuper,0.0149337,2.30431E-09,Coffea,perennial,selfing,medium
BUSCOsuper,0.0150797,2.32683E-09,Coffea,perennial,selfing,medium
BUSCOsuper,0.0150594,2.3237E-09,Coffea,perennial,selfing,medium
BUSCOsuper,0.0151603,2.33927E-09,Coffea,perennial,selfing,medium
BUSCOsuper,0.0150923,2.32878E-09,Coffea,perennial,selfing,medium
BUSCOsuper,0.0150362,2.32012E-09,Coffea,perennial,selfing,medium
BUSCOsuper,0.0151475,2.3373E-09,Coffea,perennial,selfing,medium
BUSCOsuper,0.0155107,2.39334E-09,Coffea,perennial,selfing,medium
BUSCOsuper,0.0149672,2.30947E-09,Coffea,perennial,selfing,medium
BUSCOsuper,0.0149819,2.31174E-09,Coffea,perennial,selfing,medium
BUSCOsuper,0.0149551,2.30761E-09,Coffea,perennial,selfing,medium
BUSCOsuper,0.0151918,2.34413E-09,Coffea,perennial,selfing,medium
BUSCOsuper,0.0149205,2.30227E-09,Coffea,perennial,selfing,medium
BUSCOsuper,0.0152991,2.36069E-09,Coffea,perennial,selfing,medium
BUSCOsuper,0.014883,2.29648E-09,Coffea,perennial,selfing,medium
BUSCOsuper,0.0150339,2.31977E-09,Coffea,perennial,selfing,medium
BUSCOsuper,0.0150269,2.31869E-09,Coffea,perennial,selfing,medium
BUSCOsuper,0.0151155,2.33236E-09,Coffea,perennial,selfing,medium
BUSCOsuper,0.0152992,2.3607E-09,Coffea,perennial,selfing,medium
BUSCOsuper,0.0150294,2.31907E-09,Coffea,perennial,selfing,medium
BUSCOsuper,0.0151273,2.33418E-09,Coffea,perennial,selfing,medium
BUSCOsuper,0.0151892,2.34373E-09,Coffea,perennial,selfing,medium
BUSCOsuper,0.0150802,2.32691E-09,Coffea,perennial,selfing,medium
BUSCOsuper,0.0149807,2.31156E-09,Coffea,perennial,selfing,medium
BUSCOsuper,0.0150613,2.32399E-09,Coffea,perennial,selfing,medium
BUSCOsuper,0.0149231,2.30267E-09,Coffea,perennial,selfing,medium
BUSCOsuper,0.0150199,2.31761E-09,Coffea,perennial,selfing,medium
BUSCOsuper,0.0150513,2.32245E-09,Coffea,perennial,selfing,medium
BUSCOsuper,0.014987,2.31253E-09,Coffea,perennial,selfing,medium
BUSCOsuper,0.0149327,2.30415E-09,Coffea,perennial,selfing,medium
BUSCOsuper,0.0151848,2.34305E-09,Coffea,perennial,selfing,medium
BUSCOsuper,0.015055,2.32302E-09,Coffea,perennial,selfing,medium
BUSCOsuper,0.0149837,2.31202E-09,Coffea,perennial,selfing,medium
BUSCOsuper,0.0152352,2.35083E-09,Coffea,perennial,selfing,medium
BUSCOsuper,0.0150735,2.32588E-09,Coffea,perennial,selfing,medium
BUSCOsuper,0.0151165,2.33251E-09,Coffea,perennial,selfing,medium
BUSCOsuper,0.0150858,2.32778E-09,Coffea,perennial,selfing,medium
BUSCOsuper,0.0151062,2.33092E-09,Coffea,perennial,selfing,medium
BUSCOsuper,0.0150979,2.32964E-09,Coffea,perennial,selfing,medium
BUSCOsuper,0.015302,2.36114E-09,Coffea,perennial,selfing,medium
BUSCOsuper,0.0151811,2.34248E-09,Coffea,perennial,selfing,medium
BUSCOsuper,0.0150409,2.32085E-09,Coffea,perennial,selfing,medium
singlecopy,0.0219752,6.39363E-09,Coffea,perennial,selfing,medium
singlecopy,0.0217019,6.36051E-09,Coffea,perennial,selfing,medium
singlecopy,0.021648,6.31432E-09,Coffea,perennial,selfing,medium
singlecopy,0.0220293,6.39261E-09,Coffea,perennial,selfing,medium
singlecopy,0.022059,6.39409E-09,Coffea,perennial,selfing,medium
singlecopy,0.0217583,6.3548E-09,Coffea,perennial,selfing,medium
singlecopy,0.0218402,6.34283E-09,Coffea,perennial,selfing,medium
singlecopy,0.0216066,6.32849E-09,Coffea,perennial,selfing,medium
singlecopy,0.0215049,6.31416E-09,Coffea,perennial,selfing,medium
singlecopy,0.0218632,6.38711E-09,Coffea,perennial,selfing,medium
singlecopy,0.0219091,6.383E-09,Coffea,perennial,selfing,medium
singlecopy,0.022164,6.43598E-09,Coffea,perennial,selfing,medium
singlecopy,0.0217956,6.38655E-09,Coffea,perennial,selfing,medium
singlecopy,0.0218812,6.36631E-09,Coffea,perennial,selfing,medium
singlecopy,0.0218769,6.3691E-09,Coffea,perennial,selfing,medium
singlecopy,0.0218976,6.35941E-09,Coffea,perennial,selfing,medium
singlecopy,0.0216764,6.33298E-09,Coffea,perennial,selfing,medium
singlecopy,0.0216124,6.32696E-09,Coffea,perennial,selfing,medium
singlecopy,0.0216853,6.3191E-09,Coffea,perennial,selfing,medium
singlecopy,0.0220586,6.40566E-09,Coffea,perennial,selfing,medium
singlecopy,0.0215168,6.2863E-09,Coffea,perennial,selfing,medium
singlecopy,0.0221426,6.37232E-09,Coffea,perennial,selfing,medium
singlecopy,0.0214437,6.23947E-09,Coffea,perennial,selfing,medium
singlecopy,0.0216296,6.34658E-09,Coffea,perennial,selfing,medium
singlecopy,0.0218953,6.3505E-09,Coffea,perennial,selfing,medium
singlecopy,0.022064,6.38762E-09,Coffea,perennial,selfing,medium
singlecopy,0.0219915,6.364E-09,Coffea,perennial,selfing,medium
singlecopy,0.022123,6.39433E-09,Coffea,perennial,selfing,medium
singlecopy,0.022257,6.41883E-09,Coffea,perennial,selfing,medium
singlecopy,0.022006,6.37646E-09,Coffea,perennial,selfing,medium
singlecopy,0.0219325,6.39849E-09,Coffea,perennial,selfing,medium
singlecopy,0.0215911,6.30327E-09,Coffea,perennial,selfing,medium
singlecopy,0.0216451,6.31202E-09,Coffea,perennial,selfing,medium
singlecopy,0.0214241,6.29132E-09,Coffea,perennial,selfing,medium
singlecopy,0.0218507,6.36967E-09,Coffea,perennial,selfing,medium
singlecopy,0.0216441,6.33622E-09,Coffea,perennial,selfing,medium
singlecopy,0.021591,6.3195E-09,Coffea,perennial,selfing,medium
singlecopy,0.021725,6.33762E-09,Coffea,perennial,selfing,medium
singlecopy,0.0223155,6.46067E-09,Coffea,perennial,selfing,medium
singlecopy,0.021936,6.38418E-09,Coffea,perennial,selfing,medium
singlecopy,0.0216539,6.34146E-09,Coffea,perennial,selfing,medium
singlecopy,0.0220318,6.39264E-09,Coffea,perennial,selfing,medium
singlecopy,0.0218002,6.35745E-09,Coffea,perennial,selfing,medium
singlecopy,0.0218938,6.37603E-09,Coffea,perennial,selfing,medium
singlecopy,0.0218686,6.35549E-09,Coffea,perennial,selfing,medium
singlecopy,0.0218318,6.38783E-09,Coffea,perennial,selfing,medium
singlecopy,0.0219082,6.37868E-09,Coffea,perennial,selfing,medium
singlecopy,0.0224239,6.48204E-09,Coffea,perennial,selfing,medium
singlecopy,0.0221939,6.42154E-09,Coffea,perennial,selfing,medium
singlecopy,0.0219494,6.38142E-09,Coffea,perennial,selfing,medium
SCsuper,0.0238225,2.6843E-09,Coffea,perennial,selfing,medium
SCsuper,0.0236991,2.6704E-09,Coffea,perennial,selfing,medium
SCsuper,0.023527,2.65101E-09,Coffea,perennial,selfing,medium
SCsuper,0.0238187,2.68387E-09,Coffea,perennial,selfing,medium
SCsuper,0.0238242,2.68449E-09,Coffea,perennial,selfing,medium
SCsuper,0.0236778,2.668E-09,Coffea,perennial,selfing,medium
SCsuper,0.0236332,2.66297E-09,Coffea,perennial,selfing,medium
SCsuper,0.0235798,2.65695E-09,Coffea,perennial,selfing,medium
SCsuper,0.0235264,2.65094E-09,Coffea,perennial,selfing,medium
SCsuper,0.0237982,2.68156E-09,Coffea,perennial,selfing,medium
SCsuper,0.0237829,2.67984E-09,Coffea,perennial,selfing,medium
SCsuper,0.0239803,2.70208E-09,Coffea,perennial,selfing,medium
SCsuper,0.0237961,2.68133E-09,Coffea,perennial,selfing,medium
SCsuper,0.0237207,2.67283E-09,Coffea,perennial,selfing,medium
SCsuper,0.0237311,2.674E-09,Coffea,perennial,selfing,medium
SCsuper,0.023695,2.66994E-09,Coffea,perennial,selfing,medium
SCsuper,0.0235965,2.65884E-09,Coffea,perennial,selfing,medium
SCsuper,0.0235741,2.65631E-09,Coffea,perennial,selfing,medium
SCsuper,0.0235448,2.65301E-09,Coffea,perennial,selfing,medium
SCsuper,0.0238673,2.68935E-09,Coffea,perennial,selfing,medium
SCsuper,0.0234226,2.63924E-09,Coffea,perennial,selfing,medium
SCsuper,0.0237431,2.67536E-09,Coffea,perennial,selfing,medium
SCsuper,0.0232481,2.61958E-09,Coffea,perennial,selfing,medium
SCsuper,0.0236472,2.66455E-09,Coffea,perennial,selfing,medium
SCsuper,0.0236618,2.66619E-09,Coffea,perennial,selfing,medium
SCsuper,0.0238001,2.68178E-09,Coffea,perennial,selfing,medium
SCsuper,0.0237121,2.67186E-09,Coffea,perennial,selfing,medium
SCsuper,0.0238251,2.68459E-09,Coffea,perennial,selfing,medium
SCsuper,0.0239164,2.69488E-09,Coffea,perennial,selfing,medium
SCsuper,0.0237585,2.67709E-09,Coffea,perennial,selfing,medium
SCsuper,0.0238406,2.68634E-09,Coffea,perennial,selfing,medium
SCsuper,0.0234858,2.64636E-09,Coffea,perennial,selfing,medium
SCsuper,0.0235184,2.65004E-09,Coffea,perennial,selfing,medium
SCsuper,0.0234413,2.64135E-09,Coffea,perennial,selfing,medium
SCsuper,0.0237332,2.67424E-09,Coffea,perennial,selfing,medium
SCsuper,0.0236086,2.6602E-09,Coffea,perennial,selfing,medium
SCsuper,0.0235463,2.65318E-09,Coffea,perennial,selfing,medium
SCsuper,0.0236138,2.66079E-09,Coffea,perennial,selfing,medium
SCsuper,0.0240723,2.71245E-09,Coffea,perennial,selfing,medium
SCsuper,0.0237873,2.68034E-09,Coffea,perennial,selfing,medium
SCsuper,0.0236281,2.6624E-09,Coffea,perennial,selfing,medium
