Sample,,adjusted_het,taxa,life_history,breeding_system,genome_size
UCE,,6.44008E-09,duckweed,perennial,outcrossing,small
UCE,,6.74461E-09,duckweed,perennial,outcrossing,small
UCE,,4.96249E-09,duckweed,perennial,outcrossing,small
UCE,,5.43987E-09,duckweed,perennial,outcrossing,small
UCE,,5.66101E-09,duckweed,perennial,outcrossing,small
UCE,,5.77815E-09,duckweed,perennial,outcrossing,small
UCE,,5.92272E-09,duckweed,perennial,outcrossing,small
UCE,,5.98236E-09,duckweed,perennial,outcrossing,small
UCE,,5.52806E-09,duckweed,perennial,outcrossing,small
UCE,,7.55406E-09,duckweed,perennial,outcrossing,small
UCE,,6.58307E-09,duckweed,perennial,outcrossing,small
UCE,,6.17587E-09,duckweed,perennial,outcrossing,small
UCE,,4.36327E-09,duckweed,perennial,outcrossing,small
UCE,,6.34684E-09,duckweed,perennial,outcrossing,small
UCE,,6.76602E-09,duckweed,perennial,outcrossing,small
UCE,,5.15639E-09,duckweed,perennial,outcrossing,small
UCE,,5.03255E-09,duckweed,perennial,outcrossing,small
UCE,,5.47127E-09,duckweed,perennial,outcrossing,small
UCE,,5.26589E-09,duckweed,perennial,outcrossing,small
UCE,,6.43263E-09,duckweed,perennial,outcrossing,small
UCE,,7.16292E-09,duckweed,perennial,outcrossing,small
UCE,,5.26095E-09,duckweed,perennial,outcrossing,small
UCE,,4.784E-09,duckweed,perennial,outcrossing,small
UCE,,6.11138E-09,duckweed,perennial,outcrossing,small
UCE,,5.40246E-09,duckweed,perennial,outcrossing,small
UCE,,6.19366E-09,duckweed,perennial,outcrossing,small
UCE,,7.36387E-09,duckweed,perennial,outcrossing,small
UCE,,6.10236E-09,duckweed,perennial,outcrossing,small
UCE,,6.56604E-09,duckweed,perennial,outcrossing,small
UCE,,4.5786E-09,duckweed,perennial,outcrossing,small
UCE,,5.36499E-09,duckweed,perennial,outcrossing,small
UCE,,5.55039E-09,duckweed,perennial,outcrossing,small
UCE,,4.9856E-09,duckweed,perennial,outcrossing,small
UCE,,6.21675E-09,duckweed,perennial,outcrossing,small
UCE,,6.12367E-09,duckweed,perennial,outcrossing,small
UCE,,5.50212E-09,duckweed,perennial,outcrossing,small
UCE,,5.62966E-09,duckweed,perennial,outcrossing,small
UCE,,5.7624E-09,duckweed,perennial,outcrossing,small
UCE,,4.59408E-09,duckweed,perennial,outcrossing,small
UCE,,6.29046E-09,duckweed,perennial,outcrossing,small
UCE,,6.15665E-09,duckweed,perennial,outcrossing,small
UCE,,5.27736E-09,duckweed,perennial,outcrossing,small
UCE,,6.13524E-09,duckweed,perennial,outcrossing,small
UCE,,5.03611E-09,duckweed,perennial,outcrossing,small
UCE,,5.82908E-09,duckweed,perennial,outcrossing,small
UCE,,7.10363E-09,duckweed,perennial,outcrossing,small
UCE,,5.00401E-09,duckweed,perennial,outcrossing,small
UCE,,5.19228E-09,duckweed,perennial,outcrossing,small
UCE,,5.81358E-09,duckweed,perennial,outcrossing,small
UCE,,6.97533E-09,duckweed,perennial,outcrossing,small
UCE,,6.27853E-09,duckweed,perennial,outcrossing,small
UCE,,7.88495E-09,duckweed,perennial,outcrossing,small
UCE,,4.83807E-09,duckweed,perennial,outcrossing,small
UCE,,5.45909E-09,duckweed,perennial,outcrossing,small
UCE,,5.11087E-09,duckweed,perennial,outcrossing,small
UCE,,7.60993E-09,duckweed,perennial,outcrossing,small
UCE,,4.71009E-09,duckweed,perennial,outcrossing,small
UCE,,5.21619E-09,duckweed,perennial,outcrossing,small
UCE,,5.22628E-09,duckweed,perennial,outcrossing,small
UCE,,4.35376E-09,duckweed,perennial,outcrossing,small
UCE,,5.49957E-09,duckweed,perennial,outcrossing,small
UCE,,5.58934E-09,duckweed,perennial,outcrossing,small
UCE,,5.73492E-09,duckweed,perennial,outcrossing,small
UCE,,5.52526E-09,duckweed,perennial,outcrossing,small
UCE,,5.51899E-09,duckweed,perennial,outcrossing,small
UCE,,4.6772E-09,duckweed,perennial,outcrossing,small
UCE,,6.17077E-09,duckweed,perennial,outcrossing,small
UCE,,4.52551E-09,duckweed,perennial,outcrossing,small
UCE_super,,3.43066E-09,duckweed,perennial,outcrossing,small
UCE_super,,3.75839E-09,duckweed,perennial,outcrossing,small
UCE_super,,2.92521E-09,duckweed,perennial,outcrossing,small
UCE_super,,2.90115E-09,duckweed,perennial,outcrossing,small
UCE_super,,2.95402E-09,duckweed,perennial,outcrossing,small
UCE_super,,2.91709E-09,duckweed,perennial,outcrossing,small
UCE_super,,2.91287E-09,duckweed,perennial,outcrossing,small
UCE_super,,3.16976E-09,duckweed,perennial,outcrossing,small
UCE_super,,2.89609E-09,duckweed,perennial,outcrossing,small
UCE_super,,4.09723E-09,duckweed,perennial,outcrossing,small
UCE_super,,3.9298E-09,duckweed,perennial,outcrossing,small
UCE_super,,3.18721E-09,duckweed,perennial,outcrossing,small
UCE_super,,2.66026E-09,duckweed,perennial,outcrossing,small
UCE_super,,3.27999E-09,duckweed,perennial,outcrossing,small
UCE_super,,3.63961E-09,duckweed,perennial,outcrossing,small
UCE_super,,2.80577E-09,duckweed,perennial,outcrossing,small
UCE_super,,3.08541E-09,duckweed,perennial,outcrossing,small
UCE_super,,2.771E-09,duckweed,perennial,outcrossing,small
UCE_super,,2.84045E-09,duckweed,perennial,outcrossing,small
UCE_super,,3.60506E-09,duckweed,perennial,outcrossing,small
UCE_super,,4.1967E-09,duckweed,perennial,outcrossing,small
UCE_super,,2.71281E-09,duckweed,perennial,outcrossing,small
UCE_super,,2.36313E-09,duckweed,perennial,outcrossing,small
UCE_super,,2.794E-09,duckweed,perennial,outcrossing,small
UCE_super,,2.91708E-09,duckweed,perennial,outcrossing,small
UCE_super,,3.07181E-09,duckweed,perennial,outcrossing,small
UCE_super,,3.94849E-09,duckweed,perennial,outcrossing,small
UCE_super,,3.41507E-09,duckweed,perennial,outcrossing,small
UCE_super,,3.71194E-09,duckweed,perennial,outcrossing,small
UCE_super,,2.47488E-09,duckweed,perennial,outcrossing,small
UCE_super,,3.14639E-09,duckweed,perennial,outcrossing,small
UCE_super,,2.89817E-09,duckweed,perennial,outcrossing,small
UCE_super,,2.36485E-09,duckweed,perennial,outcrossing,small
UCE_super,,3.11879E-09,duckweed,perennial,outcrossing,small
UCE_super,,3.40584E-09,duckweed,perennial,outcrossing,small
UCE_super,,2.59804E-09,duckweed,perennial,outcrossing,small
UCE_super,,2.80245E-09,duckweed,perennial,outcrossing,small
UCE_super,,2.92574E-09,duckweed,perennial,outcrossing,small
UCE_super,,2.27987E-09,duckweed,perennial,outcrossing,small
UCE_super,,3.30182E-09,duckweed,perennial,outcrossing,small
UCE_super,,2.91099E-09,duckweed,perennial,outcrossing,small
UCE_super,,2.66694E-09,duckweed,perennial,outcrossing,small
UCE_super,,2.73848E-09,duckweed,perennial,outcrossing,small
UCE_super,,2.83749E-09,duckweed,perennial,outcrossing,small
UCE_super,,2.97323E-09,duckweed,perennial,outcrossing,small
UCE_super,,3.60927E-09,duckweed,perennial,outcrossing,small
UCE_super,,2.34349E-09,duckweed,perennial,outcrossing,small
UCE_super,,2.82755E-09,duckweed,perennial,outcrossing,small
UCE_super,,3.38178E-09,duckweed,perennial,outcrossing,small
UCE_super,,3.76232E-09,duckweed,perennial,outcrossing,small
UCE_super,,2.92904E-09,duckweed,perennial,outcrossing,small
UCE_super,,3.73732E-09,duckweed,perennial,outcrossing,small
UCE_super,,2.41525E-09,duckweed,perennial,outcrossing,small
UCE_super,,2.72524E-09,duckweed,perennial,outcrossing,small
UCE_super,,2.87571E-09,duckweed,perennial,outcrossing,small
UCE_super,,3.90372E-09,duckweed,perennial,outcrossing,small
UCE_super,,2.72898E-09,duckweed,perennial,outcrossing,small
UCE_super,,2.86822E-09,duckweed,perennial,outcrossing,small
UCE_super,,2.69797E-09,duckweed,perennial,outcrossing,small
UCE_super,,2.01611E-09,duckweed,perennial,outcrossing,small
UCE_super,,2.85611E-09,duckweed,perennial,outcrossing,small
UCE_super,,2.462E-09,duckweed,perennial,outcrossing,small
UCE_super,,3.14698E-09,duckweed,perennial,outcrossing,small
UCE_super,,2.85086E-09,duckweed,perennial,outcrossing,small
UCE_super,,2.76619E-09,duckweed,perennial,outcrossing,small
UCE_super,,2.88438E-09,duckweed,perennial,outcrossing,small
UCE_super,,3.4542E-09,duckweed,perennial,outcrossing,small
UCE_super,,2.16774E-09,duckweed,perennial,outcrossing,small
BUSCO,,7.80467E-10,duckweed,perennial,outcrossing,small
BUSCO,,8.12351E-10,duckweed,perennial,outcrossing,small
BUSCO,,7.21779E-10,duckweed,perennial,outcrossing,small
BUSCO,,7.02631E-10,duckweed,perennial,outcrossing,small
BUSCO,,7.3292E-10,duckweed,perennial,outcrossing,small
BUSCO,,7.13971E-10,duckweed,perennial,outcrossing,small
BUSCO,,6.94759E-10,duckweed,perennial,outcrossing,small
BUSCO,,7.68141E-10,duckweed,perennial,outcrossing,small
BUSCO,,7.16779E-10,duckweed,perennial,outcrossing,small
BUSCO,,8.86568E-10,duckweed,perennial,outcrossing,small
BUSCO,,7.99229E-10,duckweed,perennial,outcrossing,small
BUSCO,,7.16727E-10,duckweed,perennial,outcrossing,small
BUSCO,,6.87162E-10,duckweed,perennial,outcrossing,small
BUSCO,,7.20534E-10,duckweed,perennial,outcrossing,small
BUSCO,,7.75964E-10,duckweed,perennial,outcrossing,small
BUSCO,,7.38277E-10,duckweed,perennial,outcrossing,small
BUSCO,,7.07575E-10,duckweed,perennial,outcrossing,small
BUSCO,,7.13203E-10,duckweed,perennial,outcrossing,small
BUSCO,,7.16079E-10,duckweed,perennial,outcrossing,small
BUSCO,,7.76398E-10,duckweed,perennial,outcrossing,small
BUSCO,,8.68378E-10,duckweed,perennial,outcrossing,small
BUSCO,,6.94688E-10,duckweed,perennial,outcrossing,small
BUSCO,,6.34758E-10,duckweed,perennial,outcrossing,small
BUSCO,,7.25207E-10,duckweed,perennial,outcrossing,small
BUSCO,,6.80543E-10,duckweed,perennial,outcrossing,small
BUSCO,,7.49104E-10,duckweed,perennial,outcrossing,small
BUSCO,,8.32294E-10,duckweed,perennial,outcrossing,small
BUSCO,,7.70817E-10,duckweed,perennial,outcrossing,small
BUSCO,,8.206E-10,duckweed,perennial,outcrossing,small
BUSCO,,6.15049E-10,duckweed,perennial,outcrossing,small
BUSCO,,7.18231E-10,duckweed,perennial,outcrossing,small
BUSCO,,6.9645E-10,duckweed,perennial,outcrossing,small
BUSCO,,6.3512E-10,duckweed,perennial,outcrossing,small
BUSCO,,7.04345E-10,duckweed,perennial,outcrossing,small
BUSCO,,7.94082E-10,duckweed,perennial,outcrossing,small
BUSCO,,6.41349E-10,duckweed,perennial,outcrossing,small
BUSCO,,7.13322E-10,duckweed,perennial,outcrossing,small
BUSCO,,7.0133E-10,duckweed,perennial,outcrossing,small
BUSCO,,6.2067E-10,duckweed,perennial,outcrossing,small
BUSCO,,7.84389E-10,duckweed,perennial,outcrossing,small
BUSCO,,7.04906E-10,duckweed,perennial,outcrossing,small
BUSCO,,6.9042E-10,duckweed,perennial,outcrossing,small
BUSCO,,7.27176E-10,duckweed,perennial,outcrossing,small
BUSCO,,6.97953E-10,duckweed,perennial,outcrossing,small
BUSCO,,7.29511E-10,duckweed,perennial,outcrossing,small
BUSCO,,8.08715E-10,duckweed,perennial,outcrossing,small
BUSCO,,5.97262E-10,duckweed,perennial,outcrossing,small
BUSCO,,6.83057E-10,duckweed,perennial,outcrossing,small
BUSCO,,7.76287E-10,duckweed,perennial,outcrossing,small
BUSCO,,7.93199E-10,duckweed,perennial,outcrossing,small
BUSCO,,7.40071E-10,duckweed,perennial,outcrossing,small
BUSCO,,8.43475E-10,duckweed,perennial,outcrossing,small
BUSCO,,7.01008E-10,duckweed,perennial,outcrossing,small
BUSCO,,7.10423E-10,duckweed,perennial,outcrossing,small
BUSCO,,6.94556E-10,duckweed,perennial,outcrossing,small
BUSCO,,8.60435E-10,duckweed,perennial,outcrossing,small
BUSCO,,6.95173E-10,duckweed,perennial,outcrossing,small
BUSCO,,6.89867E-10,duckweed,perennial,outcrossing,small
BUSCO,,6.92134E-10,duckweed,perennial,outcrossing,small
BUSCO,,6.18064E-10,duckweed,perennial,outcrossing,small
BUSCO,,6.74521E-10,duckweed,perennial,outcrossing,small
BUSCO,,6.81753E-10,duckweed,perennial,outcrossing,small
BUSCO,,7.31492E-10,duckweed,perennial,outcrossing,small
BUSCO,,6.83833E-10,duckweed,perennial,outcrossing,small
BUSCO,,7.0102E-10,duckweed,perennial,outcrossing,small
BUSCO,,6.87405E-10,duckweed,perennial,outcrossing,small
BUSCO,,7.94185E-10,duckweed,perennial,outcrossing,small
BUSCO,,6.12703E-10,duckweed,perennial,outcrossing,small
BUSCOsuper,,3.17939E-10,duckweed,perennial,outcrossing,small
BUSCOsuper,,3.3343E-10,duckweed,perennial,outcrossing,small
BUSCOsuper,,2.80934E-10,duckweed,perennial,outcrossing,small
BUSCOsuper,,2.80329E-10,duckweed,perennial,outcrossing,small
BUSCOsuper,,2.83329E-10,duckweed,perennial,outcrossing,small
BUSCOsuper,,2.63382E-10,duckweed,perennial,outcrossing,small
BUSCOsuper,,2.62859E-10,duckweed,perennial,outcrossing,small
BUSCOsuper,,3.30085E-10,duckweed,perennial,outcrossing,small
BUSCOsuper,,2.79001E-10,duckweed,perennial,outcrossing,small
BUSCOsuper,,3.76451E-10,duckweed,perennial,outcrossing,small
BUSCOsuper,,3.39628E-10,duckweed,perennial,outcrossing,small
BUSCOsuper,,2.82764E-10,duckweed,perennial,outcrossing,small
BUSCOsuper,,2.80925E-10,duckweed,perennial,outcrossing,small
BUSCOsuper,,2.97333E-10,duckweed,perennial,outcrossing,small
BUSCOsuper,,3.0766E-10,duckweed,perennial,outcrossing,small
BUSCOsuper,,2.98095E-10,duckweed,perennial,outcrossing,small
BUSCOsuper,,2.94685E-10,duckweed,perennial,outcrossing,small
BUSCOsuper,,2.91766E-10,duckweed,perennial,outcrossing,small
BUSCOsuper,,2.87504E-10,duckweed,perennial,outcrossing,small
BUSCOsuper,,3.39356E-10,duckweed,perennial,outcrossing,small
BUSCOsuper,,3.72074E-10,duckweed,perennial,outcrossing,small
BUSCOsuper,,2.80262E-10,duckweed,perennial,outcrossing,small
BUSCOsuper,,2.30078E-10,duckweed,perennial,outcrossing,small
BUSCOsuper,,2.91202E-10,duckweed,perennial,outcrossing,small
BUSCOsuper,,2.5188E-10,duckweed,perennial,outcrossing,small
BUSCOsuper,,3.01211E-10,duckweed,perennial,outcrossing,small
BUSCOsuper,,3.47796E-10,duckweed,perennial,outcrossing,small
BUSCOsuper,,3.19716E-10,duckweed,perennial,outcrossing,small
BUSCOsuper,,3.43418E-10,duckweed,perennial,outcrossing,small
BUSCOsuper,,2.25145E-10,duckweed,perennial,outcrossing,small
BUSCOsuper,,2.76228E-10,duckweed,perennial,outcrossing,small
BUSCOsuper,,2.83206E-10,duckweed,perennial,outcrossing,small
BUSCOsuper,,2.37327E-10,duckweed,perennial,outcrossing,small
BUSCOsuper,,2.68528E-10,duckweed,perennial,outcrossing,small
BUSCOsuper,,3.43338E-10,duckweed,perennial,outcrossing,small
BUSCOsuper,,2.48032E-10,duckweed,perennial,outcrossing,small
BUSCOsuper,,2.7222E-10,duckweed,perennial,outcrossing,small
BUSCOsuper,,2.6412E-10,duckweed,perennial,outcrossing,small
BUSCOsuper,,2.16864E-10,duckweed,perennial,outcrossing,small
BUSCOsuper,,3.17518E-10,duckweed,perennial,outcrossing,small
BUSCOsuper,,2.60689E-10,duckweed,perennial,outcrossing,small
BUSCOsuper,,2.57291E-10,duckweed,perennial,outcrossing,small
BUSCOsuper,,2.84706E-10,duckweed,perennial,outcrossing,small
BUSCOsuper,,2.76003E-10,duckweed,perennial,outcrossing,small
BUSCOsuper,,2.90524E-10,duckweed,perennial,outcrossing,small
BUSCOsuper,,3.37025E-10,duckweed,perennial,outcrossing,small
BUSCOsuper,,2.20288E-10,duckweed,perennial,outcrossing,small
BUSCOsuper,,2.56526E-10,duckweed,perennial,outcrossing,small
BUSCOsuper,,3.28623E-10,duckweed,perennial,outcrossing,small
BUSCOsuper,,3.29847E-10,duckweed,perennial,outcrossing,small
BUSCOsuper,,2.81278E-10,duckweed,perennial,outcrossing,small
BUSCOsuper,,3.33901E-10,duckweed,perennial,outcrossing,small
BUSCOsuper,,2.68397E-10,duckweed,perennial,outcrossing,small
BUSCOsuper,,2.77661E-10,duckweed,perennial,outcrossing,small
BUSCOsuper,,2.81651E-10,duckweed,perennial,outcrossing,small
BUSCOsuper,,3.69263E-10,duckweed,perennial,outcrossing,small
BUSCOsuper,,2.75968E-10,duckweed,perennial,outcrossing,small
BUSCOsuper,,2.83345E-10,duckweed,perennial,outcrossing,small
BUSCOsuper,,2.72925E-10,duckweed,perennial,outcrossing,small
BUSCOsuper,,2.15245E-10,duckweed,perennial,outcrossing,small
BUSCOsuper,,2.534E-10,duckweed,perennial,outcrossing,small
BUSCOsuper,,2.59834E-10,duckweed,perennial,outcrossing,small
BUSCOsuper,,2.83832E-10,duckweed,perennial,outcrossing,small
BUSCOsuper,,2.65421E-10,duckweed,perennial,outcrossing,small
BUSCOsuper,,2.52883E-10,duckweed,perennial,outcrossing,small
BUSCOsuper,,2.83479E-10,duckweed,perennial,outcrossing,small
BUSCOsuper,,3.22636E-10,duckweed,perennial,outcrossing,small
BUSCOsuper,,2.15695E-10,duckweed,perennial,outcrossing,small
singlecopy,,1.20469E-09,duckweed,perennial,outcrossing,small
singlecopy,,1.20762E-09,duckweed,perennial,outcrossing,small
singlecopy,,1.1386E-09,duckweed,perennial,outcrossing,small
singlecopy,,1.11787E-09,duckweed,perennial,outcrossing,small
singlecopy,,1.1009E-09,duckweed,perennial,outcrossing,small
singlecopy,,1.16339E-09,duckweed,perennial,outcrossing,small
singlecopy,,1.09074E-09,duckweed,perennial,outcrossing,small
singlecopy,,1.20981E-09,duckweed,perennial,outcrossing,small
singlecopy,,1.12118E-09,duckweed,perennial,outcrossing,small
singlecopy,,1.24148E-09,duckweed,perennial,outcrossing,small
singlecopy,,1.267E-09,duckweed,perennial,outcrossing,small
singlecopy,,1.14958E-09,duckweed,perennial,outcrossing,small
singlecopy,,1.15239E-09,duckweed,perennial,outcrossing,small
singlecopy,,1.15686E-09,duckweed,perennial,outcrossing,small
singlecopy,,1.19E-09,duckweed,perennial,outcrossing,small
singlecopy,,1.16235E-09,duckweed,perennial,outcrossing,small
singlecopy,,1.1912E-09,duckweed,perennial,outcrossing,small
singlecopy,,1.16165E-09,duckweed,perennial,outcrossing,small
singlecopy,,1.16487E-09,duckweed,perennial,outcrossing,small
singlecopy,,1.23613E-09,duckweed,perennial,outcrossing,small
singlecopy,,1.2851E-09,duckweed,perennial,outcrossing,small
singlecopy,,1.14151E-09,duckweed,perennial,outcrossing,small
singlecopy,,1.11995E-09,duckweed,perennial,outcrossing,small
singlecopy,,1.15506E-09,duckweed,perennial,outcrossing,small
singlecopy,,1.0975E-09,duckweed,perennial,outcrossing,small
singlecopy,,1.17333E-09,duckweed,perennial,outcrossing,small
singlecopy,,1.22113E-09,duckweed,perennial,outcrossing,small
singlecopy,,1.21789E-09,duckweed,perennial,outcrossing,small
singlecopy,,1.24687E-09,duckweed,perennial,outcrossing,small
singlecopy,,1.0864E-09,duckweed,perennial,outcrossing,small
singlecopy,,1.22798E-09,duckweed,perennial,outcrossing,small
singlecopy,,1.1303E-09,duckweed,perennial,outcrossing,small
singlecopy,,1.07292E-09,duckweed,perennial,outcrossing,small
singlecopy,,1.1951E-09,duckweed,perennial,outcrossing,small
singlecopy,,1.24439E-09,duckweed,perennial,outcrossing,small
singlecopy,,1.08341E-09,duckweed,perennial,outcrossing,small
singlecopy,,1.09773E-09,duckweed,perennial,outcrossing,small
singlecopy,,1.11012E-09,duckweed,perennial,outcrossing,small
singlecopy,,1.03402E-09,duckweed,perennial,outcrossing,small
singlecopy,,1.16496E-09,duckweed,perennial,outcrossing,small
singlecopy,,1.09399E-09,duckweed,perennial,outcrossing,small
singlecopy,,1.05785E-09,duckweed,perennial,outcrossing,small
singlecopy,,1.11322E-09,duckweed,perennial,outcrossing,small
singlecopy,,1.12024E-09,duckweed,perennial,outcrossing,small
singlecopy,,1.11593E-09,duckweed,perennial,outcrossing,small
singlecopy,,1.18117E-09,duckweed,perennial,outcrossing,small
singlecopy,,1.01982E-09,duckweed,perennial,outcrossing,small
singlecopy,,1.08558E-09,duckweed,perennial,outcrossing,small
singlecopy,,1.22486E-09,duckweed,perennial,outcrossing,small
singlecopy,,1.21534E-09,duckweed,perennial,outcrossing,small
singlecopy,,1.15212E-09,duckweed,perennial,outcrossing,small
singlecopy,,1.20674E-09,duckweed,perennial,outcrossing,small
singlecopy,,1.1018E-09,duckweed,perennial,outcrossing,small
singlecopy,,1.08797E-09,duckweed,perennial,outcrossing,small
singlecopy,,1.14182E-09,duckweed,perennial,outcrossing,small
singlecopy,,1.27541E-09,duckweed,perennial,outcrossing,small
singlecopy,,1.11543E-09,duckweed,perennial,outcrossing,small
singlecopy,,1.14276E-09,duckweed,perennial,outcrossing,small
singlecopy,,1.11149E-09,duckweed,perennial,outcrossing,small
singlecopy,,1.01328E-09,duckweed,perennial,outcrossing,small
singlecopy,,1.09114E-09,duckweed,perennial,outcrossing,small
singlecopy,,1.15281E-09,duckweed,perennial,outcrossing,small
singlecopy,,1.1433E-09,duckweed,perennial,outcrossing,small
singlecopy,,1.14405E-09,duckweed,perennial,outcrossing,small
singlecopy,,1.11235E-09,duckweed,perennial,outcrossing,small
singlecopy,,1.10912E-09,duckweed,perennial,outcrossing,small
singlecopy,,1.22301E-09,duckweed,perennial,outcrossing,small
singlecopy,,1.04797E-09,duckweed,perennial,outcrossing,small
SCsuper,,5.94575E-10,duckweed,perennial,outcrossing,small
SCsuper,,5.93185E-10,duckweed,perennial,outcrossing,small
SCsuper,,5.32549E-10,duckweed,perennial,outcrossing,small
SCsuper,,5.16915E-10,duckweed,perennial,outcrossing,small
SCsuper,,5.134E-10,duckweed,perennial,outcrossing,small
SCsuper,,5.21837E-10,duckweed,perennial,outcrossing,small
SCsuper,,4.8705E-10,duckweed,perennial,outcrossing,small
SCsuper,,5.88769E-10,duckweed,perennial,outcrossing,small
SCsuper,,5.14864E-10,duckweed,perennial,outcrossing,small
SCsuper,,6.30183E-10,duckweed,perennial,outcrossing,small
SCsuper,,6.10695E-10,duckweed,perennial,outcrossing,small
SCsuper,,5.46917E-10,duckweed,perennial,outcrossing,small
SCsuper,,5.34645E-10,duckweed,perennial,outcrossing,small
SCsuper,,5.56417E-10,duckweed,perennial,outcrossing,small
SCsuper,,5.79259E-10,duckweed,perennial,outcrossing,small
SCsuper,,5.53398E-10,duckweed,perennial,outcrossing,small
SCsuper,,5.44796E-10,duckweed,perennial,outcrossing,small
SCsuper,,5.44831E-10,duckweed,perennial,outcrossing,small
SCsuper,,5.38695E-10,duckweed,perennial,outcrossing,small
SCsuper,,6.05573E-10,duckweed,perennial,outcrossing,small
SCsuper,,6.60026E-10,duckweed,perennial,outcrossing,small
SCsuper,,5.35212E-10,duckweed,perennial,outcrossing,small
SCsuper,,4.88922E-10,duckweed,perennial,outcrossing,small
SCsuper,,5.45959E-10,duckweed,perennial,outcrossing,small
SCsuper,,4.94172E-10,duckweed,perennial,outcrossing,small
SCsuper,,5.56773E-10,duckweed,perennial,outcrossing,small
SCsuper,,6.138E-10,duckweed,perennial,outcrossing,small
SCsuper,,5.82656E-10,duckweed,perennial,outcrossing,small
SCsuper,,6.09005E-10,duckweed,perennial,outcrossing,small
SCsuper,,4.83111E-10,duckweed,perennial,outcrossing,small
SCsuper,,5.50972E-10,duckweed,perennial,outcrossing,small
SCsuper,,5.20419E-10,duckweed,perennial,outcrossing,small
SCsuper,,4.89027E-10,duckweed,perennial,outcrossing,small
SCsuper,,5.44486E-10,duckweed,perennial,outcrossing,small
SCsuper,,6.22939E-10,duckweed,perennial,outcrossing,small
SCsuper,,4.86358E-10,duckweed,perennial,outcrossing,small
SCsuper,,5.09965E-10,duckweed,perennial,outcrossing,small
SCsuper,,5.14687E-10,duckweed,perennial,outcrossing,small
SCsuper,,4.49081E-10,duckweed,perennial,outcrossing,small
SCsuper,,5.77221E-10,duckweed,perennial,outcrossing,small
SCsuper,,5.10967E-10,duckweed,perennial,outcrossing,small
SCsuper,,5.07885E-10,duckweed,perennial,outcrossing,small
SCsuper,,5.24266E-10,duckweed,perennial,outcrossing,small
SCsuper,,5.13499E-10,duckweed,perennial,outcrossing,small
SCsuper,,5.34728E-10,duckweed,perennial,outcrossing,small
SCsuper,,5.89501E-10,duckweed,perennial,outcrossing,small
SCsuper,,4.67792E-10,duckweed,perennial,outcrossing,small
SCsuper,,4.98745E-10,duckweed,perennial,outcrossing,small
SCsuper,,5.86537E-10,duckweed,perennial,outcrossing,small
SCsuper,,5.91402E-10,duckweed,perennial,outcrossing,small
SCsuper,,5.23414E-10,duckweed,perennial,outcrossing,small
SCsuper,,5.90523E-10,duckweed,perennial,outcrossing,small
SCsuper,,5.05023E-10,duckweed,perennial,outcrossing,small
SCsuper,,5.02419E-10,duckweed,perennial,outcrossing,small
SCsuper,,5.25617E-10,duckweed,perennial,outcrossing,small
SCsuper,,6.50053E-10,duckweed,perennial,outcrossing,small
SCsuper,,5.08296E-10,duckweed,perennial,outcrossing,small
SCsuper,,5.31187E-10,duckweed,perennial,outcrossing,small
SCsuper,,5.08083E-10,duckweed,perennial,outcrossing,small
SCsuper,,4.48116E-10,duckweed,perennial,outcrossing,small
SCsuper,,5.04728E-10,duckweed,perennial,outcrossing,small
SCsuper,,5.16734E-10,duckweed,perennial,outcrossing,small
SCsuper,,5.37871E-10,duckweed,perennial,outcrossing,small
SCsuper,,5.28522E-10,duckweed,perennial,outcrossing,small
SCsuper,,4.93593E-10,duckweed,perennial,outcrossing,small
SCsuper,,5.19432E-10,duckweed,perennial,outcrossing,small
SCsuper,,5.94436E-10,duckweed,perennial,outcrossing,small
SCsuper,,4.54926E-10,duckweed,perennial,outcrossing,small
genome,,1.64945E-11,duckweed,perennial,outcrossing,small
genome,,1.72448E-11,duckweed,perennial,outcrossing,small
genome,,1.03438E-11,duckweed,perennial,outcrossing,small
genome,,1.00693E-11,duckweed,perennial,outcrossing,small
genome,,1.24834E-11,duckweed,perennial,outcrossing,small
genome,,1.28242E-11,duckweed,perennial,outcrossing,small
genome,,1.20113E-11,duckweed,perennial,outcrossing,small
