Sample,Het,adjusted_het,taxa,life_history,breeding_system,genome_size
UCE,0.00494003,1.72836E-08,Fragaria,perennial,outcrossing,small
UCE,0.00471462,1.6495E-08,Fragaria,perennial,outcrossing,small
UCE,0.00480942,1.68266E-08,Fragaria,perennial,outcrossing,small
UCE,0.00614347,2.1494E-08,Fragaria,perennial,outcrossing,small
UCE,0.00582615,2.03838E-08,Fragaria,perennial,outcrossing,small
UCE,0.00466427,1.63188E-08,Fragaria,perennial,outcrossing,small
UCE,0.00581413,2.03418E-08,Fragaria,perennial,outcrossing,small
UCE,0.00574569,2.01023E-08,Fragaria,perennial,outcrossing,small
UCE,0.00557281,1.94975E-08,Fragaria,perennial,outcrossing,small
UCE,0.00511102,1.78818E-08,Fragaria,perennial,outcrossing,small
UCE,0.00481253,1.68375E-08,Fragaria,perennial,outcrossing,small
UCE,0.005914,2.06912E-08,Fragaria,perennial,outcrossing,small
UCE,0.00501774,1.75555E-08,Fragaria,perennial,outcrossing,small
UCE,0.00513193,1.7955E-08,Fragaria,perennial,outcrossing,small
UCE,0.00522042,1.82646E-08,Fragaria,perennial,outcrossing,small
UCE,0.0071805,2.51223E-08,Fragaria,perennial,outcrossing,small
UCE,0.00753201,2.63521E-08,Fragaria,perennial,outcrossing,small
UCE,0.00756921,2.64823E-08,Fragaria,perennial,outcrossing,small
UCE,0.00820161,2.86948E-08,Fragaria,perennial,outcrossing,small
UCE,0.0068104,2.38274E-08,Fragaria,perennial,outcrossing,small
UCE,0.00749218,2.62127E-08,Fragaria,perennial,outcrossing,small
UCE,0.00691201,2.41829E-08,Fragaria,perennial,outcrossing,small
UCE,0.00639828,2.23855E-08,Fragaria,perennial,outcrossing,small
UCE,0.00777026,2.71857E-08,Fragaria,perennial,outcrossing,small
UCE,0.00773979,2.70791E-08,Fragaria,perennial,outcrossing,small
UCE,0.00748867,2.62005E-08,Fragaria,perennial,outcrossing,small
genome,0.0157542,7.14939E-11,Fragaria,perennial,outcrossing,small
genome,0.0148841,6.75453E-11,Fragaria,perennial,outcrossing,small
genome,0.0145372,6.5971E-11,Fragaria,perennial,outcrossing,small
genome,0.0179579,8.14945E-11,Fragaria,perennial,outcrossing,small
genome,0.0172403,7.82379E-11,Fragaria,perennial,outcrossing,small
genome,0.0151511,6.8757E-11,Fragaria,perennial,outcrossing,small
genome,0.018438,8.36732E-11,Fragaria,perennial,outcrossing,small
genome,0.0181889,8.25428E-11,Fragaria,perennial,outcrossing,small
genome,0.0165824,7.52523E-11,Fragaria,perennial,outcrossing,small
genome,0.0143509,6.51256E-11,Fragaria,perennial,outcrossing,small
genome,0.0151681,6.88341E-11,Fragaria,perennial,outcrossing,small
genome,0.0170437,7.73457E-11,Fragaria,perennial,outcrossing,small
genome,0.0161686,7.33745E-11,Fragaria,perennial,outcrossing,small
genome,0.0159381,7.23284E-11,Fragaria,perennial,outcrossing,small
genome,0.0160603,7.2883E-11,Fragaria,perennial,outcrossing,small
genome,0.0166406,7.55164E-11,Fragaria,perennial,outcrossing,small
genome,0.0166022,7.53422E-11,Fragaria,perennial,outcrossing,small
genome,0.0179567,8.1489E-11,Fragaria,perennial,outcrossing,small
genome,0.0191593,8.69465E-11,Fragaria,perennial,outcrossing,small
