Sample,,adjusted_het,taxa,life_history,breeding_system,genome_size
UCE,,8.80261E-08,Salix,perennial,outcrossing,small
UCE,,5.57926E-08,Salix,perennial,outcrossing,small
UCE,,5.47432E-08,Salix,perennial,outcrossing,small
UCE,,5.89514E-08,Salix,perennial,outcrossing,small
UCE,,6.18039E-08,Salix,perennial,outcrossing,small
UCE,,5.7855E-08,Salix,perennial,outcrossing,small
UCE,,5.57746E-08,Salix,perennial,outcrossing,small
UCE,,5.3156E-08,Salix,perennial,outcrossing,small
UCE,,5.3725E-08,Salix,perennial,outcrossing,small
UCE,,5.23502E-08,Salix,perennial,outcrossing,small
UCE,,5.4657E-08,Salix,perennial,outcrossing,small
UCE,,4.81987E-08,Salix,perennial,outcrossing,small
UCE,,5.44328E-08,Salix,perennial,outcrossing,small
UCE,,4.72229E-08,Salix,perennial,outcrossing,small
UCE,,5.01144E-08,Salix,perennial,outcrossing,small
UCE,,5.22491E-08,Salix,perennial,outcrossing,small
UCE,,5.02576E-08,Salix,perennial,outcrossing,small
UCE,,4.91285E-08,Salix,perennial,outcrossing,small
UCE,,5.26756E-08,Salix,perennial,outcrossing,small
UCE,,5.70089E-08,Salix,perennial,outcrossing,small
UCE,,4.88178E-08,Salix,perennial,outcrossing,small
UCE,,5.12653E-08,Salix,perennial,outcrossing,small
UCE,,5.12712E-08,Salix,perennial,outcrossing,small
UCE,,5.00462E-08,Salix,perennial,outcrossing,small
UCE,,5.00866E-08,Salix,perennial,outcrossing,small
UCE,,4.90524E-08,Salix,perennial,outcrossing,small
UCE,,4.68423E-08,Salix,perennial,outcrossing,small
UCE,,5.17707E-08,Salix,perennial,outcrossing,small
UCE,,5.42562E-08,Salix,perennial,outcrossing,small
UCE,,5.37083E-08,Salix,perennial,outcrossing,small
UCE,,4.96409E-08,Salix,perennial,outcrossing,small
UCE,,4.66195E-08,Salix,perennial,outcrossing,small
UCE,,5.86052E-08,Salix,perennial,outcrossing,small
UCE,,4.7777E-08,Salix,perennial,outcrossing,small
UCE,,4.78434E-08,Salix,perennial,outcrossing,small
UCE,,4.8856E-08,Salix,perennial,outcrossing,small
UCE,,4.7226E-08,Salix,perennial,outcrossing,small
UCE,,4.90528E-08,Salix,perennial,outcrossing,small
UCE,,5.32064E-08,Salix,perennial,outcrossing,small
UCE,,5.40956E-08,Salix,perennial,outcrossing,small
UCE,,5.05694E-08,Salix,perennial,outcrossing,small
UCE,,5.29961E-08,Salix,perennial,outcrossing,small
