Sample,Het,adjusted_het,taxa,life_history,breeding_system,genome_size
UCE,0.00716654,2.54189E-08,Thlaspi,annual,selfing,medium
UCE,0.00650416,2.30696E-08,Thlaspi,annual,selfing,medium
UCE,0.00646528,2.29316E-08,Thlaspi,annual,selfing,medium
UCE,0.00603215,2.13954E-08,Thlaspi,annual,selfing,medium
UCE,0.00662906,2.35126E-08,Thlaspi,annual,selfing,medium
UCE,0.00655234,2.32404E-08,Thlaspi,annual,selfing,medium
UCE,0.00619433,2.19706E-08,Thlaspi,annual,selfing,medium
UCE,0.00690688,2.4498E-08,Thlaspi,annual,selfing,medium
UCE,0.00646934,2.2946E-08,Thlaspi,annual,selfing,medium
UCE,0.00646347,2.29252E-08,Thlaspi,annual,selfing,medium
UCE,0.00603729,2.14136E-08,Thlaspi,annual,selfing,medium
UCE,0.00627516,2.22573E-08,Thlaspi,annual,selfing,medium
UCE,0.00620567,2.20108E-08,Thlaspi,annual,selfing,medium
UCE,0.006506,2.30761E-08,Thlaspi,annual,selfing,medium
UCE,0.00643797,2.28348E-08,Thlaspi,annual,selfing,medium
UCE,0.00655271,2.32418E-08,Thlaspi,annual,selfing,medium
UCE,0.00649389,2.30331E-08,Thlaspi,annual,selfing,medium
UCE,0.00640096,2.27035E-08,Thlaspi,annual,selfing,medium
UCE,0.00604201,2.14304E-08,Thlaspi,annual,selfing,medium
UCE,0.00671337,2.38116E-08,Thlaspi,annual,selfing,medium
UCE,0.00666217,2.363E-08,Thlaspi,annual,selfing,medium
UCE,0.00629078,2.23127E-08,Thlaspi,annual,selfing,medium
UCE,0.00611512,2.16897E-08,Thlaspi,annual,selfing,medium
UCE,0.00651102,2.30939E-08,Thlaspi,annual,selfing,medium
UCE,0.00623736,2.21232E-08,Thlaspi,annual,selfing,medium
UCE,0.00612763,2.1734E-08,Thlaspi,annual,selfing,medium
UCE,0.00631491,2.23983E-08,Thlaspi,annual,selfing,medium
UCE,0.00692134,2.45492E-08,Thlaspi,annual,selfing,medium
