Sample,Het,adjusted_het,taxa,life_history,breeding_system,genome_size
UCE,,3.67378E-08,Vitis,perennial,outcrossing,small
UCE,,3.4798E-08,Vitis,perennial,outcrossing,small
UCE,,3.90072E-08,Vitis,perennial,outcrossing,small
UCE,,3.28508E-08,Vitis,perennial,outcrossing,small
UCE,,3.55382E-08,Vitis,perennial,outcrossing,small
UCE,,3.52211E-08,Vitis,perennial,outcrossing,small
UCE,,3.62774E-08,Vitis,perennial,outcrossing,small
UCE,,3.71738E-08,Vitis,perennial,outcrossing,small
UCE,,3.4524E-08,Vitis,perennial,outcrossing,small
UCE,,3.55661E-08,Vitis,perennial,outcrossing,small
UCE,,3.68382E-08,Vitis,perennial,outcrossing,small
UCE,,3.38815E-08,Vitis,perennial,outcrossing,small
UCE,,3.3746E-08,Vitis,perennial,outcrossing,small
UCE,,3.68449E-08,Vitis,perennial,outcrossing,small
UCE,,3.65717E-08,Vitis,perennial,outcrossing,small
UCE,,3.34146E-08,Vitis,perennial,outcrossing,small
UCE,,3.2942E-08,Vitis,perennial,outcrossing,small
UCE,,3.48556E-08,Vitis,perennial,outcrossing,small
UCE,,3.75626E-08,Vitis,perennial,outcrossing,small
UCE,,3.64967E-08,Vitis,perennial,outcrossing,small
UCE,,3.74399E-08,Vitis,perennial,outcrossing,small
UCE,,3.72397E-08,Vitis,perennial,outcrossing,small
UCE,,3.72383E-08,Vitis,perennial,outcrossing,small
UCE,,3.41103E-08,Vitis,perennial,outcrossing,small
UCE,,2.95525E-08,Vitis,perennial,outcrossing,small
UCE,,4.03283E-08,Vitis,perennial,outcrossing,small
UCE,,3.71315E-08,Vitis,perennial,outcrossing,small
UCE,,3.49508E-08,Vitis,perennial,outcrossing,small
UCE,,3.59274E-08,Vitis,perennial,outcrossing,small
UCE,,3.53017E-08,Vitis,perennial,outcrossing,small
UCE,,4.30309E-08,Vitis,perennial,outcrossing,small
UCE,,3.51054E-08,Vitis,perennial,outcrossing,small
UCE,,3.61283E-08,Vitis,perennial,outcrossing,small
UCE,,3.89391E-08,Vitis,perennial,outcrossing,small
UCE,,3.58311E-08,Vitis,perennial,outcrossing,small
UCE,,3.79659E-08,Vitis,perennial,outcrossing,small
UCE,,3.72616E-08,Vitis,perennial,outcrossing,small
UCE,,3.88781E-08,Vitis,perennial,outcrossing,small
UCE,,3.92134E-08,Vitis,perennial,outcrossing,small
UCE,,3.65975E-08,Vitis,perennial,outcrossing,small
UCE,,3.55523E-08,Vitis,perennial,outcrossing,small
UCE,,3.55336E-08,Vitis,perennial,outcrossing,small
UCE,,3.65171E-08,Vitis,perennial,outcrossing,small
UCE,,3.792E-08,Vitis,perennial,outcrossing,small
UCE,,4.75542E-08,Vitis,perennial,outcrossing,small
UCE,,2.84968E-08,Vitis,perennial,outcrossing,small
UCE,,3.0702E-08,Vitis,perennial,outcrossing,small
UCE,,2.99557E-08,Vitis,perennial,outcrossing,small
UCE,,4.32548E-08,Vitis,perennial,outcrossing,small
UCE,,4.34426E-08,Vitis,perennial,outcrossing,small
UCE,,4.15159E-08,Vitis,perennial,outcrossing,small
UCE,,3.19594E-08,Vitis,perennial,outcrossing,small
UCE,,3.28186E-08,Vitis,perennial,outcrossing,small
UCE,,3.03262E-08,Vitis,perennial,outcrossing,small
UCE,,3.83836E-08,Vitis,perennial,outcrossing,small
UCE,,2.9406E-08,Vitis,perennial,outcrossing,small
UCE,,3.05305E-08,Vitis,perennial,outcrossing,small
UCE,,3.09826E-08,Vitis,perennial,outcrossing,small
UCE,,2.96698E-08,Vitis,perennial,outcrossing,small
UCE,,2.99579E-08,Vitis,perennial,outcrossing,small
UCE,,2.78652E-08,Vitis,perennial,outcrossing,small
UCE,,3.66355E-08,Vitis,perennial,outcrossing,small
UCE,,2.87722E-08,Vitis,perennial,outcrossing,small
UCE,,2.90776E-08,Vitis,perennial,outcrossing,small
UCE,,3.04197E-08,Vitis,perennial,outcrossing,small
UCE,,4.25353E-08,Vitis,perennial,outcrossing,small
UCE,,2.80692E-08,Vitis,perennial,outcrossing,small
UCE,,3.22674E-08,Vitis,perennial,outcrossing,small
UCE,,3.07152E-08,Vitis,perennial,outcrossing,small
UCE,,3.68929E-08,Vitis,perennial,outcrossing,small
UCE,,3.62957E-08,Vitis,perennial,outcrossing,small
UCE,,3.01215E-08,Vitis,perennial,outcrossing,small
UCE,,2.9016E-08,Vitis,perennial,outcrossing,small
UCE,,2.83679E-08,Vitis,perennial,outcrossing,small
UCE,,3.24417E-08,Vitis,perennial,outcrossing,small
UCE,,4.88412E-08,Vitis,perennial,outcrossing,small
UCE,,3.03059E-08,Vitis,perennial,outcrossing,small
UCE,,2.23925E-08,Vitis,perennial,outcrossing,small
UCE,,3.11978E-08,Vitis,perennial,outcrossing,small
UCE,,3.55777E-08,Vitis,perennial,outcrossing,small
UCE,,3.60645E-08,Vitis,perennial,outcrossing,small
UCE,,2.77941E-08,Vitis,perennial,outcrossing,small
UCE,,4.51163E-08,Vitis,perennial,outcrossing,small
UCE,,3.24249E-08,Vitis,perennial,outcrossing,small
UCE,,2.37595E-08,Vitis,perennial,outcrossing,small
UCE,,2.29936E-08,Vitis,perennial,outcrossing,small
UCE,,2.51755E-08,Vitis,perennial,outcrossing,small
UCE,,2.76688E-08,Vitis,perennial,outcrossing,small
UCE,,3.39757E-08,Vitis,perennial,outcrossing,small
UCE,,2.69885E-08,Vitis,perennial,outcrossing,small
UCE,,2.71766E-08,Vitis,perennial,outcrossing,small
UCE,,2.76126E-08,Vitis,perennial,outcrossing,small
UCE,,2.86164E-08,Vitis,perennial,outcrossing,small
UCE,,2.6424E-08,Vitis,perennial,outcrossing,small
UCE,,2.81857E-08,Vitis,perennial,outcrossing,small
UCE,,2.95725E-08,Vitis,perennial,outcrossing,small
UCE,,2.70524E-08,Vitis,perennial,outcrossing,small
UCE,,2.71925E-08,Vitis,perennial,outcrossing,small
UCE,,3.74911E-08,Vitis,perennial,outcrossing,small
UCE,,2.71834E-08,Vitis,perennial,outcrossing,small
UCE,,2.79648E-08,Vitis,perennial,outcrossing,small
UCE,,3.54205E-08,Vitis,perennial,outcrossing,small
UCE,,3.6277E-08,Vitis,perennial,outcrossing,small
UCE,,4.24207E-08,Vitis,perennial,outcrossing,small
UCE,,3.79546E-08,Vitis,perennial,outcrossing,small
UCE,,3.81816E-08,Vitis,perennial,outcrossing,small
UCE,,3.73173E-08,Vitis,perennial,outcrossing,small
UCE,,3.46019E-08,Vitis,perennial,outcrossing,small
UCE,,3.3236E-08,Vitis,perennial,outcrossing,small
UCE,,2.99795E-08,Vitis,perennial,outcrossing,small
UCE,,3.27561E-08,Vitis,perennial,outcrossing,small
UCE,,3.53969E-08,Vitis,perennial,outcrossing,small
UCE,,3.38838E-08,Vitis,perennial,outcrossing,small
UCE,,3.47336E-08,Vitis,perennial,outcrossing,small
UCE,,3.35072E-08,Vitis,perennial,outcrossing,small
UCE,,3.44531E-08,Vitis,perennial,outcrossing,small
UCE,,3.29644E-08,Vitis,perennial,outcrossing,small
UCE,,3.38467E-08,Vitis,perennial,outcrossing,small
UCE,,3.30419E-08,Vitis,perennial,outcrossing,small
UCE,,2.90496E-08,Vitis,perennial,outcrossing,small
UCE,,3.57716E-08,Vitis,perennial,outcrossing,small
UCE,,3.37293E-08,Vitis,perennial,outcrossing,small
UCE,,3.4944E-08,Vitis,perennial,outcrossing,small
UCE,,3.36237E-08,Vitis,perennial,outcrossing,small
UCE,,3.44011E-08,Vitis,perennial,outcrossing,small
UCE,,3.23752E-08,Vitis,perennial,outcrossing,small
