Sample,Het,adjusted_het,taxa,life_history,breeding_system,genome_size
UCE_super,0.00537925,1.42211E-09,Warbler,perennial,outcrossing,large
UCE_super,0.00632295,1.67159E-09,Warbler,perennial,outcrossing,large
UCE_super,0.00524361,1.38625E-09,Warbler,perennial,outcrossing,large
UCE_super,0.00208843,5.52116E-10,Warbler,perennial,outcrossing,large
UCE_super,0.00195241,5.16157E-10,Warbler,perennial,outcrossing,large
UCE_super,0.00296694,7.84367E-10,Warbler,perennial,outcrossing,large
UCE_super,0.00362772,9.59057E-10,Warbler,perennial,outcrossing,large
UCE_super,0.0036924,9.76157E-10,Warbler,perennial,outcrossing,large
UCE_super,0.00297763,7.87193E-10,Warbler,perennial,outcrossing,large
UCE_super,0.00295615,7.81515E-10,Warbler,perennial,outcrossing,large
UCE_super,0.00279649,7.39306E-10,Warbler,perennial,outcrossing,large
UCE_super,0.00189896,5.02026E-10,Warbler,perennial,outcrossing,large
UCE_super,0.00217371,5.74662E-10,Warbler,perennial,outcrossing,large
UCE_super,0.00383595,1.01411E-09,Warbler,perennial,outcrossing,large
UCE_super,0.00395305,1.04506E-09,Warbler,perennial,outcrossing,large
UCE_super,0.00315175,8.33225E-10,Warbler,perennial,outcrossing,large
UCE_super,0.00309221,8.17485E-10,Warbler,perennial,outcrossing,large
UCE_super,0.00261701,6.91857E-10,Warbler,perennial,outcrossing,large
UCE_super,0.00314879,8.32443E-10,Warbler,perennial,outcrossing,large
UCE_super,0.00191008,5.04966E-10,Warbler,perennial,outcrossing,large
UCE_super,0.00321308,8.49439E-10,Warbler,perennial,outcrossing,large
UCE_super,0.00414104,1.09476E-09,Warbler,perennial,outcrossing,large
UCE_super,0.00375523,9.92767E-10,Warbler,perennial,outcrossing,large
UCE_super,0.00195636,5.17201E-10,Warbler,perennial,outcrossing,large
UCE_super,0.00197354,5.21743E-10,Warbler,perennial,outcrossing,large
UCE_super,0.00123178,3.25645E-10,Warbler,perennial,outcrossing,large
UCE_super,0.00114529,3.02779E-10,Warbler,perennial,outcrossing,large
UCE_super,0.00413411,1.09293E-09,Warbler,perennial,outcrossing,large
UCE_super,0.0039847,1.05343E-09,Warbler,perennial,outcrossing,large
UCE_super,0.00253052,6.68991E-10,Warbler,perennial,outcrossing,large
UCE_super,0.00277077,7.32506E-10,Warbler,perennial,outcrossing,large
UCE_super,0.00214862,5.68029E-10,Warbler,perennial,outcrossing,large
UCE_super,0.00211354,5.58755E-10,Warbler,perennial,outcrossing,large
UCE_super,0.00199549,5.27546E-10,Warbler,perennial,outcrossing,large
UCE_super,0.00204054,5.39456E-10,Warbler,perennial,outcrossing,large
UCE_super,0.00231123,6.11018E-10,Warbler,perennial,outcrossing,large
UCE_super,0.00202317,5.34864E-10,Warbler,perennial,outcrossing,large
UCE_super,0.0147074,3.88818E-09,Warbler,perennial,outcrossing,large
UCE_super,0.0136201,3.60073E-09,Warbler,perennial,outcrossing,large
UCE_super,0.0151785,4.01273E-09,Warbler,perennial,outcrossing,large
UCE,0.00124431,2.40545E-09,Warbler,perennial,outcrossing,large
UCE,0.00130473,2.52226E-09,Warbler,perennial,outcrossing,large
UCE,0.000681122,1.31672E-09,Warbler,perennial,outcrossing,large
UCE,0.000236602,4.5739E-10,Warbler,perennial,outcrossing,large
UCE,0.000569859,1.10163E-09,Warbler,perennial,outcrossing,large
UCE,0.000115298,2.2289E-10,Warbler,perennial,outcrossing,large
UCE,0.000176706,3.41601E-10,Warbler,perennial,outcrossing,large
UCE,0.00046233,8.93759E-10,Warbler,perennial,outcrossing,large
UCE,0.000504056,9.74422E-10,Warbler,perennial,outcrossing,large
UCE,2.53E-05,0.00E+00,Warbler,perennial,outcrossing,large
UCE,0.000118524,0,Warbler,perennial,outcrossing,large
UCE,0.000202869,2.29126E-10,Warbler,perennial,outcrossing,large
UCE,0.000238015,3.92179E-10,Warbler,perennial,outcrossing,large
UCE,0.000182332,4.60122E-10,Warbler,perennial,outcrossing,large
UCE,2.49E-05,3.52E-10,Warbler,perennial,outcrossing,large
UCE,0.000123647,2.3903E-10,Warbler,perennial,outcrossing,large
UCE,7.47E-05,0.00E+00,Warbler,perennial,outcrossing,large
UCE,0.000445505,8.61234E-10,Warbler,perennial,outcrossing,large
UCE,0.000137685,2.66168E-10,Warbler,perennial,outcrossing,large
UCE,0.00043613,0,Warbler,perennial,outcrossing,large
UCE,0.000389451,8.4311E-10,Warbler,perennial,outcrossing,large
UCE,4.68E-05,7.53E-10,Warbler,perennial,outcrossing,large
UCE,0.000192402,0,Warbler,perennial,outcrossing,large
UCE,0.000222474,3.71944E-10,Warbler,perennial,outcrossing,large
UCE,8.56E-11,4.30E-10,Warbler,perennial,outcrossing,large
UCE,0.000278246,5.37895E-10,Warbler,perennial,outcrossing,large
UCE,0.000397985,7.6937E-10,Warbler,perennial,outcrossing,large
UCE,0.00135432,2.61812E-09,Warbler,perennial,outcrossing,large
UCE,0.000112045,2.16601E-10,Warbler,perennial,outcrossing,large
UCE,2.72E-10,5.12E-10,Warbler,perennial,outcrossing,large
UCE,0.000264744,3.27748E-10,Warbler,perennial,outcrossing,large
UCE,0.00016954,1.72558E-08,Warbler,perennial,outcrossing,large
UCE,0.00892622,1.68343E-08,Warbler,perennial,outcrossing,large
UCE,0.00870814,1.06379E-08,Warbler,perennial,outcrossing,large
genome,0.0103991,1.01688E-11,Warbler,perennial,outcrossing,large
genome,0.0109842,1.07409E-11,Warbler,perennial,outcrossing,large
genome,0.0105734,1.03392E-11,Warbler,perennial,outcrossing,large
genome,0.00329429,3.22132E-12,Warbler,perennial,outcrossing,large
genome,0.00332681,3.25312E-12,Warbler,perennial,outcrossing,large
genome,0.0100592,9.83639E-12,Warbler,perennial,outcrossing,large
genome,0.0109773,1.07342E-11,Warbler,perennial,outcrossing,large
genome,0.00774044,7.56899E-12,Warbler,perennial,outcrossing,large
genome,0.00740007,7.23616E-12,Warbler,perennial,outcrossing,large
genome,0.00876504,8.5709E-12,Warbler,perennial,outcrossing,large
genome,0.00848001,8.29218E-12,Warbler,perennial,outcrossing,large
genome,0.00394164,3.85433E-12,Warbler,perennial,outcrossing,large
genome,0.00426376,4.16932E-12,Warbler,perennial,outcrossing,large
genome,0.00979261,9.57571E-12,Warbler,perennial,outcrossing,large
genome,0.00980049,9.58341E-12,Warbler,perennial,outcrossing,large
genome,0.0082685,8.08536E-12,Warbler,perennial,outcrossing,large
genome,0.00800695,7.8296E-12,Warbler,perennial,outcrossing,large
genome,0.00657071,6.42517E-12,Warbler,perennial,outcrossing,large
genome,0.007864,7.68982E-12,Warbler,perennial,outcrossing,large
genome,0.00418604,4.09332E-12,Warbler,perennial,outcrossing,large
genome,0.00534983,5.23133E-12,Warbler,perennial,outcrossing,large
genome,0.0118778,1.16147E-11,Warbler,perennial,outcrossing,large
genome,0.0115763,1.13199E-11,Warbler,perennial,outcrossing,large
genome,0.00403693,3.94751E-12,Warbler,perennial,outcrossing,large
genome,0.00398472,3.89646E-12,Warbler,perennial,outcrossing,large
genome,0.00148443,1.45155E-12,Warbler,perennial,outcrossing,large
genome,0.00131378,1.28468E-12,Warbler,perennial,outcrossing,large
genome,0.0104803,1.02482E-11,Warbler,perennial,outcrossing,large
genome,0.0103574,1.0128E-11,Warbler,perennial,outcrossing,large
genome,0.00691756,6.76434E-12,Warbler,perennial,outcrossing,large
genome,0.00681301,6.6621E-12,Warbler,perennial,outcrossing,large
genome,0.00484721,4.73985E-12,Warbler,perennial,outcrossing,large
genome,0.00475614,4.65079E-12,Warbler,perennial,outcrossing,large
genome,0.00444679,4.3483E-12,Warbler,perennial,outcrossing,large
genome,0.00438851,4.29131E-12,Warbler,perennial,outcrossing,large
genome,0.00314729,3.07758E-12,Warbler,perennial,outcrossing,large
genome,0.00312376,3.05457E-12,Warbler,perennial,outcrossing,large
genome,0.014836,1.45074E-11,Warbler,perennial,outcrossing,large
genome,0.0127964,1.2513E-11,Warbler,perennial,outcrossing,large
genome,0.0153718,1.50313E-11,Warbler,perennial,outcrossing,large
BUSCOsuper,0.0139083,2.93955E-10,Warbler,perennial,outcrossing,large
BUSCOsuper,0.015396,3.25398E-10,Warbler,perennial,outcrossing,large
BUSCOsuper,0.0137116,2.89798E-10,Warbler,perennial,outcrossing,large
BUSCOsuper,0.00413004,8.72894E-11,Warbler,perennial,outcrossing,large
BUSCOsuper,0.00423128,8.94291E-11,Warbler,perennial,outcrossing,large
BUSCOsuper,0.00973971,2.05851E-10,Warbler,perennial,outcrossing,large
BUSCOsuper,0.0101574,2.14679E-10,Warbler,perennial,outcrossing,large
BUSCOsuper,0.00864207,1.82652E-10,Warbler,perennial,outcrossing,large
BUSCOsuper,0.00774022,1.63591E-10,Warbler,perennial,outcrossing,large
BUSCOsuper,0.00822004,1.73732E-10,Warbler,perennial,outcrossing,large
BUSCOsuper,0.00829325,1.7528E-10,Warbler,perennial,outcrossing,large
BUSCOsuper,0.00447648,9.46115E-11,Warbler,perennial,outcrossing,large
BUSCOsuper,0.00463709,9.8006E-11,Warbler,perennial,outcrossing,large
BUSCOsuper,0.00879955,1.85981E-10,Warbler,perennial,outcrossing,large
BUSCOsuper,0.00899606,1.90134E-10,Warbler,perennial,outcrossing,large
BUSCOsuper,0.00770366,1.62819E-10,Warbler,perennial,outcrossing,large
BUSCOsuper,0.00768752,1.62478E-10,Warbler,perennial,outcrossing,large
BUSCOsuper,0.00652913,1.37995E-10,Warbler,perennial,outcrossing,large
BUSCOsuper,0.00763834,1.61438E-10,Warbler,perennial,outcrossing,large
BUSCOsuper,0.00480202,1.01492E-10,Warbler,perennial,outcrossing,large
BUSCOsuper,0.0060319,1.27486E-10,Warbler,perennial,outcrossing,large
BUSCOsuper,0.0107958,2.28172E-10,Warbler,perennial,outcrossing,large
BUSCOsuper,0.0104242,2.20318E-10,Warbler,perennial,outcrossing,large
BUSCOsuper,0.00508966,1.07571E-10,Warbler,perennial,outcrossing,large
BUSCOsuper,0.00521804,1.10285E-10,Warbler,perennial,outcrossing,large
BUSCOsuper,0.00256314,5.41726E-11,Warbler,perennial,outcrossing,large
BUSCOsuper,0.00232295,4.90961E-11,Warbler,perennial,outcrossing,large
BUSCOsuper,0.00960155,2.02931E-10,Warbler,perennial,outcrossing,large
BUSCOsuper,0.00925098,1.95522E-10,Warbler,perennial,outcrossing,large
BUSCOsuper,0.00712486,1.50586E-10,Warbler,perennial,outcrossing,large
BUSCOsuper,0.00652783,1.37967E-10,Warbler,perennial,outcrossing,large
BUSCOsuper,0.00667611,1.41101E-10,Warbler,perennial,outcrossing,large
BUSCOsuper,0.00708028,1.49643E-10,Warbler,perennial,outcrossing,large
BUSCOsuper,0.00479631,1.01371E-10,Warbler,perennial,outcrossing,large
BUSCOsuper,0.0049509,1.04638E-10,Warbler,perennial,outcrossing,large
BUSCOsuper,0.00467437,9.87939E-11,Warbler,perennial,outcrossing,large
BUSCOsuper,0.00448286,9.47463E-11,Warbler,perennial,outcrossing,large
BUSCOsuper,0.0226324,4.78341E-10,Warbler,perennial,outcrossing,large
BUSCOsuper,0.0207253,4.38034E-10,Warbler,perennial,outcrossing,large
BUSCOsuper,0.0228358,4.8264E-10,Warbler,perennial,outcrossing,large
BUSCO,0.00600148,4.21505E-10,Warbler,perennial,outcrossing,large
