species,dataset,supported_nodes,total_nodes,prop_supported_nodes,splits_in_common,prop_in_common
Citrus,353_gene,0,24,0,,
Coffea,353_gene,0,42,0,2,0.047619048
Diperion,353_gene,0,73,0,,
Malania,353_gene,0,31,0,6,0.193548387
Medicago,353_gene,0,32,0,1,0.03125
Plectropomus,353_gene,0,26,0,1,0.038461538
Citrus,353_super,0,24,0,,
Medicago,353_super,0,32,0,1,0.03125
Citrus,BUSCOsuper,0,24,0,,
Citrus,genome,0,24,0,,
Citrus,Scsuper,0,24,0,,
Citrus,singlecopy,0,24,0,,
Malania,singlecopy,0,31,0,2,0.064516129
Medicago,singlecopy,0,32,0,4,0.125
Seasamum,353_gene,1,37,0.027027027,6,0.162162162
Geospiza,353_super,1,32,0.03125,8,0.25
Geospiza,353_gene,2,32,0.0625,2,0.0625
Malania,Scsuper,2,31,0.064516129,10,0.322580645
Lotus,353_gene,2,26,0.076923077,4,0.153846154
warbler,353_gene,3,39,0.076923077,1,0.025641026
Seasamum,353_super,3,37,0.081081081,3,0.081081081
Atriplex,353_gene,4,49,0.081632653,5,0.102040816
Linum,353_gene,2,24,0.083333333,,
Citrus,BUSCO,2,24,0.083333333,,
Medicago,BUSCOsuper,3,32,0.09375,6,0.1875
Medicago,Scsuper,3,32,0.09375,6,0.1875
Diperion,353_super,7,73,0.095890411,,
Malania,353_super,3,31,0.096774194,8,0.258064516
Atriplex,353_super,5,49,0.102040816,5,0.102040816
Coffea,singlecopy,5,42,0.119047619,10,0.238095238
Medicago,BUSCO,4,32,0.125,3,0.09375
Linum,Scsuper,3,24,0.125,,
Linum,singlecopy,3,24,0.125,,
Vigna,353_gene,7,53,0.132075472,15,0.283018868
Populus,353_gene,5,35,0.142857143,,
Coffea,BUSCO,6,42,0.142857143,13,0.30952381
Atriplex,BUSCOsuper,7,49,0.142857143,4,0.081632653
Diperion,BUSCO,11,73,0.150684932,,
Corylus,353_gene,7,42,0.166666667,14,0.333333333
Salix,353_gene,13,74,0.175675676,23,0.310810811
Diperion,singlecopy,13,73,0.178082192,,
Atriplex,Scsuper,9,49,0.183673469,8,0.163265306
Salix,Scsuper,14,74,0.189189189,21,0.283783784
Corylus,353_super,8,42,0.19047619,11,0.261904762
Lotus,353_super,5,26,0.192307692,8,0.307692308
Lotus,BUSCOsuper,5,26,0.192307692,7,0.269230769
Atriplex,singlecopy,10,49,0.204081633,6,0.12244898
Linum,353_super,5,24,0.208333333,,
Sorghum,353_gene,9,42,0.214285714,15,0.357142857
Coffea,353_super,9,42,0.214285714,10,0.238095238
Populus,singlecopy,8,35,0.228571429,,
Lotus,singlecopy,6,26,0.230769231,11,0.423076923
Thlapsi,353_gene,8,34,0.235294118,8,0.235294118
Juglans,353_gene,16,66,0.242424242,14,0.212121212
Atriplex,BUSCO,12,49,0.244897959,6,0.12244898
Canis,353_gene,5,20,0.25,11,0.55
Populus,353_super,9,35,0.257142857,,
Sorghum,353_super,11,42,0.261904762,18,0.428571429
Corylus,Scsuper,11,42,0.261904762,13,0.30952381
Corylus,singlecopy,11,42,0.261904762,13,0.30952381
Lotus,Scsuper,7,26,0.269230769,9,0.346153846
